type,title,release_year,duration,listed_in,description
Movie,Secrets of Deception,2017,74 min,Action,After a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction
Movie,Global Meltdown,2017,87 min,Action,A helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.
Movie,Yellowneck,1955,84 min,Action,"During the U.S. Civil War, five deserters (yellownecks) from the Confederate army decide to embark on a dangerous mission through the Florida everglades to escape to Cuba. They have to survive snakes, a Florida panther, quicksand, and a hurricane in the swamps, along with local angry indians. Only one of the men will survive to make it to the Florida coast, but which one? The hurricane scenes involve footage form a real hurricane that hit Florida during the shooting of the film."
Movie,X-Ray,1983,89 min,Action,"A psychotic killer keeps a young girl trapped inside a hospital, having fixed her x-rays to make it look like she has a terminal illness, and brutally murders everyone she comes in contact with."
Movie,Women of Valor,1986,95 min,Action,"Susan Sarandon and Kristy McNichol star in this powerful drama sent during World War II, when a group of U.S. Army nurses in the Philippines are captured and imprisoned by Japanese troops."
Movie,Winterset,1936,77 min,Action,"Immigrant radical Bartolomeo Romagna is falsely condemned and executed for a payroll robbery. Years later, his son Mio sets out to find the truth of the crime and to bring to account the gangster Trock Estrella."
Movie,Wind,1992,126 min,Action,"Will Parker loses the Americas Cup, the worlds biggest sailing prize, to the Australians and decides to form his own syndicate to win it back."
Movie,Wildlike,2021,104 min,Action,"An unlikely friendship forms in the spectacular Alaskan wilderness, giving a runaway girl hope and sanctuary in America's last frontier."
Movie,Wildfire 7,2002,95 min,Action,"A female prison inmate is recruited into a special fire fighting program, only to find her expertise is needed sooner than expected"
Movie,Wild Geese,2012,135 min,Action,"Screen legends Richard Burton, Roger Moore and Richard Harris star as a team of aging mercenaries hired by a wealthy industrialist for one final mission: Recruit and train a squad of desperate commandos, parachute into an unstable African nation, snatch its deposed President from a maximum security army prison, escape via the military-controlled airport, and massacre anyone who gets in their way."
Movie,Where Love Found Me,2018,85 min,Action,"Daring escapes, hilarious stunts and danger turn a Hollywood director's world upside down when he meets a band of street kids living in the slum. Inspired by true events and filled with laughter and faith, Where Love Found Me invites you to experience the adventures of street life and reimagine the meaning of family."
