type,title,release_year,duration,listed_in,description
TV Show,Yu-Gi-Oh! ARC-V,2018,3 Seasons,Action,Get set to swing into action as Yu-Gi-Oh! ARC-V takes its final bow!
TV Show,WWII in HD,2009,1 Season,Action,"The only people to see the war like this were the ones who fought it. Until now...70+ years in the making. The first documentary to show World War II from the perspective of both sides in full, immersive HD color, WWII in HD uses the diaries of soldiers who fought in the war's biggest battles to create a personal, introspective and detailed look at life on and off the front lines."
TV Show,Wake In Fright,2017,1 Season,Action,"A young schoolteacher finds himself marooned in a small mining town in the outback, where a string of dangerous events render him a broken, desperate man."
TV Show,Vikings,2020,9 Seasons,Action,"Season six returns following the battle between brothers which has left Bjorn as the new leader of Kattegat. But Bjorn struggles to fill his late father’s shoes. And Ivar meets his match in Prince Oleg, a ruthless and unpredictable Russian ruler!"
TV Show,Vella Raja (Hindi),2018,1 Season,Action,The cat and mouse game begins with Theresa’s posting in Chennai. Her vow to clean up the city from drugs leads her to Deva. Deva’s drive to be the drug lord is paved with murders and politics. People who enter Bava Lodge on that day are caught in the crossfire of deceit and betrayal between Deva and Theresa. Who will survive in the lodge? Will Theresa be able to catch Deva and end the drug war?
TV Show,Unforgotten,2019,3 Seasons,Action,"Cassie and Sunny connect the human remains found by a highway to Hayley Reid, a 16-year-old girl who went missing on the eve of the millennium. Cassie is determined to fix the mistakes made in the past, no matter the personal cost."
TV Show,Turquoise Fever,2019,1 Season,Action,"Turquoise Fever follows the Otteson family of Tonopah, Nevada, as they mine for turquoise in the unforgiving Great Basin Desert. They risk blistering heat, dangerous explosions, and treacherous slopes in their quest to unearth the elusive blue stone."
TV Show,Tom Clancy's Jack Ryan,2019,2 Seasons,Action,"After tracking a suspicious shipment in the Venezuelan jungle, Jack Ryan heads to South America to investigate. As Jack threatens to uncover a far-reaching conspiracy, the President of Venezuela launches a counter-attack that hits home, leading Jack on a mission spanning the US, UK, Russia, and Venezuela to unravel the President's plot and bring stability to a country on the brink of chaos."
TV Show,The Snow Queen,2005,1 Season,Action,"A heart-warming story of friendship and the triumph of love over evil. When Gerda and her mother take in penniless street urchin Kay, powerful forces come into play that will take both children on a magical journey and test their friendship to the extreme."
TV Show,The Night Manager,2016,1 Season,Action,"The Night Manager is based on John le Carre's novel, ex-British soldier Jonathan Pine (Tom Hiddleston) is recruited by MI-6's Angela Burr (Olivia Colman) to infiltrate the inner circle of an arms trader named Richard Onslow Roper (Hugh Laurie)."
