type,title,release_year,duration,listed_in,description
Movie,Cartoon Classics - Vol. 2: 25 Favorite Cartoons - 3 Hours,2017,183 min,Animation,"Enjoy 3 more hours of Classic Cartoons from the Golden Age of Animation. Cartoon characters include Bugs Bunny, Porky Pig, Daffy Duck, Elmer Fudd, Betty Boop, Popeye, Little Lulu, Little Audrey, Casper the Friendly Ghost, Felix the Cat, Superman and many more. Featuring vintage Looney Tunes, Merry Melodies, Happy Harmonies and Max Fleischer cartoons with remastered sound."
Movie,"A Turma do Sextou - A Princesa , o Sapo e a Escolinha",2020,3 min,Animation,New version of the classic in which a Princess kisses a frog to break a spell. the short also brings a segment in the school of professor Lucas
Movie,Dead Space: Aftermath,2011,78 min,Animation,"Based on the much anticipated EA videogame Dead Space 2, Dead Space: Aftermath is a fast paced, horrifying thrill ride set in 2059 that follows the four surviving ship crew members of the USG O'Bannon."
Movie,"Amy Lee, Dream Too Much",2016,28 min,Animation,"GRAMMY award winning artist Amy Lee, of Evanescence, brings her children’s music album Dream Too Much to life in this 30 minute animated special."
Movie,Pururava,2021,80 min,Animation,"Sensational Writer, Gudipati Venkata Chalam's Eternal Love Story of Emperor Pururava and Celestial Beauty Urvasi. Pururava was the son of Budha and Ila , A Chandravanshi King from Treta Yuga. This story is between Urvasi and Pururava. Through the voice of Urvasi, Writer establishes deep meaning of true and unconditional love. Story ends tragically as King fails to pass greatest test of love."
Movie,Realm Of The Damned,2021,56 min,Animation,"An animated stop motion comic, based on a graphic novel series by the same name. The Vatican's last line of paranormal defence - The Congregation - has finally been overrun by the supernatural forces of darkness. Our heroes are all dead; only the damned remain. Van Helsing must face a slew of monsters in an apocalyptic and dystopian universe, in order to save the world!"
Movie,Thunderbird 6,1968,89 min,Animation,"Those world-famous electronic puppets The International Rescue Team are back with excitement, mystery and thrills ahead after they are faced with a plot to steal their fabulous fleet of rescue planes."
Movie,On Happiness Road,2018,111 min,Animation,"In this award-winning animated film, a woman returns to Taiwan from New York to attend her grandmother's funeral and is bombarded by fantastical memories of her past – reflections that reveal the darker side of the society that shaped her failing American dream."
Movie,Cartoon Classics - Vol. 1: 25 Favorite Cartoons - 3 Hours,2017,175 min,Animation,"Enjoy 3 hours of Classic Cartoons from the Golden Age of Animation. Cartoon characters include Bugs Bunny, Porky Pig, Daffy Duck, Elmer Fudd, Betty Boop (as Cinderella), Popeye, Little Lulu, Woody Woodpecker, Mighty Mouse, Casper, Heckle & Jeckle, Bosko and Superman. Featuring vintage Looney Tunes, Merry Melodies, Happy Harmonies, Max Fleischer cartoons with remastered sound."
Movie,She,2021,95 min,Animation,"In this highly stylized and expertly crafted stop motion film, a high heel mother shoe survives in an authoritarian world dominated by male shoes and brings up her daughter shoe by disguising herself as a male shoe. A non-verbal Chinese animated film that tells a story so universal, that it touches the hearts of all."
Movie,Ghost In The Shell 2.0,1996,83 min,Animation,A film that has spawned a thousand imitations but never been bettered - Mamoru Oshii's legendary anime film Ghost in the Shell returns in a stunning new edition remastered by Oshii himself with the original animations.
Movie,Ogre,2019,70 min,Animation,"Once cast, the Trollnet promises to bring chaos and conflict to the happy trollsʼ harmonious land."
Movie,Fritz the Cat,1972,79 min,Animation,"Fritz is a college-age cat who dabbles in drugs, radical politics, and hedonism. Film traces Fritz's sexual and political exploits from an East Village pot party to an orthodox synagogue to a Harlem bar brawl and riot to an odyssey across America."
Movie,Rugrats Go Wild,2003,81 min,Animation,"The Rugrats get tangled in an exotic adventure, where they're helped by the Thornberrys, a family that travels the world making nature documentaries."
Movie,Noddy Saves Christmas,2004,26 min,Animation,"As snow-covered Toy Town excitedly prepares for Christmas, Noddy's mission is to finally meet Santa Claus. On a visit to Big-Ear's house, Noddy's wish actually comes true! But Santa Claus is in big trouble! With his new friends Santa and Dasher the reindeer, Noddy goes on a whirlwind adventure to Save Christmas...!"
Movie,Tarzan,2014,95 min,Animation,Tarzan must protect the jungle - and Jane - from greedy New York City businessmen who want to destroy his home for profit in this animated family adventure.
Movie,Clip: Act 5 - Title 5,2021,61 min,Animation,1
Movie,A Monkey's Tale,2000,76 min,Animation,"Two monkey tribes are divided by centuries of fear and prejudice. When curious teenager Kom plummets from his home, his family consider him lost forever. Below, however, his life is spared, and he soon becomes the King's favourite - which angers the Chancellor, who plans seize power for himself. Kom and loyal maid, Gina, uncover the plot, plan to reunite the two tribes and save the day."
