type,title,release_year,duration,listed_in,description
Movie,Welcome to the Space Show (English Dub),2011,136 min,Anime,"A group of kids are whisked away to a space colony on the dark side of the moon, an interstellar melting pot with a non-stop parade of alien creatures, jellyfish spaceships, and dragon trains, marking for a glorious and wondrous adventure."
Movie,The Magic Lamp and the Moving Islands (Subbed),2016,50 min,Anime,"Sinbad and the crews of the Bahr go out in search for the comrades of Sana, the princess of a legendary sorcerer clan. While repairing a damaged ship after a heavy storm, Sana feels the presence of the Magic Lamp. On the nearby island, they search for the lamp, but the hand of a demon intent on Sana draws close. What is the Magic Lamp? 　Where are Sana’s comrades? The adventure continues!"
Movie,Haikara-san: Here Comes Miss Modern Pt. 1,2017,97 min,Anime,"Adapted from Waki Yamato's popular manga, Haikara-San is a heartfelt, and sometimes comical, tale of love surviving through the perils of war and separation."
Movie,Moral stories and more shows,2021,47 min,Anime,"Moral stories and more shows for kids! Teach them honesty, patience, and more! We have picked out 4 most popular moral stories for kids that will not only teach them strong moral values but also keep them immensely entertained. Stories take kids on magical adventures where they explore, learn, and have fun. There is simple and sweet moral in each story."
Movie,EVANGELION:3.33 YOU CAN (NOT) REDO.,2012,97 min,Anime,"Shinji wakes after 14 years aboard the battleship AAA Wunder belonging to an anti-NERV organization founded by former NERV members. Shinji hears Rei's voice coming from EVA Mark.09, sent to rescue him, so he leaves Wunder and heads to NERV. Kaworu Nagisa shows Shinji the transformed land. He learns that saving Rei triggered the Near Third Impact that caused the catastrophic damage to Earth."
Movie,EVANGELION:3.0+1.01 THRICE UPON A TIME,2021,156 min,Anime,"Available in 29 languages, including Japanese and English Audio and Subtitles. The 4th and final installment of Rebuild of Evangelion. Misato and her anti-NERV group Wille arrive at Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower. They only have 720 seconds to restore the city. When a horde of NERV Evas appear, Mari’s improved Eva Unit 8 must intercept. Meanwhile, Shinji, Asuka, and Rei (provisional name) wander about Japan."
Movie,EVANGELION:2.22 YOU CAN (NOT) ADVANCE.,2009,113 min,Anime,"Mari Illustrious-Makinami pilots Provisional Unit-05 to defeat the excavated Third Angel. Asuka Langley-Shikinami and EVA-02 defeat the Seventh Angel. The Eighth Angel appears and attacks NERV HQ. EVA-03 is taken over by the Ninth Angel during testing and Shinji deploys to stop it, but learns Asuka is aboard. Gendoh switches EVA-01's controls over to the Dummy System and begins fighting EVA-03..."
Movie,EVANGELION:1.11 YOU ARE (NOT) ALONE.,2007,102 min,Anime,"Scarred by the Second Impact, the Fourth Angel attacks Tokyo III and humanity's fate is left in Special Government Agency NERV's hands. Young Shinji Ikari is forced to pilot EVA-01. He and EVA-00 pilot Rei Ayanami are tasked to fight, but EVA-01 is damaged by the Sixth Angel. Misato Katsuragi draws up a plan to focus all of Japan's electricity into EVA-01's positron cannon to defeat the Angel."
Movie,Moral Stories For Kids,2021,49 min,Anime,It's story time! Very Short Stories with Morals in English are the best ways to teach moral education for kids and adults. You can teach short stories with moral values in a very short time. Short stories in English with moral values can give you great inspiration. We have a collection of good moral stories that can also be helpful for students.
Movie,BedTime stories For Kids,2021,40 min,Anime,Famous bedtime stories for kids are stories that you watch out to your child when he/she gets into bed at night. Sharing children's bedtime stories is an ideal way to boost their imagination and take them into a wonderful land of fantasy and adventure.
Movie,English Fairy Tales,2021,41 min,Anime,"Welcome to the world of fairy tales. Here you will find the best selection of fairy tales list, that will enchant the young minds with positivity of the most popular fairy tales. These fables and fairy tale characters have been collected from different cultures, and you will always find something new for the kids,including the ubiquitous king, prince and princess fairy tales."
Movie,Fairy tales and bedtime stories,2021,45 min,Anime,Fairy Tales and bedtime stories watching each evening to a child promotes positive sleep habits. It calms a busy child and engages their mind into a world of magic and sweet dreams. The bedtime story is the best way to end the child's day and lead them into a night of wonderful rest.
Movie,GoShogun: The Time Etrainger,1985,89 min,Anime,"Remy Shimoda is in a hurry. She's on her way to a reunion with the other members of the Go Shogun team, and she's late. A police action with some robbers gets in her way, so she runs the robbers off the road. Her vision blurs and she gets into an accident."
Movie,Sound! Euphonium: The Movie - Welcome To The Kitauji High School Concert Band,2016,103 min,Anime,A recap movie of the first season of Sound! Euphonium (2015).
Movie,Project A-ko 2: Plot of the Daitokuji Financial Group,1987,49 min,Anime,"Three weeks after an alien ship lands on Graviton City, A-ko and the gang go on summer vacation. Meanwhile, chaos breaks out when B-ko's father arms the local military with new mecha to attack the alien ship."
Movie,Haikara-San: Here Comes Miss Modern Part 1,2018,97 min,Anime,"Adapted from Waki Yamato's popular manga, Haikara-San is a heartfelt, and sometimes comical, tale of love surviving through the perils of war and separation."
