type,title,release_year,duration,listed_in,description
TV Show,Zo Zo Zombie: Mini-Series,2020,1 Season,Anime,"Zo Zo Zombie is our undead hero who, with his best [human] friend Isamu, is just trying to do some good in this world but somehow always ends up in pieces. Literally."
TV Show,Yu-Gi-Oh! Zexal,2015,3 Seasons,Anime,"It's time to feel the flow as Yu-Gi-Oh! Zexal blasts off into awesome new adventures! Seven legendary number cards are hidden throughout the cosmos, each holding a key to unlocking the ultimate power of the universe. Yuma and Astral must find them before the evil Barians do for whoever wields this force can use it to save the galaxy or destroy it!"
TV Show,VINLAND SAGA,2019,1 Season,Anime,"Around the end of the millennium, Viking, the mightiest but atrocious tribe, had been outbreaking everywhere.Thorfinn, the son of the greatest warrior, lived his childhood in the battlefield. He was seeking the land of reverie called Vinland.This is the story of a true warrior in an age of turmoil."
TV Show,Vatican Miracle Examiner,2017,1 Season,Anime,"Two priests charged with traveling the world to validate ""miracles"" find themselves tangled in events filled with deceit. As members of the Assembly of Saints, Robert Nicholas and Kou Hiraga seek the truth behind the supposed works of God."
TV Show,UQ Holder!,2017,1 Season,Anime,"With his powers awakened,Tota's life gets more interesting when he joins a secret society fellow immortals: UQ Holder."
TV Show,Toradora!,2009,1 Season,Anime,"Toradora! tells the tale of Ryuji (dragon) and Taiga (tiger) helping each other confess to their crushes. From the classroom, to the pool, to a summer vacation house and even the school's culture festival... will Ryuji and Taiga be able to help one another conquer their emotions, or will a new bond be formed in the chaotic war of love?"
TV Show,Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,2017,1 Season,Anime,"Sword Princess Ais Wallenstein and the Loki Familia take to the dungeons below Orario once more. This time, there may be more lurking in the shadows than mere monsters."
TV Show,Shin chan Spin-off vol.1  Aliens vs. Shinnosuke,2016,1 Season,Anime,"On the 25th anniversary of the start of the animated series, Shin chan will be presented in a new style! ""What if Shinnosuke encountered aliens in a drifting spaceship?"""
TV Show,Sagrada Reset,2017,2 Seasons,Anime,"Misora has the power to reset time backwards by up to three days, and Kei has as photographic memory that allows him to remember everything, despite the reset. Together, they try to correct the mistakes of the past."
TV Show,Requiem From the Darkness (English Dub),2003,1 Season,Anime,"Momosuke meets a strange group of outlaws, Mataichi, Ogin and Miminaga on one stormy night. Darkness hidden inside human minds, and the people who battle the wickedness inside human nature. With amazing skills of illusion and art, Mataichi Group sheds light to the darkness in human minds to liberate the spirit from evil."
TV Show,Re:CREATORS,2017,1 Season,Anime,"People have created many stories.Joy, sadness, anger, deep emotion.Stories stir up emotion and captivate.However, those emotions are nothing more than the feelings of a spectator.What if the characters in the stories had their own“will”?In their eyes, are we, the creators of the stories, like gods?Revolution for our world.Punishment for the land of the gods.Re:CREATORS.Everyone becomes a Creator."
TV Show,RAGE OF BAHAMUT VIRGIN SOUL,2017,1 Season,Anime,"This is the land of Mistarcia where gods and demons walk among mankind.It has been ten years since the world escaped oblivion from Bahamut's awakening.The new king of man has attacked the shrine of the gods and conquered the demon nation.Demons have been enslaved, and the power of the gods has waned.In a world losing its balance, mankind, gods, and demons clash to find justice."
TV Show,Psychic Princess,2019,1 Season,Anime,"Qian Yunxi, the eldest daughter of the Grand Councilor, has had supernatural powers since she was young. Because of this, she has been kept in the Spirit-Cloud Mountain as she is seen as an ominous girl. When she's 16, she finds herself substituted for her younger sister into a marriage with Prince of Ye. However, it is said that the Prince of Ye is cold, eccentric, and cruel."
TV Show,Princess Principal,2017,1 Season,Anime,"Five girls attend Queen's Mayfaire, a conventional and prestigious school. Under the guise of regular high school girls, they act as spies under cover."
TV Show,ONIHEI,2017,1 Season,Anime,"It’s the latter half of the Edo period when cruel thieves feared Heizo Hasegawa, known as “Heizo the Oni"". He is the head of Arson Theft Control.He never tolerates injustice and punishes criminals who violate the three articles of a thief.Surrounded by quirky characters, Heizo rids the injustice that infests the city of Edo.(C)Office Ikenami/Bungeishunju Ltd. /TV Series Onihei Production Committee"
TV Show,MADE IN ABYSS,2017,1 Season,Anime,"Within the depths of the Abyss, a girl named Riko stumbles upon a robot who looks like a young boy. Riko and her new friend descend into uncharted territory to unlock its mysteries, but what lies in wait for them in the darkness?"
