type,title,release_year,duration,listed_in,description
TV Show,Uchimura Summers,2018,1 Season,Arts,"Teruyoshi Uchimura and Summers feature their guest as MCs to present a haphazard and improvised “clamorous, happy-go-lucky variety show.”"
TV Show,Tommy Little: Self-Diagnosed Genius,2020,1 Season,Arts,"Idiot or genius? For many the jury has been out on Tommy Little, but he’s here to set the record straight. Would an idiot bungee jump nude on live TV? Or sign up to run and Antarctic marathon with no previous experience or training? We rest our case. Tommy has refined the art of how not to live – see how truly entertaining that can be, with one of the year’s most raucous hours of stand-up."
TV Show,Jimmy O. Yang: Good Deal,2020,1 Season,Arts,"In his debut standup special, Good Deal, Jimmy will tell you all about his take on Asian representation, how he learned to speak English from rap videos, dating tall women, and pursuing his dreams only to disappoint his old school Chinese parents. From assimilation to representation, Jimmy O. Yang delivers an absolutely hilarious hour of comedy in Good Deal."
TV Show,Flo and Joan: Alive on Stage,2019,1 Season,Arts,"Award winning musical comedy duo, and sisters, Flo and Joan present their sharp, waggish songs for your ears, eyes and throat."
TV Show,Ed Gamble: Blood Sugar,2019,1 Season,Arts,"Stand-up comedian Ed Gamble's first special, Blood Sugar."
TV Show,Dilruk Jayasinha: Bundle of Joy,2020,1 Season,Arts,"Sri Lankan-born Dilruk Jayasinha is one of the most in-demand headliners on the Australian scene. Whilst his small-screen star continues to soar thanks to his appearances in Utopia and Have You Been Paying Attention?, it is on stage that he flies, with a reputation for consistently nailing his shows – The Art of the Dil; Sri Wanka; and Cheat Days – with his positive, upbeat brand of stand-up."
TV Show,Chris Ramsey Approval Needed (4K UHD),2019,1 Season,Arts,The critically acclaimed comedian Chris Ramsey brings his latest stand-up show exclusively to Amazon this summer
TV Show,Anne Edmonds: What's Wrong With You?,2020,1 Season,Arts,"Anne Edmonds is the rock star of Australian comedy and everybody knows it. Welcome to her debut special. In just one hour, she’s going to tell you what’s wrong with you and everyone else. ‘The best comedian in Australia’ - Herald Sun."
TV Show,Alice Wetterlund: My Mama Is A Human And So Am I,2019,1 Season,Arts,"Follow comedian / actor Alice Wetterlund as she reveals her personal struggles with peeping toms, cat-rearing, alcoholism and the secret alien conspiracy behind new country music in her breakout comedy special. Best known for HBO’s ""Silicon Valley"" and ""Mike and Dave Need Wedding Dates"", Wetterlund shines in this tour de force hour long special taped at the Gothic Theater in Denver, CO."
TV Show,#IMomSoHard Live,2019,1 Season,Arts,"Comedians Kristin Hensley and Jen Smedley of the viral webseries #IMOMSOHARD bring you their 2-person stand-up show! Combining stand-up & improvisation, the two share their honest and self-effacing humor on topics ranging from friendship, periods, sex after marriage, body image, and parenting failures. Because, hey: You're not in this alone, ladies."
TV Show,NBA Games of the Year,2014,1 Season,Arts,"Experience the most exciting moments and relive all the action from a selection of the best NBA games. Packed with unbelievable performances, intense rivalries and overtime thrillers, Games of the Year showcases why BIG things are happening this year in the NBA."
TV Show,Rupi Kaur Live,2021,1 Season,Arts,"As a 21-year-old university student Rupi Kaur wrote, illustrated and self-published her first poetry collection, milk and honey. Next came, the sun and her flowers. These collections have sold over 8 million copies and have been translated into over 42 languages. Rupi’s work touches on love, loss, trauma, healing, femininity, and migration. In this live special she performs her poetry on stage."
