type,title,release_year,duration,listed_in,description
Movie,The Grand Seduction,2014,113 min,Comedy,"A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor's time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops."
Movie,Grease Live!,2016,131 min,Comedy,"This honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse."
Movie,Take Care,2014,93 min,Comedy,"When a car crash leaves Frannie immobilized, she is brushed off by everyone she can count on. With nowhere else to turn, Frannie reluctantly calls her ex, Devon, for help. It isn't long before old wounds emerge and are made worse when Devon's crazy new girlfriend shows up."
Movie,Summer '03,2019,96 min,Comedy,"Summer '03 is the hilarious story of 16-year-old Jamie and her family, who are shocked after her calculating grandmother unveils an array of family secrets on her deathbed, one involving religion, the other of a more personal nature. Jamie is left to navigate her own love life and her closest friendships in the midst of this family crisis, and one of the most memorable summers of her life."
Movie,Zis Boom Bah,1941,62 min,Comedy,"""Hey, kids, let's get together and put on a show!"" That's the idea behind this raucous spoof about a vaudeville performer who goes to college to spy on her bratty son."
Movie,"You, Me and Him",2017,98 min,Comedy,"In You, Me and Him we meet lesbian couple Olivia and Alex (Lucy Punch, Faye Marsay) who, despite their age difference, are very much in love. But as the question of pregnancy rears its head and their neighbor John (David Tennant) befriends them, they both start making some truly disastrous decisions."
Movie,Woke Up Like This,2017,104 min,Comedy,"A story about Nando, who's a dutiful son and breadwinner to his family, and Sabrina, a rich kid and one of the top models in the country. While both prepare for their biggest breaks, these two strangers wake up one day in an extraordinary circumstance, switching bodies with each other. Philippines Tagalog movie."
Movie,William Lee Martin: The Nutcracker - A Christmas Stand-up Comedy Spectacular,2019,55 min,Comedy,"The Texas comedian returns with his third television one-hour special talking all things Christmas including traditions, the pitfalls of having family over, and finding the ultimate gift in this one-of-a-kind stand-up special."
Movie,William Lee Martin: Standing in the Middle,2019,58 min,Comedy,"The middle aged, middle class, Texas comedian talks about life, being married, raising his five kids, and surviving in the middle of an America that is always changing."
Movie,Wilder Napalm,1993,109 min,Comedy,"Two brothers with the secret power of starting fires with their minds, reunite after years apart, only to find conflict with their differing lifestyles."
Movie,Who Killed Doc Robin,1948,52 min,Comedy,"A group of people find themselves trapped in a creepy mansion, complete with secret passageways, a mad doctor and a murderous gorilla."
Movie,Whitney Cummings: Money Shot,2010,48 min,Comedy,"Money Shot finds Cummings riffing on a wide range of topics chiefly, the differences between men and women and how both tend to behave in relationships."
Movie,WHATEVER FATHER,2018,102 min,Comedy,"Matias, a 10-year-old runs away from home in a huff and ends up getting on a bus, eventually he get lost, until he is found by Rogelio, a man who works as a clown restaurant."
