type,title,release_year,duration,listed_in,description
Movie,Pink: Staying True,2014,69 min,Documentary,"Pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! Get inside access to ""the girl who got the party started"" with exclusive interviews and rare live performances."
Movie,Hired Gun,2017,98 min,Documentary,"They are the ""First Call, A-list"" musicians, just 20 feet from stardom, yet rarely receive credit for their work. The 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians."
Movie,Resilencia,2020,46 min,Documentary,"The documentary follows the midfielder’s everyday life for six months. It’s a sincere portrayal by Rafinha himself, who opened his home for the cameras to film every moment, even allowing them into the operating room."
Movie,Elon Musk: The Real Life Iron Man,2018,74 min,Documentary,"Discover the meteoric rise of Elon Musk, the man who is transforming the way we think about travel technology through electric cars, the Hyperloop, and revolutionary ideas on how we live through artificial intelligence and colonizing Mars."
Movie,Zambezi: Force of Life,2005,50 min,Documentary,"The Zambezi river is the fourth-longest river in Africa, flowing from the heart of Zambia all the way to the Indian Ocean. Along the way, we discover the breathtaking wildlife that call the river home, including hippos and crocodiles. As we follow the course of this infamous river, even more diverse wildlife is revealed along its shores. With danger at every turn, this is Zambezi!"
Movie,Wrangler: Anatomy of an Icon,2008,85 min,Documentary,"From the dawn of the sexual revolution comes the outrageous and true story of 1970s gay porn icon Jack Wrangler. Jack rose to become a major brand name in adult entertainment, as well as a hero to the newly liberated gay population, only to cross over to straight movies and fall in love with famous vocalist Margaret Whiting."
Movie,World War II: Saving the Reality,2012,56 min,Documentary,"Over the course of five decades, Kenneth W. Rendell amassed the largest and most comprehensive private collection of original World War II memorabilia in the world. Narrated by Dan Aykroyd, World War II: Saving the Reality opens the doors to this private museum. Rendell provides a guided tour of the museum's 30 exhibits."
Movie,William the Conqueror,2015,53 min,Documentary,"One of the most powerful rulers in all of European history, William the Conqueror, is profiled in this documentary. From his rulership at age eight, to his commanding victory in the battle of Hastings, William reinvented the structure of European royalty. From the battlefield to the royal court, William set the stage for the continent's future. This is his story."
Movie,William Tecumseh Sherman: Beyond the March to the Sea,2019,115 min,Documentary,"Soldier, banker, lawyer, professor; William Tecumseh Sherman was more than a Civil War General. Sherman voyaged the world, influenced the California Gold Rush, started banks and Louisiana State University. He advised and entertained presidents, and changed the dynamic of war. Later he set decades of policy in the American West. Few leaders have had such a contentious impact on America as Sherman."
Movie,William and Kate: Into the Future,2011,49 min,Documentary,"From student to royal girlfriend and then to modern day princess, Kate Middleton has made a remarkable journey. In less than a decade, this normal girl from an ordinary background has won her prince charming and become the prospective Queen of England."
Movie,Wild Colombia Revealed,2016,91 min,Documentary,"Nestled at the top of South America, Colombia is a dream for ecologists everywhere. Filmed at over 85 locations with 150 hours of footage, this ambitious natural history feature showcases 38 different species from 20 documented ecosystems. From jaguars in the shadows hunting their prey to the silver arowana fish mouth-brooding its young, this film reveals the wonder and majesty of Colombia."
Movie,Why We Fight,2006,99 min,Documentary,"Winner of the 2005 Grand Jury Prize at the Sundance Film Festival, Eugene Jarecki's groundbreaking documentary dissects the political, economic and historic reasons behind our increasingly aggressive military strategy since the end of World War II."
Movie,Who Put The Klan Into Ku Klux Klan,2018,59 min,Documentary,"In this surprising documentary, archaeologist and historian Neil Oliver examines the links between racism today in the Deep South and the Scots who first occupied it."
Movie,White Savior: Racism In The American Church,2019,62 min,Documentary,"Despite the progress many see in the US over the years, it' become increasingly clear that the deep roots of racism and white supremacy continue to run through our political, cultural, and religious institutions. White Savior explores the historic relationship between racism and American Christianity, the ongoing segregation of the church in the US, and the complexities of racial reconciliation."
