type,title,release_year,duration,listed_in,description
TV Show,Xploration Earth 2050,2017,2 Seasons,Documentary,"What will the world look like in 2050? Where will advancements in science, technology, engineering, and math lead us? Host Chuck Pell takes viewers on a mind bending journey in search of these answers."
TV Show,World War 2 - The Call of Duty: A Complete Timeline,2020,1 Season,Documentary,"Track the main events of World War II with the help of remarkable archive footage and see exactly what happened, and when. Learn about Pearl Harbor, The Battle of Britain, D-Day, the dropping of the atomic bomb and more. From the early battles right through to the complexities of the endgame, this extensive 24 episode series shines a spotlight on a period of history that should never be forgotten."
TV Show,Wonders of Mexico,2018,1 Season,Documentary,"Mexico is rich in culture and ablaze with color. Discover the hidden underworlds, diversity of life, and a mosaic of vast landscapes that create a festival of life. Includes: Forests of the Maya, Mountain Worlds, and Burning North."
TV Show,Wildest Places,2019,3 Seasons,Documentary,"In terms of rainfall, the Antarctic is the driest place on earth, yet it holds more than two-thirds of the planet's fresh water. With plunging temperatures and powerful winds, our southernmost land mass is an unrelenting habitat. Nevertheless, life persists, and extraordinary creatures answer the call of the seasons. This frozen tundra is the Wildest Antarctic."
TV Show,Wild North,2014,1 Season,Documentary,"""Wild North"" moves through three biotopes; vast forests, rugged coastline and interior highlands shaped by shifting ice ages. These landscapes resonate deep within the Scandinavian soul, floating into view like illustrations from shared fairy tales. And so do the iconic animal species that feature strongly in each programme, stirring ancestral memories and reaffirming our connection with the land."
TV Show,What's Up In Space: The Solar System For Kids,2010,1 Season,Documentary,"What's Up In Space? is a refreshing series that introduces young learners to the solar system. These fascinating topics are presented at a developmentally appropriate level, using a combination of live action, colorful illustrations and computer created animations. Each program answers important questions in a fun, innovative style. An award-winning series used in classrooms and households."
TV Show,What Went Wrong: Countdown to Catastrophe,2019,1 Season,Documentary,"This series dives deep into six catastrophic events that stunned the world, a high adrenaline series about the interface between man and machine. Each disaster is retold by survivors and first responders, but eventually turns its focus on the machines, the high tech infallible constructions that suffered catastrophic failure because of engineering errors that were entirely preventable."
TV Show,Wahlburgers,2017,7 Seasons,Documentary,Wahlburgers follows the Wahlbergs in the city that witnessed their rags-to-riches story as they plan to make their restaurant a success in Boston and beyond.
TV Show,Waco: Madman or Messiah,2018,1 Season,Documentary,The raid of Mount Carmel develops into a 51-day stand-off between the Branch Davidians and the FBI. A direct line of communication is established between FBI negotiators and David Koresh on the inside.
TV Show,Voyage of the Continents,2013,1 Season,Documentary,"This extraordinary series is a sweeping account of the rise of Earth's continents. They are the product of a grand waltz of plate tectonics and the continual evolution of Earth's crust. As landmasses assemble and separate, they fuel volcanoes and spark earthquakes, building mountains and tearing valleys. We see the Earth, eons in the making, through the eyes of geologists and other scientists."
TV Show,Victorian Farm,2009,1 Season,Documentary,Historian Ruth Goodman and archaeologists Alex Langlands and Peter Ginn go back in time to relive the day-to-day life of a Victorian farmer.
TV Show,Vets in Action,2008,1 Season,Documentary,"These vets are dedicated to saving the lives of animals big and small working from for extraordinary practices in the north of England. They are on called 24 hours a day 365 days a year, always ready to care for any animal."
TV Show,Very Superstitious with George Lopez,2018,1 Season,Documentary,"In Very Superstitious with George Lopez, George goes across the country to cities and small towns to show the many ways we're all alike... through our superstitions."
TV Show,UFO Hunters,2009,2 Seasons,Documentary,A team of experts travels to the sites of reported UFO encounters to conduct in-depth investigations regarding the incidents.
TV Show,Tudor Monastery Farm,2013,1 Season,Documentary,"Archaeologist Peter Ginn and historian Ruth Goodman, who is also a leading specialist in Tudor domestic life, return to front this six-part series, joined this time by archaeologist Tom Pinfold. The team turns the clock back to the year 1500 to take on the role of the lay-folk who did the bulk of the farming and crafting within monastic lands."
TV Show,Travels by Narrowboat,2020,6 Seasons,Documentary,"Season 6 kicks off at Sawley, where Kevin & Aslan arrived at the end of Season 5. With the weather forecast promising an unseasonably fine winter for the following 2 weeks, Kevin must decide if he is to head north or south - ultimately choosing to 'hibernate' through the cold months, in an area he is familiar with and remembers as comforting, safe and homely."
TV Show,Trail of Tears,2008,1 Season,Documentary,"Native Americans have experienced a history full of oppression and racism. Since the period when Native tribes were found on this continent at the time of its discovery, the British and American governments disregarded Native Americans as the owners of the territory they occupied and used aggressive force to take their lands and destroy their people."
TV Show,Top Gear's Top 41,2013,1 Season,Documentary,"Jeremy Clarkson, Richard Hammond, James May and occasionally The Stig, have created some of the most memorable moments on TV in the past 10 years. Top Gear's Top 41 will take you on a journey through their favorite moments from the past 19 seasons, including the very best of the races, the challenges, the road-trips, and the often slightly ridiculous stunts."
