type,title,release_year,duration,listed_in,description
Movie,Vinci Da,2019,113 min,Generic,"At the time when Vinci Da, an extremely talented make-up artist, struggling in his professional life, faces disasters because of his straight forwardness and arrogance; enters Adi Bose, a serial killer, changing Vinci Da's life forever."
Movie,Vicky Velingkar,2019,125 min,Generic,"Vicky Velingkar is a struggling comic book artist and a watch seller, who gets entangled in an unexpected murder mystery. As she investigates, she realises that nothing is what it seems and the man who killed her best friend is now on to her. In a race against time, Vicky must find the killer before he hunts her down."
Movie,Vellai Pookal,2019,121 min,Generic,"Vellai Pookal is a thriller based on the story of a retired Indian cop who travels to the USA to meet his son and fatefully finds himself caught in a web of disappearance, death, and deceit. Follow Rudhran through his experiences in the Pacific Northwest and you will smile, laugh heartily, gasp with fear and be chilled with thrills as he unravels the mystery of the kidnappings in his neighborhood."
Movie,Mother (Silent),2007,87 min,Generic,The Film Version Of Gorki's Great Story Of The 1905 Revolution
Movie,Missing,2018,120 min,Generic,"Set on the theme 'nothing is what it seems', Missing is a thrilling tale about a couple, Mr. & Mrs. Dubey (essayed by Manoj and Tabu), and their 3-year-old daughter, Titli, who has gone missing at a beach resort in Mauritius. As the police get involved in the search, the suspense only increases with different people, different viewpoints and different versions about the missing child."
Movie,Katha Sangama,2019,154 min,Generic,Kathasangama is an anthology movie comprising of 7 short stories.
Movie,Ishaqzaade,2012,132 min,Generic,"Rising from the ashes of hooliganism & small town clan wars, comes the love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love. A story about two fiery bloods played by Arjun Kapoor & Parineeti Chopra, and their fight for power & supremacy. A story about love brewing in the often unrealistic and daunting political confines of rural India. A story called ISHAQZAADE."
Movie,Gulabo Sitabo (4K UHD),2020,125 min,Generic,"Set in present day Lucknow (India), Gulabo Sitabo is a social satire about two impossibly peculiar human beings - Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Baankey Rastogi. The mansion may have seen many dramas unfold over a century of its existence, but still has a final act left as the drama of battle of ownership unfolds, with a priceless lesson to teach."
Movie,Goyenda Junior,2019,118 min,Generic,"Bikram (Rwitobroto Mukherjee), a teenage boy, spends his days mooning over his crush Tuki (Anusha Viswanathan), and reading lots of crime fiction. An odd twist of events leads Bikram on a quest to solve the perfect crime - a murder cleverly disguised as a natural death !"
Movie,Goodachari,2018,142 min,Generic,"After being trained in an ultra competitive secret service program, Arjun, A young agent is framed for the murder of his bosses, suddenly turning him into India's most wanted criminal. Who framed him? And why? For someone who was taught that the 'mission' is everything, Arjun now realizes that now his mission is darker than expected."
Movie,Gulabo Sitabo,2020,125 min,Generic,"Set in present day Lucknow (India), Gulabo Sitabo is a social satire about two impossibly peculiar human beings - Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Baankey Rastogi. The mansion may have seen many dramas unfold over a century of its existence, but still has a final act left as the drama of battle of ownership unfolds, with a priceless lesson to teach."
Movie,YO,2007,98 min,Generic,A handyman named Hans moves to a small town in Majorca where his his presence strikes a discord with the local residents.
Movie,THE MAIDEN AND THE WOLVES,2008,106 min,Generic,"Angèle is determined to become the first woman veterinarian. Torn between 2 men, an unscrupulous industrialist and a simple man who lives among wolves. She uses this rivalry to attain her goal: saving wolves."
Movie,TAXI BLUES,1990,105 min,Generic,"Russian w/English subs. Ivan, a cab driver meets Alexi, a musician, they become friends. Alexi is discovered goes on tour and becomes a celebrity."
Movie,PERSECUTION,2009,99 min,Generic,"A stranger who regularly breaks into his house and spies on him haunts Daniel (Romain Duris) and tells him that he is the man of his life. Daniel is shocked and tells the stranger to stay away since he has a girlfriend, Sonia."
Movie,LAST STOP PARADISE,1998,96 min,Generic,"A hot summer day in Bucharest. Norica, and Mitu, meet and tease each other and start a drinking competition. This is no one-night stand. It could be serious, but Norica is engaged and Mitu has a commitment."
Movie,I LOVE YOU TOO,2001,92 min,Generic,"While camping in France, Dutch friends Eric and Eddy meet two women. Eric talks to Silke, a medical student in Holland. He tells her about the very erotic book he is writing; we see it in flashbacks."
Movie,DIARY OF A CHAMBERMAID,1964,97 min,Generic,"A true French classic from legendary Oscar winning director Luis Bunuel. Celestine, the chambermaid, has a new job in the country. The Monteils, who she works for are a strange group with many problems and fetishes."
Movie,ALL FIRED UP,1982,103 min,Generic,"Victor (Montand) is an absent father and gambler, he comes home in need of money to cover his gambling debts. His daughter thwarts his plans. But when she realizes gangsters are looking for him, her attitude changes."
Movie,Wajah Tum Ho,2016,131 min,Generic,A hooded vigilante is broadcasting murders on a news channel. Will the police catch him alive before he live-casts another death?
Movie,Dhruvangal Pathinaru,2016,104 min,Generic,"Deepak retires after an accident cuts off his right leg. Five years down the line, he is forced to revisit all the events leading to the accident."
Movie,Love Games,2016,109 min,Generic,A pair of nymphomaniacs compete in seducing couples to sleep with them.
Movie,Stonewall,1997,92 min,Generic,"America comes out of the closet in this exuberant musical comedy based on real events. To the music of The Shangri-Las, Patti LaBelle and Judy Garland, Stonewall mixes outrageous lip-synching with glitter, romance and attitude."
Movie,New York,2009,151 min,Generic,"NEW YORK is a contemporary story of 3 young friends (John Abraham, Katrina Kaif and Neil Nitin Mukesh) set against the larger than life backdrop of NYC, whose beautiful lives are turned upside down by the larger event of 9/11. Enter Agent Roshan (Irrfan), a FBI undercover agent who sets the ball rolling for a set of events that turn the lives of these friends into a thrilling roller coaster ride."
Movie,SALOME,2002,82 min,Generic,"A director prepares a flamenco troupe for a performance. He summarizes the story, describes the action: Salomé's attraction to John the Baptist he rejects her she seeks revenge. The movie takes us from rehearsal to performance."
Movie,AN UNFORGETTABLE SUMMER,1994,80 min,Generic,"In 1920's Romania, Marie-Thérèse refuses the advances of her husband's commanding officer. The family is then reassigned to a dangerous outpost on the Bulgaria/Romania border where their relationship is severely tested."
Movie,Muqaddar Ka Faisla,1987,172 min,Generic,"When Krishnakant, a virtuous Hindu pandit, is falsely accused of theft and rape, he is arrested and swiftly imprisoned and his family is left penniless. Years later, after serving his sentence, he is released from prison, his only goal is to exact retribution for his framing, and yet he has no money, resources or the ruthlessness to combat the conniving and manipulative culprits who framed him."
Movie,Talk To Her,2002,113 min,Generic,"After a chance encounter at a theater, two men, Benigno and Marco, meet at a private clinic where Benigno works. Lydia, Marco's girlfriend and a bullfighter by profession, has been gored and is in a coma. It so happens that Benigno is looking after another woman in a coma, Alicia, a young ballet student. The lives of the four characters will flow in all directions, past, present and future, dra.."
