type,title,release_year,duration,listed_in,description
TV Show,ZeroZeroZero,2020,1 Season,Generic,"ZeroZeroZero series follows the journey of a cocaine shipment, from the moment a powerful cartel of Italian criminals decides to buy it until the cargo is delivered and paid for, passing through its packaging in Mexico and shipment across the Atlantic Ocean."
TV Show,Zahara: The Return,2020,1 Season,Generic,"The story explores the history of slavery and racism, and the tensions between a white supernatural world and a supernatural world of colour as an ancient black Druid rekindles her forbidden love with the son of her former master."
TV Show,Your Bleeped Up Brain,2013,1 Season,Generic,"See what an alien abduction reveals about your memory, learn how a seance in the White House holds the key to superstition, uncover a conspiracy theory about the moon landing."
TV Show,Wotakoi: Love is Hard for Otaku,2018,1 Season,Generic,"When Narumi, an office lady who hides the fact that she is a yaoi fangirl, changes jobs, she is reunited with Hirotaka, her childhood friend who is attractive and skilled but is a hardcore gaming otaku. They decide to start dating for now, but being otaku, both of them are awkward so a serious romantic relationship is rather difficult for them..."
TV Show,World Food Championships,2014,1 Season,Generic,World Food Championships invites the champions from the biggest and best food competitions around the world into a single high-stakes culinary showdown for hundreds of thousands of dollars.
TV Show,Wisconsin Unexplained,2018,1 Season,Generic,"Wisconsin is home to the Strange and unusual. UFO's Aliens, Ghosts, Spiritual encounters, demons, monsters. Wisconsin is a land of all of these legends. Wisconsin unexplained will share the stories of eye witnesses who lived through the unexplained."
TV Show,Why I Ran,2008,1 Season,Generic,"Across the country, real-life high-speed police chases rivet viewers to their TV screens. We've heard the eyewitness accounts, seen the police point of view, but no one has ever been able to go inside the mind of the driver, until now."
TV Show,Welcome to the Ballroom,2017,1 Season,Generic,"“Dance is a passion!” Tatara is an average middle school student with no particular dreams until an unexpected incident draws him into the fascinating world of ballroom dancing. “If I can just find one thing to be passionate about…”He dives into the world of dance, believing it’s his opportunity to change."
TV Show,Watch the Game Like Never Before with X-Ray,2020,1 Season,Generic,"X-Ray delivers the most advanced viewing experience available on your Fire TV, Web, iOS and Android mobile devices. Click up on your remote or just turn your mobile device to access next generation live stats, replays on-demand and more!"
TV Show,Vocabulary and Numbers with Harry the Bunny and Friends,2018,2 Seasons,Generic,"Harry the Bunny and Larry the parrot laugh, play and learn all about pros who can help us in everyday life."
TV Show,Victorian Farm: Christmas Special,2009,1 Season,Generic,"Filmed in and around the Acton Scott Estate in Shropshire, Ruth, Peter and Alex return to tackle an array of new farming tasks, to explore life in the wider working countryside and to discover how the Victorians created the celebration of Christmas as we know it today."
TV Show,Trapped [English Subtitled],2019,2 Seasons,Generic,"When a man immolates himself and a government Minister outside Parliament in Reykjavik, Police chief Andri Ólafsson is in charge of the case. This takes him back to the town he left behind, where darker secrets than he knew lurk in the mountains and valleys around the fjord. Then the brutal murder of the foreman at a geothermal power plant raises questions."
TV Show,Tougher In Alaska,2008,1 Season,Generic,"Everything is Tougher In Alaska. From earning a living to burying the dead, everyday life is shaped by unimaginably severe weather, impassable terrain and mind-bendingly vast distances."
TV Show,Top Gear: From A-Z,2015,1 Season,Generic,"From A-Z incorporates a wealth of footage and incredible facts from the past 13 years of Top Gear. Viewers get to see the greatest moments from the past 22 seasons, including behind the scenes of incredible builds, eventful trips abroad, exhilarating races, outrageous challenges, and the many famous faces who have graced the Dunsfold track."
TV Show,Too Old to Die Young,2019,1 Season,Generic,"In one tragic night, Los Angeles County Sheriff's Deputy Martin Jones's life is blown apart, and he is forced into a deadly underground of Cartel soldiers, Yakuza assassins, and mysterious vigilantes. Soon he finds himself lost on a surreal odyssey of murder, mysticism and vengeance, as his past sins close in on him."
TV Show,Tom Gleeson: Joy,2020,1 Season,Generic,"Australia’s 2019 Gold Logie winner. Chief celebrity interrogator. Host of the highest-rating quiz show on TV. There’s not much Tom Gleeson hasn’t been up to lately. Gleeson is one of the sharpest minds in Australian comedy. His shows are relentlessly hilarious and masterful. Now the world can watch the great man live on stage, in his natural habitat and in the form of his life. Experience the JOY."
TV Show,To Tell The Truth with Bud Collyer,1961,1 Season,Generic,A celebrity panel tries to guess which of three contestants is the person they are claiming to be.
TV Show,"The Unauthorized Beverly Hills, 90210 Story",2015,1 Season,Generic,"An international pop culture phenomenon, ""beverly hills, 90210"" ruled the '90s television landscape and reigned as the top teen show for nearly a decade during which Jason Priestley, Luke Perry, Shannen Doherty, Jennie Garth and Tori Spelling became household names."
TV Show,The Triangle,2005,1 Season,Generic,"This Emmy-winning mini-series from Bryan Singer (""X-Men"") follows a team of four experts as they investigate the disappearance of shipping vessels in the Bermuda Triangle, where they find a cosmic threat that might unravel time itself."
TV Show,The Toothbrush Family,1999,1 Season,Generic,"The bathroom world of the Toothbrush Family is full of surprises - mischievous plastic dinosaurs, runaway pegs, fan-induced blizzards and dancing shoes... there's even a toothfairy. All the more fun for the imaginative young toothbrushes, Molly and Max, who spend their days exploring with their friends Susie Sponge, Flash Flouride and Countess de Comb."
TV Show,The Smoke,2014,1 Season,Generic,"An experienced fire fighter is badly injured and spends almost a year recovering at home. Now he returns to work, but is he as emotionally and physically sound as he thinks he is?"
TV Show,The Royals,2018,4 Seasons,Generic,E!'s top scripted drama is back for Season 4 with more scandal and naughty royals.
TV Show,The Passing Bells,2014,1 Season,Generic,"This moving, powerful drama spans the years of the war from 1914 to 1918. As the conflict unfolds, so do the boys' incredible stories. Thomas and Michael are two young men for whom the war has little mercy, no matter which side they may be fighting for. Over five years, we follow their lives as they grow up, lose friends and find love amid the horrors of the war."
TV Show,The Nativity,2010,1 Season,Generic,"The greatest story ever told, as you've never seen it before. Writer Tony Jordan transforms a classic tale with familiar characters into a gripping human drama with an all-star cast. Starring Tatiana Maslany, Andrew Buchan, Peter Capaldi and Claudie Blakely."
