type,title,release_year,duration,listed_in,description
Movie,The Night Eats The World,2018,94 min,Horror,"After waking up in an apartment the night after a raging party, Sam comes face to face with his new reality, an army of zombies have invaded the streets of Paris and he is the lone survivor. Petrified with fear, he barricades himself inside the building to survive. He wonders how long can he last in silence and solitude, and the answer comes when he learns that he's not all alone after all."
Movie,Zoombies,2016,87 min,Horror,"When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city."
Movie,Uncaged,2020,108 min,Horror,"After finding a gruesomely slaughtered family just outside Amsterdam, the police calls veterinarian Lizzy for help. She finds herself leading the city-wide hunt for a monstrous lion terrorizing the Dutch capital in this grisly adventure."
Movie,Trilogy of Terror,1975,72 min,Horror,"Three bizarre horror stories all of which star Karen Black in four different roles playing tormented women. Written by Richard Matheson (The Twilight Zone, Night Gallery, The Outer Limits, The Alfred Hitchcock Hour et al.)."
Movie,Tormented,1960,75 min,Horror,"A man lets a former flame fall to her death rather than let her interfere with his new relationship, but her ghost returns to disrupt his impending nuptials."
Movie,The Woods: Tales of The X Species Volume 1,2018,19 min,Horror,A team of researchers encounter an ancient predator in the woods of New Mexico.
Movie,The Woman in Black 2: Angel of Death,2015,99 min,Horror,"40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrive, awakening the house's darkest inhabitant."
Movie,The Wicker Man (1973),1975,88 min,Horror,"When a young girl mysteriously disappears, police sergeant Howie travels to a remote Scottish island to investigate. But this pastoral community, led by the strange Lord Summerisle, is not at all what it seems."
Movie,The Tall Man,2012,106 min,Horror,"Darkness has descended over the northwestern town of Cold Rock. One by one, its children are disappearing. They leave behind neither clues nor credible witnesses, but instead a legend, a story cloaked in shadows passed from neighbor to neighbor... And with it, a building sense of terror which threatens to devour what's left of the community itself."
Movie,The Tag-Along 2,2017,107 min,Horror,"A mother goes in search of her missing teenage daughter after her sudden disappearance. She is told that her daughter was last seen in the company of a girl in red, leading the mother to attempt to unravel the mystery behind the girl."
Movie,The Ruins,2008,91 min,Horror,"Based on the terrifying best-seller by Scott Smith, ""The Ruins"" follows a group of friends who become entangled in a brutal struggle for survival after visiting a remote archaeological dig in the Mexican jungle where they discover something deadly living among the ruins."
Movie,The Phantom of the Opera (Silent),1925,79 min,Horror,"A mad, disfigured composer seeks love with a lovely young opera singer."
Movie,The Monkey's Paw,2013,88 min,Horror,"Jake is given a mystical monkey's paw that grants three wishes, but things go terribly wrong when he brings his friend back from the dead."
Movie,The Legend of Halloween Jack,2018,84 min,Horror,"On Halloween night, a serial killer returns from the dead to take revenge on the vigilantes who put him to death one year earlier."
