type,title,release_year,duration,listed_in,description
Movie,Living With Dinosaurs,1989,52 min,Kids,"The story unfolds in a an English seaside town, where Dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. A stuffed toy dinosaur named Dog is Dom's only confidant – Dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents."
Movie,Forest Fairies,2016,88 min,Kids,Amanda stumbles upon a hidden village of fairies in the forest. They help her thwart a scheming land developer's plan to trick her mother into selling the family inn.
Movie,Wonderful Nursery Rhymes with Mia - Little Baby Bum,2019,33 min,Kids,LittleBabyBum is proud to present a compilation with some of the most popular and educational nursery rhymes with Mia!
Movie,Wonderful Nursery Rhymes with Jacus - By Little Baby Bum,2019,34 min,Kids,Enjoy this educational and fun compilation of classic nursery rhymes with Jacus from Little Baby Bum!
Movie,Where is Chicky? - Chapter Two,2019,22 min,Kids,"Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he explores the microwave, the espresso machine, the yule log and many more!"
Movie,Where is Chicky? - Chapter Three,2019,22 min,Kids,"Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he encounters a magnet, tennis ball launcher, rocket, and many more!"
Movie,Where is Chicky? - Chapter One,2019,22 min,Kids,"Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he works his way around the bin, the light bulb, the iron, and many more!"
Movie,Where is Chicky? - Chapter Four,2019,22 min,Kids,"Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he plays mini golf, plays in the pinball machine, falls into a birthday cake, and many more!"
Movie,Wash Your Hands & More Classic Kids Songs - KiiYii,2020,30 min,Kids,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!"
Movie,VocabuLarry,2012,31 min,Kids,Join VocabuLarry as he explores new objects and learns the names of them - from apple and bottle to train and flower.
Movie,Vehicle Songs by Little Baby Bum,2019,48 min,Kids,"Little Baby Bum is proud to present this compilation focusing on vehicles! This 47-minute video comprises of famous nursery rhymes such as 'Wheels on The Bus', 'Tractor Song', '10 Little Buses', and many more!"
Movie,Underwater Tunes with Little Baby Bum,2019,27 min,Kids,"More wonderful underwater themed nursery rhymes starting with famous nursery rhymes such as 'Wheels On The Bus - Under The Sea' from the world's number one educational channel, Little Baby Bum!"
Movie,Twinkle Twinkle Little Star & More Classic Nursery Rhymes by Little Baby Bum,2019,43 min,Kids,"Little Baby Bum is happy to present a new set of classic nursery rhymes with its brand new animation! Join Mia, Chase, and Louis as they sing along to some of your kids most well-loved kids songs such as 'Wheels On The Bus', 'Twinkle Twinkle Little Star', and many more!"
Movie,Truck Tunes 2,2014,27 min,Kids,"From the creators of the original Truck Tunes come ten more songs about ten more cool trucks! These music videos will have you dancing and singing along with all the fun. Songs include, ""Dump It Dump Truck"", ""Clean Up Like a Vacuum Truck"", ""Call Him a Monster Truck"", and many more! Kids of all ages will love these videos. There's no better way to learn about awesome trucks than with Truck Tunes."
Movie,Tom Sawyer & Huckleberry Finn,2015,91 min,Kids,"Tom Sawyer and his pal Huckleberry Finn have great adventures on the Mississippi River, pretending to be pirates, attending their own funeral and witnessing a murder."
Movie,Tio Papi,2013,87 min,Kids,"Wild bachelor Ray Ray Dominguez dreams of nothing more than a carefree life of indulgence in Miami, but his plans are abruptly changed when he becomes the legal guardian of his sister's six children."
Movie,Thomas & Friends: The Great Discovery - The Movie,2008,61 min,Kids,"As the railway engines prepare for Sodor Day, the Island's biggest celebration! Thomas makes a great discovery and finds a long lost town. Sir Topham Hatt declares that the long-lost town must be restored in time for the celebrations. Thomas feels threatened by the arrival of new engine Stanley and, when a trick backﬁres, Thomas finds himself lost. Will he be found in time for Sodor Day?"
Movie,Thomas & Friends: Tale of the Brave - The Movie,2014,60 min,Kids,"After a monstrous storm on the Island of Sodor, a landslide unearths some very unusual footprints. Thomas and Percy are eager to find out what could have made them but obstacles and danger seem to appear around every bend in the track. With the help of new friends, a little digging, and a heap of courage, they discover the surprising answer and, along the way, uncover the true meaning of bravery."
