type,title,release_year,duration,listed_in,description
TV Show,Zoo Babies,2008,1 Season,Kids,"A heart warming and inspiring series that welcomes the arrival of new members of the animal kingdom in Zoo's around the world, as well as showcasing endangered species being born in captivity, 'Zoo Babies' is perfect family viewing packaged with fun, colourful graphics designed to capture the attention of little ones."
TV Show,Zoboomafoo,2001,1 Season,Kids,Chris and Martin Kratt bring their enthusiasm for animals to the pre-school set.
TV Show,Yu-Gi-Oh! 5D's,2011,2 Seasons,Kids,"With the defeat of Director Goodwin and the Dark Signers, New Domino City's barriers have been torn down. City and Satellite are now one - united in the hope of building a brighter tomorrow. Yet in this time of renaissance and rebuilding, a new enemy emerges, and Yusei and his friends must rev it up in order to save the world – one duel at a time."
TV Show,Xiaolin Chronicles,2015,1 Season,Kids,"Newcomer Ping Pong joins the legendary Xiaolin Monks: Omi, Kimiko, Raimundo, and Clay for fantastical new adventures! Leading the dark forces is Heylin Dragon Chase, who vows to revenge against Xiaolin. Throwing a monkey's wrench into the mix is supervillain wannabe Jack Spicer. Under the tutelage of an evil witch, Jack and his robot army are gunning for the Shen Gong Wu for world domination."
TV Show,WordWorld,2007,1 Season,Kids,The loveable WordFriends take children on adventures in a world of words where they encounter all sorts of situations that can only be solved by building a word!
TV Show,WordGirl,2010,1 Season,Kids,WordGirl and her sidekick Captain Huggy Face take down quirky villains in every action-packed episode.
TV Show,Wonder Balls,2015,1 Season,Kids,"Enjoy parades of unique and fun ball characters! Wonder Balls bring the best performances to the stage. When they meet, they start playing right away. Brush Ball, Sponge Ball, Water Ball, Accordion Ball, Castanets Ball, Xylophone Ball and more join to complete stories of vivacious arts, exciting music and joyful play."
TV Show,Wishenpoof,2019,4 Seasons,Kids,"Bianca is just like any other little girl, except for one teensy little thing.  Bianca has Wish Magic, so she can make wishes come true! Whether she’s at home in Wish World, at the Willow Tree with her fairy friends, or at school with her non-fairy friends, Bianca and her hilarious teddy bear sidekick Bob navigate day-to-day problems."
TV Show,Wild Kratts,2011,1 Season,Kids,"The real-life Chris and Martin introduce each Wild Kratts episode with a live action segment that imagines what it would be like to experience a never- before-seen wildlife moment, and asks, ""What if...?"" The Kratt brothers transition into animation and the adventure begins, bringing early-elementary school children into the secret lives of extraordinary creatures, many of which have never been animated before - including proboscis monkeys, draco lizards and caracals!"
TV Show,Wendy,2016,1 Season,Kids,"The series focuses on Wendy and the extraordinary life she leads in her equestrian-centric world. At 15, she's already an accomplished show-jumper. Lucky for her, she lives at Rose Valley - the stables and riding school owned and operated by her father - where there are always plenty of horses and drama galore!"
TV Show,WellieWishers,2017,2 Seasons,Kids,"Join the WellieWishers™ as they imagine, sing, dream and discover just what it takes to be kind. When the WellieWishers step into their colorful garden boots, they’re ready for anything – stomping in muddy puddles, dancing with fireflies and navigating the ins and outs of friendship through play and imagination."
TV Show,Wallace & Gromit's Cracking Contraptions,2002,1 Season,Kids,"With multiple Academy Awards under their belt, Wallace and Gromit are one the of the best-loved comic double-acts in the world. Fans of their TV specials and feature films will not want to miss these rarely-seen short films, each of which introduces a new invention from Wallace intended to make everyday life a little easier such as the Autochef, the Soccamatic, and the Snoozatron. Predictably enough, these mini-masterpieces never perform quite as expected, and it is down to Wallace's long-suffering dog Gromit to pick up the pieces."
TV Show,Wallace & Gromit: The Complete Collection,2008,1 Season,Kids,"Academy Award winning eccentric inventor Wallace, and his faithful, four-legged friend Gromit have specially re-mastered all four of their smashing half-hour specials."
TV Show,TuTu Town,2014,1 Season,Kids,Join Andy and his friends as they experience life in TuTu Town! Fun and exciting adventures await the viewer as the characters explore themes of friendship and civic mindedness.
TV Show,Tumble Leaf,2019,6 Seasons,Kids,"Tumble Leaf is a series aimed at preschoolers, set in a whimsical land where a small blue fox named Fig plays each day and discovers adventure, friendship and love around every bend in the path. Children will be enriched by narratives that promote play, the fun of learning and understanding the world around them."
TV Show,Troy the Train,2019,2 Seasons,Kids,"Troy the train is the fastest and smartest train in Train Town! He can transform himself in any vehicles with the help of his friend, Teddy ! Every day, Troy the train meets new friends, who follow him in wonderful adventures."
TV Show,Travel with Kids,2015,2 Seasons,Kids,"Travel With Kids adventure continues from Bora Bora to Botswana. Learn history and culture in California and China. Swim with whale sharks in Mexico, explore the jungles of Belize and get castaway on Fiji. Enjoy Hawaii head out on safari in South Africa. Travel With Kids brings you educational and trip planning, or just trip dreaming fun for the family!"
TV Show,Totally Spies!,2014,6 Seasons,Kids,"Join Sam, Alex and Clover, high school best friends, as they accidentally find their way into their secret lives of being undercover spies for WOOHP, who fight and foil the devious plans of the world's strangest and the most outrageous supervillains. Each episode gives us a sneak peek into their lives and serves as a reminder that some super spies have high school woes and homework!"
TV Show,Tom's Paint Shop,2019,2 Seasons,Kids,"Tom the Tow Truck, the famous truck of Car City, is also fond of painting ! Tom welcomes his truck friends into his brand new Paint Shop and transforms them into their favorite character. Tom The Tow Truck can paint anything that comes from his friends' imagination. Welcome to Tom's Paint Shop !"
TV Show,Tom the Tow Truck of Car City,2019,4 Seasons,Kids,"Tom the Tow truck is an ingenious mechanic who is always there to help his friends. When accidents happen in Car City and vehicles get broken, Tom rushes to get them into his garage in order to repair them. Follow him in his important mission!"
TV Show,ToddWorld,2005,2 Seasons,Kids,"Based on Todd Parr's acclaimed children's books, ToddWorld is a celebration of imagination in a world where everyone is welcome! In ToddWorld, it's okay to wear your underpants on your head, take a bath with a hippo or invite a skunk to the movies. It's a wonderful colorful world - come join in the fun!"
TV Show,Toca Life Stories,2020,1 Season,Kids,Will Zeke be able to pet Ok Street's tiiiiniest animal? Does Leon overcome his stage fright? Will Rita escape Octobox's awkwardness? And where in the world does Nari disappear to? Follow the gang and their quest to vanquish boredom in Toca Life Stories season 1.
TV Show,Tiny Trucks,2020,2 Seasons,Kids,"Charlie the Crane, Billy the Bulldozer and Ed the Excavator are the ingenious Tiny Trucks. Those small but clever construction trucks assemble pieces of funny trucks and attractions. Ice cream trucks, giant slides, fire trucks, and so more. Learn and have fun with the Tiny Trucks."
TV Show,Timmy Time,2011,5 Seasons,Kids,It's Christmas Eve at the Timmy Time Nursery.
