type,title,release_year,duration,listed_in,description
Movie,Young Love (at the Sun Factory),2007,36 min,Music Videos and Concerts,"Young Love celebrates the release of ""Too Young To Fight It"" with a midnight show inside an old factory building."
Movie,Young Love (at Bowery Ballroom),2007,37 min,Music Videos and Concerts,"Young Love returns to Baeble's silver screen with a bigger stage, expanded setlist, nicer clothes, and the same blend of rock, dance, and pop."
Movie,World Inferno Friendship Society,2007,40 min,Music Videos and Concerts,The circus comes to town with this performance at the traveling Spiegeltent from Wolrd Inferno Friendship Society.
Movie,USAISAMONSTER,2007,46 min,Music Videos and Concerts,"A heavy combination of drums, vocals, and bone-crushing no wave."
Movie,Us the Duo: Christmas Live in LA  (4K UHD),2018,51 min,Music Videos and Concerts,"In the winter of 2017, Us the Duo played their largest sold-out show to date at the ACE Theater in Los Angeles. The result is this full length concert film, where they performed songs in both duo and band formats, from their Amazon Original holiday album Our Favorite Time of Year that features old favorites and new holiday originals to celebrate the holiday season."
Movie,Us the Duo: Christmas Live in LA,2018,51 min,Music Videos and Concerts,"In the winter of 2017, Us the Duo played their largest sold-out show to date at the ACE Theater in Los Angeles. The result is this full length concert film, where they performed songs in both duo and band formats, from their Amazon Original holiday album Our Favorite Time of Year that features old favorites and new holiday originals to celebrate the holiday season."
Movie,Tour Balas Perdidas en Madrid,2021,116 min,Music Videos and Concerts,TOUR_BALAS_PERDIDAS_EN_MADRID offered an unforgettable concert on December 15th at Wizink Center in Madrid as a final clasp of its mythical “Balas Perdidas Tour”.
Movie,Tom Hamilton's American Babies,2007,42 min,Music Videos and Concerts,"Americana tunes from a small army of singing multi-instrumentalists, Tom Hamilton's American Babies."
Movie,Titus Andronicus,2008,32 min,Music Videos and Concerts,"Titus Andronicus wallops After the Jump with their rusty, ragged, yet decidedly regional, Jersey rock."
Movie,TigerCity,2007,43 min,Music Videos and Concerts,Tigercity play Brooklynized disco-pop by way of the Bee Gees and Prince.
Movie,Thunderbirds are Now,2007,29 min,Music Videos and Concerts,Thunderbirds are Now bring frantic indie-pop from a frantic indie-pop band.
Movie,The Rosewood Thieves,2007,26 min,Music Videos and Concerts,"Set in the cozy confines of Pianos, The Rosewood Thieves capture pieces of down and dirty Lower East Side rock, sun splashed Southern California vibes, and country tinged song craft of America's heartland."
Movie,The Raveonettes,2007,48 min,Music Videos and Concerts,The two musicians of the Raveonettes channel vintage pop music and turn a Jersey venue into a 1950s sock/rock hop.
Movie,The PRiMMS,2007,36 min,Music Videos and Concerts,"Flashing lights, English accents, and full-out rock 'n' roll – must be The PRiMMS."
