type,title,release_year,duration,listed_in,description
Movie,Prema Pipasi,2021,132 min,Romance,"Prema Pipasi is about a frustrated man whose journey begins with the search for true love. Something that is holy & pure. The relationships that unfold in his journey of love are the things to watch out for. Each relationship opens up anew dimension that was never seen & expressed before. Amidst all the drama, romance, comedy& thrill, will he finally get the love he is looking for ?"
Movie,Pit Stop,2014,81 min,Romance,"In this compelling drama, openly gay Ernesto and closeted Gabe grapple with the sad tribulations of being gay in a small, working-class Texas town. Reminiscent of such classic rural gay love stories as ""Big Eden"" and ""Brokeback Mountain,"" this festival hit is an uplifting love story about male intimacy, the heartache of unsuccessful relationships, and the transformative power of love."
Movie,Past Midnight,1993,100 min,Romance,"A man gets out of prison after fifteen years for stabbing his wife to death, and his social worker becomes convinced he was innocent. As she researches his case, and interviews other people who were involved, she begins to fall in love with him, as her friends warn her that he's dangerous."
Movie,My Normal,2010,75 min,Romance,"The story of Natalie, a young lesbian from the Lower East Side, who's struggling to find a balance between her dreams of becoming a filmmaker and her lifestyle as a dominatrix."
Movie,Mr and Miss,2021,125 min,Romance,"A young man from Amalapuram goes to Hyderabad in search of an IT job. In a chance encounter, he meets a lady who had just got her heart broken. The two of them hit it off immediately and fall in love. They decide to live together and everything seems to go well until they lose a mobile phone which contains their most intimate, private moments."
Movie,Ice Blues: A Donald Strachey Mystery,2008,84 min,Romance,Gay detective Donald Strachey is asked by his partner Tim to investigate a mysterious donation to a youth center. Donald gets caught up in a whirlwind of deceit and danger.
Movie,Ian Harvie: May The Best Man Win,2016,57 min,Romance,"Ian Harvie is redefining what it means to be a dude through a fresh perspective on sex/sexuality. Unafraid to quip about subjects no other comedian has touched, Ian challenges the traditional macho, sex-obsessed world of stand up, proving that laughter cuts across all identities and ultimately unites us all. Ian is the first trans man comedian with a comedy special."
Movie,Heterosexual Jill,2014,79 min,Romance,"Unable to make progress with her ex-lesbian conversion path, a neurotic ""All American"" Jill tracks down her ex-girlfriend Jamie to prove to herself that she is no longer attracted to her. Strung along by guilt and desire, Jamie agrees to the preposterous plan of ""dating"" Jill so that Jill can close this chapter of her life and move forward with men."
Movie,Hello Guru Prema Kosame,2018,136 min,Romance,"After a rocky start, a friendship develops between a happy-go-lucky youth and a girl from the city."
Movie,Getting Go: The Go Doc Project,2014,91 min,Romance,"After becoming infatuated with a beautiful New York go-go dancer, college boy Doc devises a plan to get close to his crush by asking him to be the main subject in a makeshift documentary. But as they grow closer, flirtation blurs the line between subject and filmmaker and Doc is confronted with more than he could ever have imagined."
