type,title,release_year,duration,listed_in,description
Movie,Zoe,2018,104 min,Science Fiction,"ZOE tells a tale of forbidden love between an engineer and a robot. ZOE (Léa Seydoux) and COLE (Ewan McGregor) are colleagues and veiled lovers at a lab working to perfect romantic relationships. But their relationship is threatened when Zoe discovers the truth about their relationship, sending them into a spiral of confusion, betrayal and the most intense of human emotions, love."
Movie,Xchange,2001,109 min,Science Fiction,A man learns the danger of a new technology that allows people to transport their minds into a waiting body at their chosen destination when his body is taken over by a terrorist.
Movie,White Tiger,2021,109 min,Science Fiction,"Great Patriotic War, early 1940s. After barely surviving a battle with a mysterious, ghostly-white Tiger tank, Red Army Sergeant Ivan Naydenov becomes obsessed with its destruction."
Movie,Voyage Into Space,1970,98 min,Science Fiction,"A little Japanese boy, Johnny Sokko, and his giant flying robot prevent the monster Dracolon from destroying Tokyo."
Movie,Virus,2019,149 min,Science Fiction,"Virus is a fiction based on true events, revolving around the deadly Nipah virus epidemic scare in Calicut, in 2018. A zoonotic disease top-listed by WHO, with no vaccination and treatment protocol, the deadly Nipah kills 75 % of those affected. Virus movie documents how the community spirit of a small town, in a tiny state of India, managed to fight the battle and win."
Movie,The Vast of Night,2020,91 min,Science Fiction,"In the twilight of the 1950s, on one fateful night in New Mexico, a young switchboard operator Fay (Sierra McCormick) and charismatic radio DJ Everett (Jake Horowitz) discover a strange audio frequency that could change their small town and the future forever."
Movie,The Speed of Thought,2014,94 min,Science Fiction,"Joshua Lazarus is a scoper, a telepath who can literally enter other people's thoughts. But Joshua's gift is also his downfall – scopers go insane by the age of 29. And Joshua has just turned 28. While on a government spy mission, Joshua falls in love with a fellow scoper. As truths start to unravel and new worlds begin to open, the two lovers battle to spend their few remaining days together."
Movie,The Mandela Effect,2019,80 min,Science Fiction,"A man becomes obsessed with facts and events that have been collectively misremembered by thousands of people. Believing the phenomena to be the symptom of something larger, his obsession eventually leads him to question reality itself."
Movie,The Last Sharknado: It's About Time,2018,89 min,Science Fiction,"Determined to bring his family back to life, Gil sends his father Fin back in time to stop the Sharknados from starting. Along the way, he fights dinosaurs, knights, cowboys, and a robot version of his wife. This time - it's not how to stop the Sharknados, but when."
Movie,The Giant,2016,89 min,Science Fiction,Rikard is an autistic man who was separated from his mother. He thinks that he will get her back if he wins the Championship of pétanque. A giant is on his side.
Movie,The Fare,2019,82 min,Science Fiction,"Harris, a world-weary taxi driver, and his fare, Penny, find themselves trapped in an endlessly looping ride that changes their lives forever."
Movie,The Ash Lad: In Search of the Golden Castle,2019,98 min,Science Fiction,"When the King and Queen are poisoned, brothers Per and Pål are arrested as suspects. Younger brother Espen ""The Ash Lad"" and Princess Kristin set out on a quest to find the mythical Soria Moria castle, said to be built of pure gold and contain the Water of Life, which can cure Kristin's parents. If they fail, it will spell the end for the brothers, the kingdom, and perhaps the entire world."
Movie,The Angry Red Planet,1960,83 min,Science Fiction,"A science-fiction tale of an expedition to the ""angry red planet"" of Mars...running into all sorts of alien terrors, including unfriendly Martian plants and a terrifying kind of giant mouse/spider hybrid."
Movie,Terrordactyl,2016,98 min,Science Fiction,"When a meteor shower rains down outside Los Angeles, Jonas and Lars head out to find a meteor and strike it rich. After recovering one, they start being stalked by terrordactyls, flying reptiles that launch a full-on assault on the city. Trying to survive, they go on the run with Candice, a bartender; Valerie, her sultry roommate; and Sampson, a brash ex-marine."
Movie,Small Soldiers,1998,110 min,Science Fiction,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously."
Movie,Slipstream,2005,87 min,Science Fiction,"Sci-fi drama. A scientist who has managed to create a time travelling device accidentally interrupts a bank robbery while experimenting with his invention. Now he must go back in time again to prevent the heist, and his own death."
Movie,Sky Racket,1937,62 min,Science Fiction,"Several mail planes crash twelve miles outside a small town, but the pilots and the mail sacks have disappeared. FBI agent Eric Lane (Bennett aka Herman Brix) is assigned to the case. He flies to the area with the plan to bail out, but shortly before he jumps, he discovers stowaway society debutante Marion Bronson (Barclay), who is escaping an arranged marriage to Count Barski (Renaldo). The plane motor suddenly dies and Lane is forced to grab Marion and jump out of the plane with their single parachute. When the pair safely lands, they are captured by a gang of criminals and taken to their hideout. The pair must use their wits and brawn to defeat the gang and stop their use of a stolen ray gun, which is used bring down planes carrying valuable cargo."
Movie,Sharknado 4: The 4th Awakens,2016,85 min,Science Fiction,"Five years after the wave of sharknados that wracked the east coast, our heroes are living a quiet life in the middle of the country – as far away from sharks as possible. But when a freak sand sharknado hits Vegas, Fin is thrown back into action, fighting sharknados on a cross-country race to save his family and the world – as all mankind should know by now, there is no escaping..."
Movie,Rupture,2017,101 min,Science Fiction,A single mom tries to break free from a mysterious organization that has abducted her.
Movie,Professor Shanku O El Dorado,2020,92 min,Science Fiction,"A world of myths, superpowers, and science - and Prof Shanku! Catch India's first science-fiction, with some ""Ray"" magic."
Movie,Prisoner X,2017,88 min,Science Fiction,"As the world rages in war and civil strife, CIA agent Carmen Reese arrives at a secret underground prison to interrogate a captured terrorist with links to recent attacks on American soil. But the prisoner is more than he appears - he has arrived from the future with ninety-eight other time travelers who are still at large and wreaking havoc across the globe."
Movie,"Phantom From 10,000 Leagues-1955",1996,80 min,Science Fiction,"An unusual radioactive rock on the sea bottom mutates the ocean life into a horrible monster. When charred, radioactive bodies begin to drift ashore a scientist and government agent investigate the phenomenon."
Movie,Pay The Ghost,2015,94 min,Science Fiction,"One year after his young son disappeared during a Halloween carnival, Mike Lawford (Nicolas Cage) will stop at nothing to unravel the mystery of the kidnapping and find his son."
Movie,Operation Atlantis,1965,92 min,Science Fiction,A Secret Service agent is asked by an international organization engaged in research on uranium to investigate acts of sabotage in Africa.
Movie,"Omoo, Omoo the Shark God",1949,58 min,Science Fiction,"When a sacred jungle idol is violated, the curse of a shark god follows a group of people. After a sea captain (Trevor Bardette) removes black pearls from a sacred native shrine, the curse of the shark god falls upon him and anyone else with whom he comes in contact with, according to the native legend. Disaster strikes everyone in the cast, except for the one person who will survive the curse. Based on the Herman Melville Novel. This film does an excellent job on a small budget."
Movie,Omega Doom,1997,84 min,Science Fiction,"In the post-holocaust world, mankind was defeated by his own machines is now populated and controlled by cyborgs carrying sharpened sticks and laser boomerangs. Omega Doom (Rutger Hauer) is one such cyborg. He is programmed to destroy everything that moves until a sharp blow to the head causes a short and makes him want to help the planet's few remaining human beings regain control."
Movie,No Turning Back,2020,91 min,Science Fiction,"An avionics engineer is shortlisted to join one of the first expeditions to Mars. Now, he has to break the news to his wife and children that this will be a one way trip."
Movie,Maximum Ride,2016,88 min,Science Fiction,"Maximum Ride is the extraordinary journey of six DNA-enhanced young orphans with the ability to fly - on a mission to rescue the youngest of their flock while discovering, scientific diabolical secrets of how they came to exist."
Movie,Man Vs.,2017,85 min,Science Fiction,"When TV host Doug Woods is dropped off in the Canadian wilderness, he's confident he has all the skills necessary to survive the week alone. But when strange things start happening in the forest, Doug realizes he's not the only one out there."
Movie,Maayavan,2017,126 min,Science Fiction,"Sundeep Kishan plays a police officer, who is severely injured while trapping a murderer. Couple of months after recovery, he resumes his job and during the process of investigating the murder of an actress (Akshara Gowda) comes across similarities in pattern of this murder with the previous ones. This takes him through few more characters, who are in some way connected with these murders."
Movie,Kill Order,2017,77 min,Science Fiction,Chaos erupt when a group of armed men break into a high school classroom. They target David a quiet kid who secretly suffer from unexplained memories of a horrifying past. Tapping into a previously unknown strength David fights off his attacker and goes on the run. With his life and the lives of his loved ones in jeopardy David must master the use of his new superhuman strength and fighting skills
Movie,Kandam,2020,60 min,Science Fiction,"Kandam, follows the story of an unsuspecting fisherman, a genetics scientist, and a medical professor, who find themselves on the threshold of millennia of mystery. The research and subsequent cloning intimidate the scientific community, and thrust them into a race for life. Kandam is a seamless amalgamation of science, action, fiction, mythology and history."
