type,title,release_year,duration,listed_in,description
TV Show,Top Gear America (2017),2017,1 Season,Special Interest,"Actor William Fichtner, Top Fuel Champ Antron Brown and journalist Tom ""Wookie"" Ford host an all-new Top Gear America. Each week will feature a different celebrity competing on the new Top Gear America studio and track in Las Vegas. Of course, the one and only Stig, Top Gear's mysterious test driver, will be leaving everyone in his petrol-hazed wake."
TV Show,Time Team America,2014,1 Season,Special Interest,"From PBS - TIME TEAM AMERICA plunges the viewer into the grime and glory of real-life archaeology: epiphany and exhaustion, discovery and disappointment. The team explores the mysteries of the past through what they find buried below the ground."
TV Show,The World Wars,2014,1 Season,Special Interest,"An assassination in Sarajevo sparks a global war. For the next 30 years, deadly fighting rages across Europe, Africa, China and the Pacific."
TV Show,The Three Drinkers Do Scotch Whisky,2019,1 Season,Special Interest,"Embark on an imbibing adventure with The Three Drinkers; the travelogue trio putting spirits and entertainment side by side. Come on a journey of discovery through Scotland, we explore the world of whisky in a way that has never been done before. Three Friends. Zero pretence. 100% Entertainment."
TV Show,The Ride That Got Away,2019,1 Season,Special Interest,"For every true car love there's the ride that got away. That special car they were forced to give up that will always hold a sacred place in their heart. Whether to pay medical bills, buy a house, or cover the cost of a college education, they've always dreamed of some day getting it back."
TV Show,The House that £100k Built,2017,1 Season,Special Interest,"Architectural journalist and critic Kieran Long and award-winning architect Piers Taylor are following self-builders as they take on the biggest gamble of their lives. Kieran and Piers will try to help them create the house they've longed for. But all have less than 100k to spend, little or no experience and life savings on the line - it won't be easy."
TV Show,The Block,2018,7 Seasons,Special Interest,The Block introduces four couples who are taking on one of the potentially most rewarding challenges they will ever face.
TV Show,The Amazing World Of Aviation Series - 13-Part,2013,1 Season,Special Interest,"When the Wright brothers successfully took to the sky in 1903, the world paid attention. Civil aviation has since developed into a multi-billion dollar industry. We look at the incredible history and development of civil aviation in this series. From ailed beginnings through to modern marvels such as the Boeing 787, we present 13 themed episodes suitable for all audiences."
TV Show,Supersize Vs Superskinny,2014,5 Seasons,Special Interest,"Each hour-long programme, presented by Dr Christian Jessen, will feature a short diet swap between two contributors - all of whom have been medically assessed prior to filming - with wildly contrasting eating habits. The show will see a superskinny undereater swap diet and lifestyle with an overweight overeater."
TV Show,Superheroes: A Never-Ending Battle,2013,1 Season,Special Interest,"Examines the evolution of superhero characters and the comic book industry, chronicling how disposable diversions that cost just a dime became the foundation for a multi-billion dollar industry whose products are an influential part of our national identity."
TV Show,Summer 2019 American Road Trip,2020,1 Season,Special Interest,One man's dream to drive cross-country and see the extreme points of the contiguous mainland United States
TV Show,Scrapyard Supercar,2019,1 Season,Special Interest,Petrolhead Shane Lynch is setting two teams of amateur mechanics a task of epic proportions; they have just four days to build monster machines that can out-perform a 'top-trump' attribute of a supercar.
TV Show,Scenery Channel,2017,1 Season,Special Interest,"Fire and Ice and all things In between. Sharecare Windows' International Award-Winning videographers travel to exotic and everyday locations, capturing the extreme as well as everyday life. Join us for the ultimate vicarious travel experience in Season One as we explore destinations including Iceland, Portugal, Spain, Croatia, Montenegro, and Istanbul."
