type,title,release_year,duration,listed_in,description
Movie,Yoga with Sound Meditations,2016,9 min,Sports,"This session will establish how to prepare for the practice of both mindfulness and meditation. We learn to sit with a correctly aligned spine, to observe, regulate, slow down and control the breath. These in-turn will act upon the mind and begin to still its chatter and noise. Performed by Anne-Marie Newland founder of Sun Power Yoga teacher training school and author of ""Sun Power Yoga Shala!"""
Movie,Yoga to Ease Flight Anxiety,2016,14 min,Sports,Reduce the stress of flying by using these simple and affective yoga-based moves to keep the blood flowing around the body. Help prevent Deep Vein Thrombosis and allow the heart and the brain to get as much oxygen on board as possible. Drink plenty of water and get up and walk-It's really simple and effective.
Movie,Yoga Savasana Relaxation,2014,19 min,Sports,Relax and reduce your stress while you lay down in a comfortable position to listen to this session. Yoga relaxation takes the whole body into a deep state of conscious relaxation. During a sleep or dream state the conscious mind is switched off and we have dreams which can result in not sleeping well and then you often wake up feeling exhausted.
Movie,Yoga for Relaxation Anywhere,2014,18 min,Sports,"Yoga relaxation takes the whole body into a deep state of conscious relaxation. This means the mind has been afforded the tools needed to switch off its subconscious. During a sleep or dream state, the conscious mind is turned in the off position and as a result we have dreams which may lead to you not sleeping well, waking up often and feeling exhausted."
Movie,Yoga for Relaxation and Stress Relief Anywhere,2014,20 min,Sports,"This session was designed to help you relax and reduce your level of stress with a daily dose of relaxation for the mind and the body. Lower your anxiety and increase your coping skills through the use of breathing that regulates the heart rhythm. In these stress relief sessions, the medical profession has evidence that the heart rate can actually drop and thus inducing calm."
Movie,Yoga for Mindfulness and Meditation,2016,22 min,Sports,"We take you through Buddhist mindful philosophy, Yoga mantra meditation and a guided meditation session for use in your everyday life. Focusing on anything in your environment that you find soothing and calming helps you relax and our session gives you the tools to take your practice to new levels. Guided by Anne-Marie Newland the founder of Sun Power Yoga and author of Sun Power Yoga Shala."
Movie,Yoga for Men's Health,2016,60 min,Sports,"This session helps create confidence with simple technical rules that help develop your physical and mental ability. It is ideal for those who have never tried Yoga before as well as for the more advanced. The focus is on areas that are problematic for men, tight hips, thighs, groins, chest and back and increasing oxygen to the prostate gland. Guided by Anne-Marie Newland founder of Sun Power Yoga"
Movie,Yoga for Breath Awareness,2016,6 min,Sports,"This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. It is easy to begin this awareness by implementing five simple steps. This is perfect for short everyday relaxation before your exercise practice. Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga."
Movie,Yoga For Beginners,2016,54 min,Sports,"This session is about the key to yoga - synchronized movement and breathing. Enjoying your experience is very important-don't push yourself to hard! This session is suitable for beginners of all levels of fitness and works every part of your body, offering variations for all movements. Guided by Anne-Marie Newland of Sun Power Yoga and Author of Sun Power Yoga Shala."
Movie,Underdogs,2013,104 min,Sports,The story of a small-town high school football team destined to play their crosstown rival while standing up for an entire community.
Movie,Seated Yoga Level I 13 minutes,2016,14 min,Sports,"This program helps reduce the effects of deep vein thrombosis and for those unable to stand, lie down or walk. Blood moves slowly around the body and the oxygen in the blood will not reach the heart or the brain efficiently causing medical problems such as deep vein thrombosis. Curated by Anne-Marie Newland the founder of Sun-Power-Yoga."
Movie,Paddle to the Ocean,2013,61 min,Sports,"Musician Zac Crouse begins his 82-day sea kayak journey from the Ottawa Valley back home to Halifax, Nova Scotia. Crouse paddles through class IV rapids and tidal bores, down four major rivers and across the Bay of Fundy while touring his new solo album. Zac will be filming Paddle to the Ocean with the help of professional white-water kayaker/documentary film-maker Kelsey Thompson."
Movie,Meditative Music For Yoga,2014,101 min,Sports,"Award-winning producer and instrumentalist Ben Leinbach has created yet another enchanting compilation with this soothing blend of live instrumentals, meditative chanting, and much more. Escape day-to-day stress while gentle music guides you into a world of imagination, creativity and wonder. Use for yoga, meditation, or just as an amazing ambient background to help you relax and focus."
Movie,Alternate Nostril Breathing,2016,7 min,Sports,"This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. It is easy to begin this awareness by implementing five simple steps. This is perfect for short everyday relaxation before your exercise practice.Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga."
Movie,6 Minutes of Yoga By The Ocean,2016,6 min,Sports,"Named after the rolling waves of the ocean, this breathing practice will help reduce stress, calm your mind, induce mind and body relaxation and ease pain. This is perfect for short everyday relaxation use and before your exercise practice. Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga."
Movie,3 Simple Meditation Practices,2016,10 min,Sports,"Watching the breath is the first practice-an ancient Buddhist tradition-working on placing the mind in the body. Mantra meditation is the second practice and is an ancient Indian technique using a sound like OM. The third practice is mindfulness meditation, helping you helping you notice one thing at a time when you are in need of peace. With Anne-Marie Newland founder of Sun Power Yoga"
Movie,15-Minute Yoga Stretch 2.0 (Workout),2019,22 min,Sports,"Follow the weekly schedule as shown on my website (FitnessMaggie). This yoga session focuses on one thing: stretches to relax your body and recover after completing Flow, Core and Balance, but before doing the Power Flow session tomorrow. Improve flexibility in order to improve strength & overall fitness. Find my Yoga Guide on my website to safely combine my yoga + workout videos."
Movie,15-Minute Yoga Stretch 1.0 Workout,2018,20 min,Sports,"The benefits of yoga in just 15 minutes. Stretch your muscles head to toe, helping you increase flexibility as you hold key yoga stretches and breathe deeply through them. A great session to prep for Yoga HIIT tomorrow. Follow the Yoga Series 1.0 Weekly Schedule as shown on my website (FitnessMaggie). My Yoga Guide is also available there to combine my yoga series with my other workout videos."
Movie,15-Minute Yoga Power Flow 2.0 (Workout),2019,21 min,Sports,"The benefits of yoga in just 15 minutes a day! Follow the weekly schedule as shown on my website (FitnessMaggie). Provides the amazing stretch of traditional yoga flow... but amped up. This session will boost your heart rate, challenge your muscles, and stretch your muscles to long, lean happiness. My Yoga Guide is also available on my site to combine my yoga series with my other workout videos."
