type,title,release_year,duration,listed_in,description
TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",2018,1 Season,Sports,Lindsey teaches you how to relieve pain & tension throughout the body. This series includes Yoga Flow Classes and videos that simply teach you the stretches. These gentle classes are perfect even if you've never done yoga.
TV Show,WGC-Dell Technologies Match Play Reveal Show,2021,1 Season,Sports,"Host Jonathan Coachman and PGATOUR.COM Senior Writer Ben Everill break down the brackets for the 2021 World Golf Championships Dell Technologies Match Play at Austin Country Club with some special guests, including defending champion Kevin Kisner."
TV Show,Uncharted Waters with Peter Miller,2020,2 Seasons,Sports,"3 Time World Sailfish Champion, Peter Miller, travels the globe in search of the most highly sought after game fish. Along the way Peter takes a dive into the local flair that makes each location so colorful, taking viewers on a journey filled with culinary gems, candid conversations, new cultures and some of the best watering holes."
TV Show,Slopestyle TV,2014,2 Seasons,Sports,"Slopestyle TV is the skiing and snowboarding mountain destination travel series featuring some of the world's finest alpine riders and resorts. Every episode travel to a new mountain destination and push the limits of powder and terrain park riding while exploring the region's history, local culture and exciting night life."
TV Show,Maggie Binkley Fitness SERIES 10.0 (15-Minute Workouts),2020,1 Season,Sports,"Maggie created 15-minute workouts to be sure you have no-excuses, do-anywhere workouts at your fingertips that will leave you feeling awesome! Series 10.0 includes the use of weights, and a weekly workout schedule that promises to challenge & leave you feeling accomplished – in just 15 minutes!"
TV Show,Inside Borussia Dortmund,2019,1 Season,Sports,"[New episode weekly] You have never been this close to Borussia Dortmund. In this 4-part docu-series, go behind-the-scenes with one of the Bundesliga’s biggest clubs and re-live the thrilling 2018/19 football season from the team’s point of view. Discover their training facilities, experience the locker room drama first-hand, and become acquainted with the players’ personal lives."
TV Show,Full Body Every Day Workouts,2018,1 Season,Sports,"This full body workout series is about good form and great results, not intensity! Use 60-70% of your maximum effort and do the routines 5 times a week to see maximum results. This series includes total body toning, sculpting, and fat burning, as well as targeting of the abs and core, lower, and upper body."
TV Show,Couch To Confident 14 Day Yoga Challenge with Julia Marie,2018,1 Season,Sports,"A lot of people are looking to feel more confident in their yoga practice, whether it's finding more stability or flexibility. So as you go through this series you'll find in each video an increase in the challenge difficulty and a common issue that can be addressed, and as you progress you'll feel noticeably stronger, more flexible, you'll have more mobility and you might even lose some weight."
TV Show,Cobra Puma Golf All-Access Show,2021,1 Season,Sports,"Prior to the 2021 Arnold Palmer Invitational presented by Mastercard, Bryson DeChambeau tested various Cobra Golf drivers and challenged himself to set a swing speed personal record."
TV Show,30 Days of Yoga for Beginners | Calm Mind & Body | Eliz Fitness,2020,1 Season,Sports,"Welcome to 30 days of Yoga for a Calm Mind, an all-levels series from Eliz Fitness. Learn the foundations of yoga, and utilize breath and movement to unlock powerful physical and mental benefits. Discover peace of mind by following along with Eliz and stay tuned for bonus tips at the end of each video."
TV Show,30 Day Yoga For Weight Loss with Julia Marie,2018,1 Season,Sports,"Welcome to the 30 day yoga challenge! Throughout this series you will burn calories, build muscle and create healthy habits that will help you keep the weight off and live more optimally. In addition to the workouts you will find bonus tips at the end of each video to help you stay on track."
TV Show,21 Day Transformation,2016,1 Season,Sports,"Welcome to our 21 Day Transformation! In this program, you will be burning fat and toning up from head to toe. From cardio to yoga to abs and booty, Julia Bognar will show you how it's done. Check each episode description for more information on the program, as some workouts should be repeated throughout the 21 days."
TV Show,10 Day Yoga for Weight Loss Challenge with Chelsey,2021,1 Season,Sports,"If you're looking to lose weight, this yoga challenge from instructor Chelsey will help you achieve your goals. This fun and fast program was designed for intermediate and pros alike- to help you build lean muscle, lower cortisol levels, and burn away body fat!"
TV Show,Foxpro Hunting,2018,1 Season,Sports,"Foxpro Hunting introduces viewers to great locations, tactics, and gear for hunting. Join the Foxpro team as they travel the country on new hunting adventures. Each episode will go beyond the hunt to engage the viewer with compelling videography and story-telling."
TV Show,Porsche Club Championship,2021,1 Season,Sports,Porsche is one of the most Iconic Marques in racing history and the Porsche Club Championship features multiple classes of classic and modern Porsches. Good clean and competitive racing at some of the best circuits in the UK.
TV Show,Head Above Water,2021,1 Season,Sports,"A peek inside the life of an Olympic swimmer through the eyes of reigning champion Kyle Chalmers, two-time Olympian Bronte Campbell, retired Olympic hero Ian Thorpe and aspiring Olympian and global music superstar Cody Simpson. Head Above Water chronicles the personal lives and athletic careers of these four Australian icons."
TV Show,Yes & Yoga,2021,1 Season,Sports,"Join David Ahearn and Adi Bachan for Season 2 of Yes & Yoga as they explore the benefits of having a daily yoga and meditation practice. If you are looking to deepen your practice and activating your highest potential, you won't want to miss Season 2 of Yes & Yoga. Transformation awaits you."
TV Show,Live the Wild Life,2018,1 Season,Sports,Follow Gus Congemi around the world on many outdoor adventures.
TV Show,La Familia,2021,1 Season,Sports,"""From the foundation of the group during their adolescence until they retired. All families go through a generation change. Marc Gasol, Ricky Rubio, Rudy Fernández, Sergio Llull, Víctor Claver and the Hernangómez brothers will speak about their development until they were able to take over La Familia. Championships, victories and defeats get involved with their personal stories."""
TV Show,All Or Nothing: Toronto Maple Leafs,2021,1 Season,Sports,"The first of the All or Nothing franchise to follow an NHL team, the docu-series brings fans closer to the Toronto Maple Leafs organization than ever before, with cameras capturing every moment during the 104th NHL regular season and playoffs."
TV Show,"This is Paris, 50 years of passion",2021,2 Seasons,Sports,"""PSG city of Lights, 50 years of legend"" tells the story of the 2020-2021 season with exclusive access to the team, and revisits the greatest moments in the club's history. Built around major themes such as ambition, training and solidarity in the face of adversity, the series retraces the Champions League campaign, the battle for the Ligue 1 and victory in the French Cup."
TV Show,Sled Head 24-7,2021,1 Season,Sports,"Sled Head 24-7 is the most comprehensive snowmobile racing show on TV. Each episode provides news and information targeted to the active power sports enthusiast with destination rides, new product info, new sled reviews, and exclusive behind the scenes action at ISOC Snocross races and events."
