type,title,release_year,duration,listed_in,description
TV Show,World’s Toughest Race: Eco-Challenge Fiji,2020,1 Season,Unscripted,"66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race."
TV Show,What's My Line?,1955,1 Season,Unscripted,Four celebrity panelists try to guess the occupation of a guest by asking questions that result in yes or no answers.
TV Show,Top Gear: The Perfect Road Trip,2013,1 Season,Unscripted,"Seven days, more than 1,000 miles, 20 cars, two boats, a motorbike and one dream...it all adds up to the perfect road trip for Top Gear stars Jeremy Clarkson and Richard Hammond. Their aim is to select the ideal mode of transport for each leg of a pilgrimage from Venice, Italy to Pau in France. Then they turn up the heat with a race... and the worst forfeit in Top Gear television history!"
TV Show,The Remix,2018,1 Season,Unscripted,"The Remix is the new sound of Indian music! On this music competition show, some of the coolest musicians rejig, reshuffle and remix popular Bollywood songs. A singer and DJ team up to create a fresh spin culminating in a musical extravaganza. The 10 teams give it their all to put out riveting performances to impress the celebrity judges: Sunidhi Chauhan, Amit Trivedi and Nucleya!"
TV Show,The Great Escapists,2021,1 Season,Unscripted,"In this season Richard Hammond and Tory Belleci use what’s left of their shipwreck to survive and thrive. Using their engineering know how, the boys try to escape the island and even make their island life better. From a fully working tank to a three-story treehouse on the seafront, life is pretty sweet. But will their inventions help them escape, or keep them stuck forever in paradise?"
TV Show,The American Dream Project,2015,1 Season,Unscripted,"Filmmaker James Marshall and his friend Todd Williams embark on an iconic journey across the United States determined to rediscover the American dream. Through the stories of individuals they encounter along the way, they find that the optimistic spirit that built this country is still very much alive."
TV Show,Tattletales,1974,1 Season,Unscripted,"Celebrities & their spouses, playing for sections of the studio audience, try to match answers to questions about their personal lives."
TV Show,Survivor,2014,19 Seasons,Unscripted,"This edition, filmed in Cagayan, a province in the Philippines, will be themed 'Brawn vs. Brains vs. Beauty,' and will feature three separate tribes who all have the same ultimate goal: to outwit, outplay and outlast, and ultimately be crowned Sole Survivor. The show is hosted by Emmy Award winner Jeff Probst."
TV Show,Supermarket Sweep,2000,2 Seasons,Unscripted,Teams answer questions to earn time and advantages over their competitors before going on a supermarket shopping spree. The team that adds the most valuable items to their carts wins.
TV Show,Storage Wars: Northern Treasures,2014,1 Season,Unscripted,"At storage auctions in Canada, high-stakes buyers convene daily, bidding against one another on repossessed and forgotten storage units. Following four teams of bidders looking to score big, Storage Wars Canada is a modern-day treasure hunt. Armed with a flashlight, an expert eye and a unique instinct, bidders use their combined knowledge, expertise and wit to outbid one another and score big."
TV Show,Skulls and Roses,2019,1 Season,Unscripted,"Raghu and Rajiv make their long awaited return in Skulls & Roses, a one-of-a-kind competition where the worlds of romance and adventure collide on Rose Island and Skull Island.  They put 8 boys and 8 girls through the ultimate schizophrenic journey of a lifetime."
TV Show,Six Dreams,2018,1 Season,Unscripted,"Six Dreams is an exclusive and unprecedented insight into the Spanish first division of football. Follow six people during league season 2017-18: Three players, one coach, one sports director and a club president. Their stories offer an inside look at the daily difficulties, victories and challenges of professional football at the highest level."
TV Show,Regular Heroes,2020,1 Season,Unscripted,"The COVID pandemic has drastically changed our lives. Regular Heroes highlights the selfless acts of essential workers, who risk it all to keep their communities afloat. From grocery clerks to hospital workers and teachers, these individuals remind us there is still hope when we work together to make a difference. The series will include special guest appearances by Alicia Keys and more."
TV Show,Press Your Luck,1984,1 Season,Unscripted,"Three players use spins on a wheel to collect cash and prizes while trying to avoid the ""Whammy"" who bankrupts a player."
TV Show,Preachers' Daughters,2013,1 Season,Unscripted,"This provocative series follows the families of 3 church pastors to offer a behind-the-altar look at what happens at home after the sermon ends. It's a revealing, hard-hitting and often humorous look at how the daughters try to balance typical teenage temptations with their parents' strict, faith-based expectations. What happens will surprise viewers and change these families forever."
TV Show,Password Plus,1979,1 Season,Unscripted,"Two teams, consisting of a celebrity guest and a contestant, guess words from one word clues given by their partners, with each ""password"" a clue to the ""password puzzle"" (the name of a person, place or thing)."
TV Show,Married at First Sight,2016,3 Seasons,Unscripted,"The daring social experiment, Married at First Sight, returns for Season 3 where six singles from the Atlanta, Georgia area will marry a complete stranger."
TV Show,Little Women: LA,2016,4 Seasons,Unscripted,"In Little Women: LA Season 4, relationships between cast members are more volatile than ever. Preston and Elena find themselves back in LA but are at odds over Elena's preoccupation with launching her fashion line and DIY makeup tutorials. Meanwhile, Tonya and Jasmine continue their on-again, off-again friendship."
TV Show,Jestination Unknown,2019,1 Season,Unscripted,"Vir Das travels across India with his friends to answer the question: ""What does India find funny?"" In Patiala, they explore comedy and clichés. In Lucknow, the hasya kavis give a masterclass. In Jodhpur, the city welcomes new jesters. In Mysore, a Mysore joke is written. In Kumarakom, comedy after tragedy is explored. In Leh, even the people in the harshest region of the country laugh."
TV Show,James May: Oh Cook,2020,1 Season,Unscripted,"James May is not a chef. But that’s the whole point: you don’t need to be a brilliant cook to make delicious food. Transporting us to the Far East, the Med, and the local pub – all from the comfort of a home economist’s kitchen – he’ll knock up delicious recipes that you can actually make yourself, with ingredients you can actually buy. And all without the usual television cooking format trickery."
TV Show,Inside Jokes,2018,1 Season,Unscripted,"“Inside Jokes” follows unknown stand-up comics vying to make it into the world-famous Just for Laughs comedy festival in Montreal. Will their performances launch their careers into superstardom, just like New Faces alumni Pete Holmes and Colin Jost, or will they choke under pressure? For this group of comics, who have sacrificed much in pursuit of a dream, there is no bigger moment."
