type,title,release_year,duration,listed_in,description
TV Show,Yowamushi Pedal,2013,1 Season,Anime Series,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
TV Show,Pokémon Master Journeys: The Series,2021,1 Season,Anime Series,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!"
TV Show,Kuroko's Basketball,2015,3 Seasons,Anime Series,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
TV Show,EDENS ZERO,2021,1 Season,Anime Series,"Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother."
TV Show,Rascal Does Not Dream of Bunny Girl Senpai,2018,1 Season,Anime Series,"After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai."
TV Show,SHAMAN KING,2021,1 Season,Anime Series,"Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King."
TV Show,Darwin’s Game,2020,1 Season,Anime Series,High schooler Kaname activates a mysterious mobile app and unwittingly joins a game pitting players with supernatural abilities against each other.
TV Show,Hunter X Hunter (2011),2014,6 Seasons,Anime Series,"To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father."
TV Show,Transformers: War for Cybertron: Kingdom,2021,1 Season,Anime Series,The frantic race to locate the Allspark first culminates on a strange planet as the future comes crashing through to the present day.
TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,2021,1 Season,Anime Series,Take a behind-the-scenes look at “Masters of the Universe: Revelation” as showrunner Kevin Smith and others interview the cast about their iconic roles.
TV Show,BEASTARS,2021,2 Seasons,Anime Series,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst."
TV Show,RESIDENT EVIL: Infinite Darkness,2021,1 Season,Anime Series,"Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House."
TV Show,Sailor Moon Crystal,2016,3 Seasons,Anime Series,"Middle schooler Usagi Tsukino and her friends learn that they have the power to transform into Sailor Guardians, protecting the world from darkness."
TV Show,Legend of Exorcism,2020,1 Season,Anime Series,"After leaving Yaojin Palace, Kong Hongjun arrives in Chang'an to battle demons and forms a bond with exorcism squad chief Li Jinglong."
TV Show,The Daily Life of the Immortal King,2020,1 Season,Anime Series,"Having vanquished a powerful demon at age six, precocious wizard Wang Ling must now navigate high school life as an ordinary teen."
TV Show,The Seven Deadly Sins,2021,5 Seasons,Anime Series,"When a kingdom is taken over by tyrants, the deposed princess begins a quest to find a disbanded group of evil knights to help take back her realm."
TV Show,Godzilla Singular Point,2021,1 Season,Anime Series,"Brought together by a mysterious song, a grad student and an engineer lead the fight against an unimaginable force that may spell doom for the world."
TV Show,Record of Ragnarok,2021,1 Season,Anime Series,"Before eradicating humankind from the world, the gods give them one last chance to prove themselves worthy of survival. Let the Ragnarok battles begin."
TV Show,Trese,2021,1 Season,Anime Series,"In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing."
TV Show,Attack on Titan,2013,1 Season,Anime Series,"With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race."
TV Show,Ouran High School Host Club,2006,1 Season,Anime Series,"New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school."
TV Show,Eden,2021,1 Season,Anime Series,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished."
TV Show,JoJo's Bizarre Adventure,2016,3 Seasons,Anime Series,Multiple generations of the Joestar family – all with the same nickname – confront supernatural villains through a series of time periods.
TV Show,The Mystic River,2020,1 Season,TV Horror,"As pregnant women vanish in a remote Nigerian village over decades, a doctor with child finds herself extremely close to uncovering dangerous secrets."
TV Show,Castlevania,2021,4 Seasons,Anime Series,A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games.
TV Show,Yasuke,2021,1 Season,Anime Series,A peaceful boatman once known as the Black Samurai is pulled back into conflict when he takes a little girl with mysterious powers under his wing.
TV Show,Bakugan: Geogan Rising,2021,1 Season,Anime Series,"The Awesome Brawlers band together to fight off a powerful enemy determined to break the bond between Earth and Vestroia, the Bakugan's home planet."
TV Show,Durarara!!,2016,1 Season,Anime Series,"A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh."
TV Show,High-Rise Invasion,2021,1 Season,Anime Series,"High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey."
TV Show,Sonic X,2003,2 Seasons,Anime Series,"A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth."
TV Show,Slasher,2019,3 Seasons,TV Horror,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
TV Show,Heaven Official's Blessing,2020,1 Season,Anime Series,"Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods."
TV Show,The Way of the Househusband,2021,1 Season,Anime Series,"After disappearing from the underworld, the legendary yakuza Tatsu, ""the Immortal Dragon,"" resurfaces — as a fiercely devoted stay-at-home husband."
TV Show,Yu-Gi-Oh!,2005,1 Season,Anime Series,"The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality."
TV Show,DOTA: Dragon's Blood,2021,1 Season,Anime Series,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game.
TV Show,B: The Beginning,2021,2 Seasons,Anime Series,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
TV Show,Pokémon Journeys: The Series,2021,4 Seasons,Anime Series,"Young trainer Ash and his new friend Goh become research fellows at Professor Cerise's laboratory, traveling all over the world to learn about Pokémon."
TV Show,Pacific Rim: The Black,2021,1 Season,Anime Series,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies."
TV Show,TIGER & BUNNY,2011,1 Season,Anime Series,"In an alternate New York City protected by a band of superheroes called NEXT, veteran Wild Tiger is forced to team up with rookie Barnaby Brooks Jr."
TV Show,Thus Spoke Kishibe Rohan,2021,1 Season,Anime Series,"A popular manga creator becomes enmeshed in paranormal events while conducting research: Stand User Kishibe Rohan visits Italy, goes bankrupt and more."
TV Show,Demon Slayer: Kimetsu no Yaiba,2019,1 Season,Anime Series,"After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost."
TV Show,The Idhun Chronicles,2021,2 Seasons,Anime Series,"A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder."
TV Show,Chilling Adventures of Sabrina,2020,4 Seasons,TV Horror,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
TV Show,Transformers: War for Cybertron: Earthrise,2020,1 Season,Anime Series,"While Megatron takes drastic measures to save the Decepticons, the Autobots fight to save all of Cybertron from both on the planet and aboard the Ark."
TV Show,Marvel Anime: Wolverine,2011,1 Season,Anime Series,"Logan, aka mutant X-Man Wolverine, is on a quest to reclaim the love of his life – whose crime lord father is planning an arranged marriage for her."
TV Show,Marvel Anime: X-Men,2011,1 Season,Anime Series,"A year after their dissolution, the X-Men are re-assembled by Professor Charles Xavier to investigate the kidnapping of young mutants in Japan."
TV Show,The Guest,2018,1 Season,TV Horror,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
TV Show,Great Pretender,2020,2 Seasons,Anime Series,"Supposedly Japan's greatest swindler, Makoto Edamura gets more than he bargained for when he tries to con Laurent Thierry, a real world-class crook."
TV Show,Beyblade Burst Rise,2019,1 Season,Anime Series,"After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan — Beyblade's birthplace."
TV Show,American Horror Story,2019,9 Seasons,TV Horror,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
TV Show,Bakugan: Armored Alliance,2020,1 Season,Anime Series,"Dan Kouzo and his crew of heroic brawlers battle both challengers and powerful, evil forces as they work to protect humans and the Bakugan."
TV Show,Bakugan: Battle Planet,2018,1 Season,Anime Series,Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
TV Show,Blood of Zeus,2020,1 Season,Anime Series,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army."
TV Show,Food Wars!: Shokugeki no Soma,2016,2 Seasons,Anime Series,"Young chef Soma enters the prestigious Totsuki Culinary Academy, where he must emerge victorious in over-the-top cooking battles or face expulsion."
TV Show,Sword Art Online,2018,3 Seasons,Anime Series,A video game whiz helps create a new technology that enables players to guide their online avatars with their own bodies – but a dark twist emerges.
TV Show,Black Butler,2010,3 Seasons,Anime Series,"In Victorian London, 12-year-old business magnate Ciel Phantomhive thwarts dangers to the queen as he's watched over by his demon butler, Sebastian."
TV Show,Dragon's Dogma,2020,1 Season,Anime Series,"Resurrected as an Arisen, Ethan sets out to vanquish the Dragon that took his heart. But with every demon he battles, his humanity slips further away."
TV Show,Blue Exorcist,2017,2 Seasons,Anime Series,"Determined to throw off the curse of being Satan's illegitimate son, Rin enters the True Cross Academy to become an exorcist, just like his mentor."
TV Show,Erased,2016,1 Season,Anime Series,"Satoru Fujinuma can travel back in time to save others' lives. When he wakes up 18 years in the past, he has a chance to save his murdered classmates."
TV Show,The Promised Neverland,2019,1 Season,Anime Series,"When three gifted kids learn that their isolated orphanage isn’t the haven they thought, they vow to lead the other children in a risky escape plan."
TV Show,Aggretsuko,2020,3 Seasons,Anime Series,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work."
TV Show,Goedam,2020,1 Season,TV Horror,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends."
TV Show,Zoids Wild,2018,1 Season,Anime Series,A quest for freedom and legendary treasure begins when a cheerful young adventurer follows his father's footsteps to become the greatest Zoids hunter.
