type,title,release_year,duration,listed_in,description
TV Show,Kota Factory,2021,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
TV Show,Dear White People,2021,4 Seasons,TV Comedies,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
TV Show,Chicago Party Aunt,2021,1 Season,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
TV Show,Sex Education,2020,3 Seasons,TV Comedies,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
TV Show,The Smart Money Woman,2020,1 Season,TV Comedies,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
TV Show,On the Verge,2021,1 Season,TV Comedies,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
TV Show,Hotel Del Luna,2019,1 Season,TV Comedies,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
TV Show,Brave Animated Series,2021,1 Season,TV Comedies,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
TV Show,Major Dad,1992,4 Seasons,TV Comedies,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command."
TV Show,Hometown Cha-Cha-Cha,2021,1 Season,TV Comedies,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
TV Show,The Ingenuity of the Househusband,2021,1 Season,TV Comedies,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
TV Show,Post Mortem: No One Dies in Skarnes,2021,1 Season,TV Comedies,"She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if..."
TV Show,Comedy Premium League,2021,1 Season,TV Comedies,"With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs."
TV Show,Everything Will Be Fine,2021,1 Season,TV Comedies,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.
TV Show,The Chair,2021,1 Season,TV Comedies,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
TV Show,Grace and Frankie,2021,7 Seasons,TV Comedies,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series."
TV Show,I Need Romance,2021,1 Season,TV Comedies,"A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love."
TV Show,Office Girls,2011,1 Season,TV Comedies,"A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live."
TV Show,The Prince Who Turns into a Frog,2005,1 Season,TV Comedies,"Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead."
TV Show,Two Fathers,2013,1 Season,TV Comedies,"When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family."
TV Show,You're My Destiny,2008,1 Season,TV Comedies,"A young woman's romantic cruise ends in a twist when she gets pregnant after a one-night stand with a rich executive, turning their lives upside down."
TV Show,30 Rock,2012,7 Seasons,TV Comedies,Liz Lemon juggles the demands of running an NBC sketch comedy show with trying to fix her disaster of a personal life and eating her night cheese.
TV Show,Plastic Cup Boyz: Laughing My Mask Off!,2021,1 Season,TV Comedies,Comedy collective The Plastic Cup Boyz pour out the punchlines in Atlanta during a trio of raw and lively stand-up specials.
TV Show,Feels Like Ishq,2021,1 Season,TV Comedies,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.
TV Show,Her Private Life,2019,1 Season,TV Comedies,"An art curator's life unravels, as she tries to keep her pastime as a die-hard K-pop fan secret from her gallery's new director."
TV Show,Never Have I Ever,2021,2 Seasons,TV Comedies,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her."
TV Show,Atypical,2021,4 Seasons,TV Comedies,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery."
TV Show,The War Next-door,2021,1 Season,TV Comedies,"When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences."
TV Show,Chelsea,2017,2 Seasons,TV Comedies,"It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style."
TV Show,Cuckoo,2019,5 Seasons,TV Comedies,"Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family."
TV Show,Derry Girls,2019,2 Seasons,TV Comedies,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager."
TV Show,Good Morning Call,2017,2 Seasons,TV Comedies,"A high school girl finally gets her own apartment, but she has to share it with the most popular boy in school. No one can know they're living together."
TV Show,I Think You Should Leave with Tim Robinson,2021,2 Seasons,TV Comedies,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.
TV Show,Kim's Convenience,2021,5 Seasons,TV Comedies,"While running a convenience store in Toronto, members of a Korean-Canadian family deal with customers, each other and the evolving world around them."
TV Show,Orange Is the New Black,2019,7 Seasons,TV Comedies,"A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of ""Weeds."""
TV Show,Workin' Moms,2021,5 Seasons,TV Comedies,"Maternity leave is over and it's time for these four moms to return to work while navigating kids, bosses, love and life in modern-day Toronto."
TV Show,Generation 56k,2021,1 Season,TV Comedies,"A chance encounter leads two 30-somethings to remember 1998, the year their teenage hormones kicked in — and the internet changed their lives forever."
TV Show,Masameer County,2021,1 Season,TV Comedies,"A humorous view on a changing Saudi, this season includes stories about a global media war, a long-standing tribal feud and a health craze gone too far."
TV Show,Quarantine Tales,2020,1 Season,TV Comedies,"Traversing genres, five separate stories offer unique, whimsical and thought-provoking takes on life during the pandemic in 2020."
TV Show,Call My Agent!,2018,4 Seasons,TV Comedies,"At a top Paris talent firm, agents scramble to keep their star clients happy – and their business afloat – after an unexpected crisis."
TV Show,Champions,2018,1 Season,TV Comedies,"Years after getting his girlfriend pregnant, washed-up jock Vince meets his eccentric son Michael and learns about fatherhood, one show tune at a time."
TV Show,Gameboys Level-Up Edition,2020,1 Season,TV Comedies,"In this recut of the popular web series, live-stream gamer Cairo calls for a rematch after losing to newcomer Gavreel — and an online romance blooms."
TV Show,Glee,2015,6 Seasons,TV Comedies,"Amid relationship woes and personal attacks from a wicked cheerleading coach, a teacher fights to turn underdog glee club members into winners."
TV Show,Schitt's Creek,2020,6 Seasons,TV Comedies,"Suddenly broke, the formerly filthy-rich Rose family is reduced to living in a ramshackle motel in a town they once bought as a joke: Schitt's Creek."
TV Show,Why Are You Like This,2021,1 Season,TV Comedies,"Three best friends negotiate work, fun, identity politics, hookups and wild nights out in this razor-sharp satire of 20-something life in Melbourne."
TV Show,Hospital Playlist,2021,2 Seasons,TV Comedies,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist."
TV Show,So Not Worth It,2021,1 Season,TV Comedies,"New friends, new loves and new experiences mix together inside a colorful college dormitory in Korea that's home to students from around the world."
TV Show,Let's Eat,2021,1 Season,TV Comedies,A food-blogging insurance agent encounters a friend from elementary school with a vendetta against him — but soon becomes her sidekick.
TV Show,Locombianos,2021,1 Season,TV Comedies,Four of Colombia's funniest and bawdiest comedians perform before a post-quarantine audience hungry for their stories.
TV Show,Feel Good,2021,2 Seasons,TV Comedies,"Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety."
TV Show,Creator's File: GOLD,2021,1 Season,TV Comedies,"Comedian Ryuji Akiyama satirizes top “creators” in Japan with a deadpan, unerring eye for humor, with help from some surprising celebrity guest stars."
TV Show,Happy Endings,2012,3 Seasons,TV Comedies,"After his fiancée, Alex, dumps him at the altar, Dave finds himself nursing a broken heart and battling her for custody of their quirky friends."
TV Show,Racket Boys,2021,1 Season,TV Comedies,A city kid is brought to the countryside by his father's new coaching gig: reviving a ragtag middle school badminton team on the brink of extinction.
TV Show,The Kominsky Method,2021,3 Seasons,TV Comedies,Acting coach Sandy Kominsky and best friend Norman Newlander keep each other laughing as they navigate the ups and downs of getting older.
TV Show,Mad for Each Other,2021,1 Season,TV Comedies,"Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way."
TV Show,Master of None,2021,3 Seasons,TV Comedies,Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.
TV Show,The Neighbor,2021,2 Seasons,TV Comedies,Self-centered Javier's life gets a bit messy when he unexpectedly becomes a superhero – and his recent ex is tasked with uncovering his identity.
TV Show,Special,2021,2 Seasons,TV Comedies,A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.
TV Show,The Mystic River,2020,1 Season,TV Horror,"As pregnant women vanish in a remote Nigerian village over decades, a doctor with child finds herself extremely close to uncovering dangerous secrets."
TV Show,The Upshaws,2021,1 Season,TV Comedies,A working-class Black family in Indiana strives for a better life and a happy home while juggling everyday struggles in this comedy series.
TV Show,Use For My Talent,2021,1 Season,TV Comedies,"When the germophobic owner of a cleaning company encounters a slovenly employee, a romance blossoms as they help one another heal from their pasts."
TV Show,The Unremarkable Juanquini,2021,2 Seasons,TV Comedies,An inept magician pulls off the trick of his life: accidentally disappearing a wanted criminal during a police raid. Now he's going to pay for that.
TV Show,Sexify,2021,1 Season,TV Comedies,"To build an innovative sex app and win a tech competition, a sexually inexperienced student and her friends must explore the daunting world of intimacy."
TV Show,Let's Fight Ghost,2021,1 Season,TV Comedies,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead."
TV Show,Zero,2021,1 Season,TV Comedies,"A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
TV Show,Love Naggers,2021,1 Season,TV Comedies,"From the quirky to the scandalous, any relationship is fair game for a panel of love experts who comb over text messages and revel in reenactments."
TV Show,Dancing Angels,2016,1 Season,TV Comedies,"A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship, romance, and life at school."
TV Show,Gilmore Girls,2006,7 Seasons,TV Comedies,"Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee."
TV Show,Dad Stop Embarrassing Me!,2021,1 Season,TV Comedies,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.
TV Show,Living with Yourself,2019,1 Season,TV Comedies,"Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself."
TV Show,Slasher,2019,3 Seasons,TV Horror,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
TV Show,The Baker and the Beauty,2020,1 Season,TV Comedies,"A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi."
TV Show,Prank Encounters,2021,2 Seasons,TV Comedies,Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.
TV Show,Men on a Mission,2021,6 Seasons,TV Comedies,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick."
TV Show,Country Comfort,2021,1 Season,TV Comedies,"After hitting the skids in her career, an aspiring country singer finds new life as a nanny for a handsome widower and his five charming children."
TV Show,Paradise PD,2021,3 Seasons,TV Comedies,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case."
TV Show,Ginny & Georgia,2021,1 Season,TV Comedies,"Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy."
TV Show,Two Sentence Horror Stories,2021,2 Seasons,TV Comedies,This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.
TV Show,Vincenzo,2021,1 Season,TV Comedies,"During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice."
TV Show,"Hello, Me!",2021,1 Season,TV Comedies,"Miserable and unsuccessful, a woman thinks she's lost all her spark — until one day, her spunky younger self appears in front of her demanding change."
TV Show,The Crew,2021,1 Season,TV Comedies,Life in the garage swerves off track for a NASCAR crew chief and his tight-knit racing team when a new boss steps in and shakes things up.
TV Show,Chappelle's Show,2005,2 Seasons,TV Comedies,"The brilliant Dave Chappelle performs blistering stand-up, impressions and sketches that skewer topics like racism, politics, celebrities and sex."
TV Show,Tiffany Haddish Presents: They Ready,2021,2 Seasons,TV Comedies,"Hand-picked by Tiffany Haddish, six diverse comedians showcase their raw humor in a series of specials oozing with energy."
TV Show,The House Arrest of Us,2020,1 Season,TV Comedies,A couple decides to make their engagement official by honoring tradition when a pandemic forces them and their families to quarantine under one roof.
TV Show,The Unsettling,2019,1 Season,TV Comedies,"As 16-year-old Becca adjusts to her new foster home, she starts to question her reality as strange things begin to happen all around her."
TV Show,BONDING,2021,2 Seasons,TV Comedies,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.
TV Show,Daughter From Another Mother,2021,1 Season,TV Comedies,"After realizing their babies were exchanged at birth, two women develop a plan to adjust to their new lives: creating a single —and peculiar— family."
TV Show,Disenchantment,2021,3 Seasons,TV Comedies,"Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals."
TV Show,History of Swear Words,2021,1 Season,TV Comedies,"Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words."
TV Show,Chilling Adventures of Sabrina,2020,4 Seasons,TV Horror,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
TV Show,A Love So Beautiful,2020,1 Season,TV Comedies,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood."
TV Show,Lovestruck in the City,2020,1 Season,TV Comedies,"Heart stolen by a free-spirited woman after a beachside romance, a passionate architect sets out to reunite with her on the streets of Seoul."
TV Show,Home for Christmas,2020,2 Seasons,TV Comedies,"Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas."
TV Show,Run On,2020,1 Season,TV Comedies,"Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life."
TV Show,Schulz Saves America,2020,1 Season,TV Comedies,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.
TV Show,How To Ruin Christmas,2020,1 Season,TV Comedies,Prodigal daughter Tumi tries to make things right after completely ruining what should have been her sister's picture-perfect Christmas wedding.
TV Show,Masameer Classics,2013,4 Seasons,TV Comedies,"Through dark comedy and eccentric characters, this web series offers a humorous view of the changes and cultural shifts in Saudi Arabia from 2011-2019."
TV Show,Bhaag Beanie Bhaag,2020,1 Season,TV Comedies,"Facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic ditches her cushy but unsatisfying life to pursue stand-up."
TV Show,Big Mouth,2020,4 Seasons,TV Comedies,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.
