type,title,release_year,duration,listed_in,description
TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,1 Season,Docuseries,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
TV Show,Jack Whitehall: Travels with My Father,2021,5 Seasons,Docuseries,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
TV Show,Countdown: Inspiration4 Mission to Space,2021,1 Season,Docuseries,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
TV Show,Money Heist: From Tokyo to Berlin,2021,1 Season,Docuseries,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
TV Show,Turning Point: 9/11 and the War on Terror,2021,1 Season,Docuseries,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad."
TV Show,RIDE ON TIME,2021,3 Seasons,Docuseries,Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.
TV Show,Korean Cold Noodle Rhapsody,2021,1 Season,Docuseries,"Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved."
TV Show,The Creative Indians,2020,1 Season,Docuseries,"From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys."
TV Show,Top Secret UFO Projects: Declassified,2021,1 Season,Docuseries,"Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty."
TV Show,The Movies That Made Us,2021,2 Seasons,Docuseries,"These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen."
TV Show,Explained,2021,3 Seasons,Docuseries,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop."
TV Show,Naomi Osaka,2021,1 Season,Docuseries,This intimate series follows Naomi Osaka as she explores her cultural roots and navigates her multifaceted identity as a tennis champ and rising leader.
TV Show,How to Become a Tyrant,2021,1 Season,Docuseries,"Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries."
TV Show,Cat People,2021,1 Season,Docuseries,"Cat people come in all shapes and sizes, but they share a love for their enchanting, unique feline friends. This docuseries reveals their tales."
TV Show,Dogs,2021,2 Seasons,Docuseries,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances."
TV Show,Tales by Light,2018,3 Seasons,Docuseries,"Follow renowned photographers as they explore far-flung locales, capturing extraordinary images that present nature and culture in a new light."
TV Show,This Is Pop,2021,1 Season,Docuseries,"Uncover the real stories behind your favorite pop songs as this docuseries charts the impact of the festival scene, Auto-Tune, boy bands and more."
TV Show,The Last Dance,2020,1 Season,Docuseries,"This docuseries gives a definitive account of Michael Jordan’s career and the 1990s Chicago Bulls, packed with unaired footage from the 1997-98 season."
TV Show,They've Gotta Have Us,2018,1 Season,Docuseries,"Powered by candid recollections from esteemed African-American entertainers, this docuseries traces the history of black cinema."
TV Show,Penguin Town,2021,1 Season,Docuseries,"In a picturesque South African town, an eclectic group of endangered penguins flock together to find mates, raise families and mix with the locals."
TV Show,Human: The World Within,2021,1 Season,Docuseries,Cutting-edge science and captivating personal stories collide in this illuminating docuseries about the incredible workings of the human body.
TV Show,The Least Expected Day: Inside the Movistar Team 2019,2021,2 Seasons,Docuseries,"Pro cycling’s Movistar Team sets their sights on victory while on the road as they face challenges, controversy and internal conflict."
TV Show,High on the Hog: How African American Cuisine Transformed America,2021,1 Season,Docuseries,"Black food is American food. Chef and writer Stephen Satterfield traces the delicious, moving throughlines from Africa to Texas in this docuseries."
TV Show,Alma Matters,2021,1 Season,Docuseries,"Alumni of India’s elite academic institutes share the harsh realities, pleasant surprises and transformative journeys of their college experiences."
