type,title,release_year,duration,listed_in,description
TV Show,Tayo and Little Wizards,2020,1 Season,Kids TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
TV Show,Angry Birds,2018,1 Season,Kids TV,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
TV Show,Chhota Bheem,2021,3 Seasons,Kids TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
TV Show,He-Man and the Masters of the Universe,2021,1 Season,Kids TV,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
TV Show,Numberblocks,2021,6 Seasons,Kids TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
TV Show,Saved by the Bell,1994,9 Seasons,Kids TV,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
TV Show,Titipo Titipo,2019,2 Seasons,Kids TV,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
TV Show,Mighty Raju,2017,4 Seasons,Kids TV,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!"
TV Show,Kid Cosmic,2021,2 Seasons,Kids TV,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
TV Show,Octonauts: Above & Beyond,2021,1 Season,Kids TV,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
TV Show,Tobot Galaxy Detectives,2019,2 Seasons,Kids TV,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
TV Show,Tayo the Little Bus,2016,2 Seasons,Kids TV,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
TV Show,Bunk'd,2021,5 Seasons,Kids TV,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
TV Show,Dive Club,2021,1 Season,Kids TV,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
TV Show,Sharkdog,2021,1 Season,Kids TV,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
TV Show,Heroes of Goo Jit Zu,2021,1 Season,Kids TV,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
TV Show,Luv Kushh,2012,1 Season,Kids TV,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood."
TV Show,Pororo - The Little Penguin,2013,3 Seasons,Kids TV,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
TV Show,Kid-E-Cats,2016,2 Seasons,Kids TV,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
TV Show,Bread Barbershop,2020,2 Seasons,Kids TV,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood."
TV Show,I Heart Arlo,2021,1 Season,Kids TV,It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.
TV Show,Family Reunion,2021,4 Seasons,Kids TV,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."
TV Show,Oggy Oggy,2021,1 Season,Kids TV,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!
TV Show,Go! Go! Cory Carson,2021,5 Seasons,Kids TV,"Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills."
TV Show,Mother Goose Club,2016,2 Seasons,Kids TV,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.
TV Show,Winx Club,2015,2 Seasons,Kids TV,"In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous ""Magical Dimension."""
TV Show,Fast & Furious Spy Racers,2021,5 Seasons,Kids TV,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.
TV Show,Gabby's Dollhouse,2021,2 Seasons,Kids TV,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures."
TV Show,44 Cats,2020,3 Seasons,Kids TV,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together."
TV Show,Centaurworld,2021,1 Season,Kids TV,"On a quest to reunite with her trusty rider, a fearless war horse journeys through a whimsical world filled with magic, adventure and singing centaurs."
TV Show,Mighty Express,2021,4 Seasons,Kids TV,Catch a ride with the Mighty Express — a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!
TV Show,Johnny Test,2021,1 Season,Kids TV,"How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!"
TV Show,Ridley Jones,2021,1 Season,Kids TV,Curious kid Ridley and her friends protect the Museum of Natural History’s treasures and keep its magical secret safe: Everything comes alive at night!
TV Show,Ask the StoryBots,2019,3 Seasons,Kids TV,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth."
TV Show,Code Lyoko,2007,4 Seasons,Kids TV,"After discovering a parallel universe hidden inside a supercomputer, four students must stop a renegade virus from destroying the secret world."
TV Show,Larva,2015,3 Seasons,Kids TV,Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.
TV Show,My Little Pony: Friendship Is Magic,2018,8 Seasons,Kids TV,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship."
TV Show,Puffin Rock,2016,2 Seasons,Kids TV,"Life is sweet on beautiful Puffin Rock, where puffling Oona, her baby brother Baba and their pals learn about nature, friendship and family."
TV Show,Richie Rich,2015,2 Seasons,Kids TV,"After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure."
TV Show,Some Assembly Required,2015,2 Seasons,Kids TV,A 14-year-old takes ownership of a toy company and hires a group of his friends to help him create amazing new toys.
TV Show,The New Legends of Monkey,2020,2 Seasons,Kids TV,A valiant girl liberates the Monkey King – a god long trapped in stone – in a quest to find seven sacred scrolls and save the world from evil.
TV Show,The Worst Witch,2020,4 Seasons,Kids TV,"After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books."
TV Show,YooHoo to the Rescue,2020,3 Seasons,Kids TV,"In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need."
TV Show,We the People,2021,1 Season,Kids TV,"Learn the basics of rights and citizenship with upbeat songs by popular artists like Janelle Monáe, H.E.R., Adam Lambert, Brandi Carlile and more."
TV Show,Bureau of Magical Things,2020,1 Season,Kids TV,"When a teen accidentally discovers an enchanted realm, she becomes the only one able to unite the human and magical worlds – and save both from evil."
TV Show,Rainbow Rangers,2018,1 Season,Kids TV,"When Earth's animals and natural wonders need a rescue, the Rainbow Rangers combine their colorful powers to protect the planet and save the day!"
TV Show,StarBeam,2021,4 Seasons,Kids TV,"When colorful villains come out to play, 8-year-old Zoey has the power to transform into StarBeam, a kid-sized superhero. She saves the day, every day!"
TV Show,Cleo & Cuquin,2020,2 Seasons,Kids TV,Spirited sister-brother duo Cleo and Cuquín try on different professions each day to help their other siblings solve problems and enjoy new adventures.
TV Show,Avengers Climate Conundrum,2020,1 Season,Kids TV,"When a mysterious force steals Tony Stark’s weather machine to wreak havoc on the world, the Avengers must survive the extreme storms to save the day."
TV Show,Power Rangers Dino Fury,2021,1 Season,Kids TV,"With the prehistoric force of the dinosaurs, a new crew of Power Rangers must deal with a menacing army of alien creatures attacking Earth."
TV Show,Rhyme Time Town,2021,2 Seasons,Kids TV,Fun-loving friends Daisy and Cole use music and imagination to solve problems in a town filled with nursery rhyme characters.
TV Show,LEGO Friends: The Power of Friendship,2016,2 Seasons,Kids TV,"Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends!"
TV Show,Guru Aur Bhole,2018,2 Seasons,Kids TV,A singer and a dancer who are best friends use their artistic abilities to get out of one hilariously sticky situation after another.
TV Show,Ben & Holly's Little Kingdom,2019,2 Seasons,Kids TV,"In the magical Little Kingdom, friends Ben Elf and fairy princess Holly have fun adventures as they learn about teamwork, sharing and problem-solving."
TV Show,Cocomelon,2021,3 Seasons,Kids TV,"Learn letters, numbers, animal sounds and more with J.J. in this edutaining series that brings fun times with nursery rhymes for the whole family!"
TV Show,The Adventures of Sonic the Hedgehog,1993,1 Season,Kids TV,"Hyper hedgehog Sonic and his cohort Miles ""Tails"" Prower defend the planet Mobius against Dr. Robotnik and his evil schemes in this animated series."
TV Show,Jurassic World Camp Cretaceous,2021,3 Seasons,Kids TV,Six teens invited to attend a state-of-the-art adventure camp on Isla Nublar must band together to survive when the dinosaurs break out of captivity.
TV Show,The Magic School Bus,1997,1 Season,Kids TV,"Join Ms. Frizzle as the Magic School Bus travels to outer space, under the sea, through an anthill – and even inside the human body!"
TV Show,Booba: Food Puzzle,2021,1 Season,Kids TV,"Curious Booba is now a chef! With friends Loola and Spike, he creates tasty treats with delightful designs using fruits, vegetables and other food."
TV Show,The Mystic River,2020,1 Season,TV Horror,"As pregnant women vanish in a remote Nigerian village over decades, a doctor with child finds herself extremely close to uncovering dangerous secrets."
TV Show,Sab Jholmaal Hai,2017,2 Seasons,Kids TV,"In this madcap comedy, two mischievous cats, a talking parrot and a high-strung dog keep getting into trouble while their human is away."
TV Show,Trash Truck,2021,2 Seasons,Kids TV,"Six-year old Hank and his best pal, a giant trash truck, explore the world around them on fantastical adventures with their animal friends."
TV Show,Angelina Ballerina,2010,2 Seasons,Kids TV,"Angelina is crazy about ballet dancing, even though she's a young mouse, and studies hard with a famous teacher to become a prima ballerina."
TV Show,Barney and Friends,2010,2 Seasons,Kids TV,"Barney the purple dinosaur, Baby Bop and B.J. are still bringing smiles to kids' faces with their nonstop adventures, stories, games and guests."
TV Show,Miniforce: Super Dino Power,2020,1 Season,Kids TV,Animals with special powers transform into superheroes with robot dinosaurs to protect peace on Earth from menacing villains.
TV Show,Izzy's Koala World,2021,2 Seasons,Kids TV,Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia’s Magnetic Island.
TV Show,PJ Masks,2019,3 Seasons,Kids TV,"Three 6-year-old kids who live normal lives during the day become superheroes at night, fighting crime as a team known as PJ Masks."
TV Show,Power Players,2020,3 Seasons,Kids TV,A kid transforms into an action figure-sized superhero and teams with his toys in a fight against a villainous robot to save the world.
TV Show,Ricky Zoom,2019,1 Season,Kids TV,Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!
TV Show,Slasher,2019,3 Seasons,TV Horror,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
TV Show,"Nicky, Ricky, Dicky & Dawn",2018,4 Seasons,Kids TV,"Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last."
TV Show,Robocar Poli,2015,2 Seasons,Kids TV,"When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day."
TV Show,Rainbow High,2020,1 Season,Kids TV,"The popular fashion dolls come to life in this animated series as they let their talents and true colors shine at the visual arts school, Rainbow High."
TV Show,Big Time Rush,2013,4 Seasons,Kids TV,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives."
TV Show,Pui Pui Molcar,2021,1 Season,Kids TV,They’re guinea pigs! And they’re cars! The fuzzy and adorable molcars have lots of fun adventures in this delightful stop-motion animation.
TV Show,Mighty Morphin Power Rangers,2010,4 Seasons,Kids TV,"Five average teens are chosen by an intergalactic wizard to become the Power Rangers, who must use their new powers to fight the evil Rita Repulsa."
TV Show,Alien TV,2021,2 Seasons,Kids TV,"Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies."
TV Show,Waffles + Mochi,2021,1 Season,Kids TV,Curious puppet pals Waffles and Mochi travel the world exploring the wonders of food and culture while learning how to cook with fresh ingredients.
TV Show,Zero Chill,2021,1 Season,Kids TV,"Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy."
TV Show,City of Ghosts,2021,1 Season,Kids TV,"Meet the Ghost Club! Their adventures take them all around Los Angeles as they interview ghosts, solve problems and learn about their city's history."
TV Show,Word Party,2021,5 Seasons,Kids TV,"Meet Bailey, Franny, Kip and Lulu. They're adorable baby animals, and they want you to join the party and help them learn!"
TV Show,Booba,2021,4 Seasons,Kids TV,"The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings."
TV Show,ICarly,2008,2 Seasons,Kids TV,A cyberstar is born when 13-year-old Carly creates an Internet series with a little help from her best friend Sam and neighbor Freddie.
TV Show,Power Rangers Ninja Steel,2018,2 Seasons,Kids TV,A new generation of teen heroes uses superhuman ninja powers to battle the intergalactic villain Galvanax and save Earth from destruction.
TV Show,Total Drama,2015,7 Seasons,Kids TV,"Heartwarming moments are interspersed with backstabbing, scheming, sabotage and broken alliances in this animated spoof of reality show competitions."
TV Show,Zig & Sharko,2019,2 Seasons,Kids TV,"Zig, an island-bound hyena, will do anything to get his paws on Marina the mermaid, but her devoted pal Sharko always comes to her rescue in time."
TV Show,Go Dog Go,2021,1 Season,Kids TV,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way."
TV Show,Hello Ninja,2021,4 Seasons,Kids TV,"BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day."
TV Show,Carmen Sandiego,2021,4 Seasons,Kids TV,"A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks."
TV Show,Henry Danger,2016,3 Seasons,Kids TV,"A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger."
TV Show,Mighty Little Bheem: Kite Festival,2021,1 Season,Kids TV,"With winter behind them, Bheem and his townspeople usher in a sunny new season in all their favorite ways during the Makar Sankranti festival."
TV Show,Running Man,2020,1 Season,Kids TV,"Wanting to bring home the ultimate prize, a group of competitors gather for a championship — and discover both friends and enemies as they play!"
TV Show,The Cat in the Hat Knows a Lot About That!,2014,1 Season,Kids TV,"The Cat in the Hat is back – and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!"
TV Show,The Haunted Hathaways,2013,2 Seasons,Kids TV,Single mom Michelle Hathaway and her daughters find that they share their New Orleans home with the ghosts of single dad Ray Preston and his two sons.
TV Show,Chilling Adventures of Sabrina,2020,4 Seasons,TV Horror,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
TV Show,Rhyme Time Town Singalongs,2020,1 Season,Kids TV,"Love snackable, snap-worthy songs? Sing along with the Rhyme Time Town friends as they use their imaginations and flex their problem-solving skills!"
TV Show,Shaun the Sheep,2016,2 Seasons,Kids TV,"Join freewheeling Shaun for barnyard misadventures with his cousin Timmy, giant sheepdog Bitzer, jealous cat Pidsley and fellow sheep Shirley."
TV Show,Timmy Time,2010,1 Season,Kids TV,"This delightful animated series centers on impish lamb Timmy as he enters nursery school, where he learns about sharing, responsibility and fairness."
TV Show,Morphle,2020,2 Seasons,Kids TV,"Little Mila turns playtime into a series of fun and educational adventures with her magical pet Morphle, who transforms into anything she dreams up!"
TV Show,Pup Academy,2020,2 Seasons,Kids TV,"Furry friends take a re-bark-able journey in this series about an extraordinary school for the cutest, cuddliest and most curious puppies."
TV Show,Hilda,2021,2 Seasons,Kids TV,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city."
TV Show,Grizzy et les Lemmings,2018,2 Seasons,Kids TV,"Strong, whip-smart Grizzy rules a Canadian forest, where he has his paws full with a family of frolicsome lemmings."
TV Show,The Big Show Show,2020,2 Seasons,Kids TV,Former WWE wrestler the Big Show is out of the ring and ready for an even tougher challenge: raising three daughters with his wife in Florida.
TV Show,The Expanding Universe of Ashley Garcia,2020,3 Seasons,Kids TV,15-year-old scientist Ashley Garcia explores the great unknown of modern teendom after moving across the country to pursue a career in robotics.
TV Show,Gormiti,2018,1 Season,Kids TV,Four friends become guardians of the island Gorm and must harness powers of the elements to stop an evil lord and his army from ruling the kingdom.
TV Show,Octonauts,2015,4 Seasons,Kids TV,A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance.
TV Show,Oddbods,2017,1 Season,Kids TV,"Seven furry, colorful friends who live in the small town of Oddsville like to play, have adventures and get into all sorts of creative mischief."
TV Show,The Guest,2018,1 Season,TV Horror,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
TV Show,The Boss Baby: Back in Business,2020,4 Seasons,Kids TV,The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.
TV Show,Polly Pocket,2021,2 Seasons,Kids TV,"After uncovering a magical locket that allows her to shrink in size, Polly and her friends set out on big adventures with petite power."
TV Show,American Horror Story,2019,9 Seasons,TV Horror,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
TV Show,LEGO Jurassic World: Legend of Isla Nublar,2019,1 Season,Kids TV,"At Jurassic Park, a velociraptor handler and an operations manager tackle crises of epic proportions as they try to prevent dinosaur-sized disasters."
TV Show,LEGO Jurassic World: Secret Exhibit,2018,1 Season,Kids TV,A can-do problem solver teams up with a rugged animal behaviorist to transport a trio of dinosaurs across the park to a super-secret exhibit.
TV Show,LEGO Ninjago,2020,2 Seasons,Kids TV,"While fighting foes across Ninjago City and beyond, the ninjas embark on new quests and gain newfound allies as the power of their friendship is tested."
TV Show,LEGO Ninjago: Masters of Spinjitzu,2019,10 Seasons,Kids TV,"Kai, Jay, Cole and Zane must master their elemental powers and Spinjitzu weapons to protect the land of Ninjago, which also has an underworld."
TV Show,LEGO: CITY Adventures,2019,1 Season,Kids TV,"In a boomtown built on fun, friendship and wacky mischief, a quirky crew of cops and firefighters work hard to preserve the peace and awesomeness."
TV Show,The Garfield Show,2018,4 Seasons,Kids TV,"Lazy, lasagna-loving fat cat Garfield lives life on his own terms, which includes teasing his geeky owner, Jon, and tormenting dimwitted dog Odie."
TV Show,Kongsuni and Friends,2020,2 Seasons,Kids TV,A bright-eyed girl and her magical owl sidekick find adventure when enchanting powers and creative ideas lead to important lessons.
TV Show,Chico Bon Bon: Monkey with a Tool Belt,2020,4 Seasons,Kids TV,"Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems."
TV Show,The Last Kids on Earth,2020,3 Seasons,Kids TV,"When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos."
TV Show,Fireman Sam,2018,4 Seasons,Kids TV,"Sharing valuable lessons in fire safety for preschoolers, Fireman Sam and his animated crew from Pontypandy, Wales, are ready for any emergency."
TV Show,Power Rangers Beast Morphers,2020,2 Seasons,Kids TV,A new breed of secret agents must stop a ruthless computer virus and its minions from stealing the unlimited clean energy source that created them.
TV Show,Kipo and the Age of Wonderbeasts,2020,3 Seasons,Kids TV,"Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive – and get home – with help from her ragtag crew."
TV Show,Pat a Pat Como,2016,1 Season,Kids TV,"For Como and his friends, each new adventure is a lesson on why it's important to be considerate — and to take care of one another!"
TV Show,Qurious Como,2017,1 Season,Kids TV,"Shrunk down in size, Como and his friends examine the wonder-filled world around them one item at a time, from foods to household goods."
TV Show,DreamWorks Happy Holidays from Madagascar,2005,1 Season,Kids TV,Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.
TV Show,H2O: Just Add Water,2009,3 Seasons,Kids TV,The gals in this fantasy series cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.
TV Show,Mighty Little Bheem,2020,3 Seasons,Kids TV,An innocent toddler’s boundless curiosity – and extraordinary might – lead to mischief and adventure in his small Indian town.
TV Show,Fukrey Boyzzz,2020,1 Season,Kids TV,"A troublemaking trio dreams big, plays hard and stirs up all sorts of classroom mischief in this animated spinoff of the popular Hindi film franchise."
TV Show,Buddi,2020,2 Seasons,Kids TV,"The Buddis bounce, spin, glide — and giggle! — through their magical world, learning new things and sharing the joy of friendship."
TV Show,Julie and the Phantoms,2020,1 Season,Kids TV,"Julie lost her passion for music when she lost her mom. But when three ghostly guys appear and lift her spirits, they decide to start a band together!"
TV Show,Transformers: Cyberverse,2020,2 Seasons,Kids TV,Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.
TV Show,Spirit Riding Free: Riding Academy,2020,2 Seasons,Kids TV,A new chapter begins for Lucky and her friends as they leave Miradero behind to live and learn at the prestigious Palomino Bluffs Riding Academy.
TV Show,Bookmarks,2020,1 Season,Kids TV,"Celebrity readers share children's books by Black authors to spark kid-friendly conversations about empathy, equality, self-love and antiracism."
TV Show,Heidi,2020,1 Season,Kids TV,A plucky young orphan sent to live with her grandfather in the mountains discovers wonder and adventure around every corner.
TV Show,Thomas and Friends,2020,2 Seasons,Kids TV,"This animated children's series follows the adventures of Thomas, a cheerful blue tank engine who lives on the island of Sodor."
TV Show,Emily's Wonder Lab,2020,1 Season,Kids TV,"Science-loving host Emily Calandrelli makes STEAM fun with activities, demonstrations and at-home experiments that'll make you think — and blow your mind!"
TV Show,Goedam,2020,1 Season,TV Horror,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends."
TV Show,Glitch Techs,2020,2 Seasons,Kids TV,Two teens work at a game store as a front for their actual job: Hunting video game monsters who've broken out into the real world.
TV Show,The Legend of Korra,2014,4 Seasons,Kids TV,A female avatar who can control the elements fights to keep her city safe from the evil forces of both the physical and spiritual worlds.
TV Show,GAME ON: A Comedy Crossover Event,2020,1 Season,Kids TV,"Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series."
TV Show,Wizards: Tales of Arcadia,2020,1 Season,Kids TV,"Merlin’s apprentice joins Arcadia’s heroes on a time-bending adventure in Camelot, where conflict is brewing between the human, troll and magical worlds."
TV Show,Word Party Songs,2020,1 Season,Kids TV,"Sing along and dance with Bailey, Franny, Kip, Lulu and Tilly in this collection of music videos that will get you in the mood to move and groove!"
TV Show,Ever After High,2016,5 Seasons,Kids TV,The kids of fairy-tale characters attend a school with two cliques: those who accept their fairy-tale destinies and those who want to write their own.
TV Show,My Perfect Landing,2020,1 Season,Kids TV,Everything changes for talented young gymnast Jenny Cortez when she moves with her family from Miami to Toronto to open a new gymnastics club.
TV Show,The Next Step,2018,1 Season,Kids TV,This drama series follows young dancers at the Next Step Dance Studio as they attempt to win the coveted regional dance championships.
TV Show,Transformers Rescue Bots Academy,2020,2 Seasons,Kids TV,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions."
TV Show,Gigantosaurus,2019,1 Season,Kids TV,"Four prehistoric friends go on an array of adventures while trying to unravel a mystery about a big, fierce creature. Based on Jonny Duddle's book."
TV Show,Sunny Bunnies,2016,2 Seasons,Kids TV,"Furry little bunnies hop through wild adventures as they find solutions, fun and sometimes mischief wherever there is light."
TV Show,The Epic Tales of Captain Underpants in Space,2020,1 Season,Kids TV,Best friends George and Harold — along with their classmates and tyrannical principal — are recruited for a mysterious mission in outer space.
TV Show,Little Singham,2020,2 Seasons,Kids TV,"A spinoff of Rohit Shetty's action franchise, this animated series follows brave kid cop Little Singham’s adventures as he defends his town from evil."
TV Show,JU-ON: Origins,2020,1 Season,TV Horror,A paranormal researcher searches obsessively for a cursed home where something terrible happened to a mother and her child long ago.
TV Show,The Baby-Sitters Club,2020,1 Season,Kids TV,Ann M. Martin's beloved books get a modern update in this series that follows a group of girlfriends and their homegrown babysitting business.
TV Show,Abby Hatcher,2019,1 Season,Kids TV,"A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks."
TV Show,Trotro,2004,1 Season,Kids TV,"Trotro the donkey may be opinionated, but he's as sweet as can be in this animated series that's full of lessons for children."
TV Show,Alexa & Katie,2020,4 Seasons,Kids TV,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next."
TV Show,Reality Z,2020,1 Season,TV Horror,"With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes."
TV Show,Mako Mermaids: An H2O Adventure,2016,4 Seasons,Kids TV,"This ""H2O"" sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island."
TV Show,She-Ra and the Princesses of Power,2020,5 Seasons,Kids TV,"Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde."
