type,title,release_year,duration,listed_in,description
TV Show,Valeria,2021,2 Seasons,Romantic TV Shows,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
TV Show,The Cook of Castamar,2021,1 Season,Romantic TV Shows,"In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. Múñez."
TV Show,Elite Short Stories: Carla Samuel,2021,1 Season,Romantic TV Shows,"Samuel attempts a big, romantic gesture at the airport in order to persuade Carla not to board her flight to London."
TV Show,Millennials,2020,3 Seasons,Romantic TV Shows,A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating.
TV Show,Elite Short Stories: Nadia Guzmán,2021,1 Season,Romantic TV Shows,"Nadia feels conflicted about whether or not to see her long distance boyfriend, Guzmán, when she returns to Spain for her sister's wedding."
TV Show,"Newly Rich, Newly Poor",2007,1 Season,Romantic TV Shows,"After learning they were switched at birth, wealthy Andrés and working-class Brayan must adjust to the families and lifestyles they were meant to have."
TV Show,The Mystic River,2020,1 Season,TV Horror,"As pregnant women vanish in a remote Nigerian village over decades, a doctor with child finds herself extremely close to uncovering dangerous secrets."
TV Show,Slasher,2019,3 Seasons,TV Horror,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
TV Show,Love Alarm,2021,2 Seasons,Romantic TV Shows,"In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities."
TV Show,Love Daily,2018,1 Season,Romantic TV Shows,"This anthology follows 12 different love stories involving fateful encounters, magical moments and unexpected romances over the course of a year."
TV Show,My Dead Ex,2018,1 Season,Romantic TV Shows,High school teens Charley and Ben find themselves in a complicated romance when Ben dies in a tragic accident but is resurrected by a magical spell.
TV Show,Zac and Mia,2019,2 Seasons,Romantic TV Shows,Two teenagers with cancer share a connection with each other despite their differences and extraordinary circumstances. Based on A.J. Betts's novel.
TV Show,Outlander,2018,4 Seasons,Romantic TV Shows,This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.
TV Show,Last Tango in Halifax,2020,4 Seasons,Romantic TV Shows,Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.
TV Show,Chilling Adventures of Sabrina,2020,4 Seasons,TV Horror,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
TV Show,Mr. Iglesias,2020,3 Seasons,Romantic TV Shows,Hilarious high school teacher Gabriel Iglesias tries to make a difference in the lives of some smart but underperforming students at his alma mater.
TV Show,The Guest,2018,1 Season,TV Horror,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
TV Show,American Horror Story,2019,9 Seasons,TV Horror,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
TV Show,Dawson's Creek,2002,6 Seasons,Romantic TV Shows,"This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex."
TV Show,The Devil Punisher,2020,1 Season,Romantic TV Shows,"A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance."
TV Show,One on One,2006,5 Seasons,Romantic TV Shows,"When his ex-wife lands a job abroad, athlete-turned-sportscaster Flex Washington assumes full-time custody of their teenage daughter, Breanna."
TV Show,Secreto bien guardado,2019,1 Season,Romantic TV Shows,"In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel."
TV Show,Away,2020,1 Season,Romantic TV Shows,Commander Emma Green leaves behind her husband and daughter to lead an international crew of astronauts on a perilous three-year mission to Mars.
TV Show,"Sister, Sister",1998,6 Seasons,Romantic TV Shows,"Separated at birth, twin sisters Tia Landry and Tamera Campbell reunite after 14 years and soon move in together, blending families and personalities."
TV Show,Goedam,2020,1 Season,TV Horror,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends."
TV Show,Moesha,2000,6 Seasons,Romantic TV Shows,"Navigating the twists and firsts of high school, Moesha juggles friendships, romance and the occasional drama while trying to keep her family together."
TV Show,The Protector,2020,4 Seasons,Romantic TV Shows,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy."
TV Show,Was It Love?,2020,1 Season,Romantic TV Shows,"When four very different men appear in her life, a single mother who hasn't dated in years begins to rediscover love — and herself."
TV Show,Cable Girls,2019,6 Seasons,Romantic TV Shows,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace."
TV Show,JU-ON: Origins,2020,1 Season,TV Horror,A paranormal researcher searches obsessively for a cursed home where something terrible happened to a mother and her child long ago.
TV Show,All For Love,2020,1 Season,Romantic TV Shows,"A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime."
TV Show,It's Okay to Not Be Okay,2020,1 Season,Romantic TV Shows,An extraordinary road to emotional healing opens up for an antisocial children's book writer and a selfless psych ward caretaker when they cross paths.
TV Show,Reality Z,2020,1 Season,TV Horror,"With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes."
TV Show,My Shy Boss,2017,1 Season,Romantic TV Shows,The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.
TV Show,Revolutionary Love,2017,1 Season,Romantic TV Shows,A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference.
TV Show,Boys Over Flowers,2009,1 Season,Romantic TV Shows,Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.
TV Show,Strangers from Hell,2019,1 Season,TV Horror,Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.
TV Show,My Secret Romance,2017,1 Season,Romantic TV Shows,A nutritionist gets entangled in a series of misunderstandings with her new chaebol boss – who turns out to be someone she slept with in the past.
TV Show,Bloodride,2020,1 Season,TV Horror,"The doomed passengers aboard a spectral bus head toward a gruesome, unknown destination in this deliciously macabre horror anthology series."
TV Show,Velvet,2016,4 Seasons,Romantic TV Shows,"In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family."
TV Show,"Hi Bye, Mama!",2020,1 Season,Romantic TV Shows,"When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter."
TV Show,Hyena,2020,1 Season,Romantic TV Shows,"To survive in a dog-eat-dog world, two rival lawyers with high-class clientele tear apart anything that stands in the way of their ambitions."
TV Show,Spectros,2020,1 Season,TV Horror,A group of teens get caught up in a supernatural clash as vengeful spirits from centuries past rise up in the Liberdade district of São Paulo.
TV Show,My Holo Love,2020,1 Season,Romantic TV Shows,Unexpected love finds a lonely woman when she forms a connection with a humanlike hologram who looks exactly like his prickly creator.
TV Show,Playing with Fire,2019,1 Season,Romantic TV Shows,Three prosperous women – including a mother and her daughter – fall for a seductive man in Colombia's Coffee Triangle.
TV Show,Because This Is My First Life,2017,1 Season,Romantic TV Shows,"Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond."
TV Show,Live Up To Your Name,2017,1 Season,Romantic TV Shows,"Pushed together by twists of time, a Joseon doctor and a cardiac surgeon overcome their 400-year divide as they learn and heal through each other."
TV Show,Reply 1988,2015,1 Season,Romantic TV Shows,Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.
TV Show,The Bride of Habaek,2017,1 Season,Romantic TV Shows,"When a quest for divine stones in the human world goes awry, the water god Habaek seeks help from a psychiatrist predestined to serve him."
TV Show,Cinderella and the Four Knights,2016,1 Season,Romantic TV Shows,"Catching the eye of a wealthy gentleman, spunky Ha-won gets hired to live with his three immature grandsons so she can whip them into shape."
TV Show,Crash Landing on You,2019,1 Season,Romantic TV Shows,"A paragliding mishap drops a South Korean heiress in North Korea – and into the life of an army officer, who decides he will help her hide."
TV Show,The Road to Love,2019,1 Season,Romantic TV Shows,"After an argument with her dad, a young woman from a family of macho truck drivers is kicked out of the home and must make her own success as a trucker."
TV Show,Nightflyers,2018,1 Season,TV Horror,"With humankind's future at stake, a group of scientists and a powerful telepath venture into the void aboard a spaceship full of secrets."
TV Show,Chocolate,2019,1 Season,Romantic TV Shows,"Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward."
TV Show,At the Dolphin Bay,2003,1 Season,Romantic TV Shows,"Encountering each other after a long separation, two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love."
TV Show,Inheritors,2013,1 Season,Romantic TV Shows,"After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea’s über rich."
TV Show,La Robe De Mariee Des Cieux,2004,1 Season,Romantic TV Shows,"After a chance encounter that ends on bad terms, two clashing strangers soon cross paths again as their fates become inevitably intertwined."
TV Show,My Sassy Girl,2017,1 Season,Romantic TV Shows,A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.
TV Show,Westside Story,2003,1 Season,Romantic TV Shows,"Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school, friendship, romance and heartbreak."
TV Show,Put Your Head on My Shoulder,2019,1 Season,Romantic TV Shows,"On the cusp of graduation, an accounting major searching for her career winds up living with a genius physics student who shakes up her daily routine."
TV Show,"Bring It On, Ghost",2016,1 Season,Romantic TV Shows,A college student with psychic abilities takes in an amnesiac ghost as his roommate – who ends up helping him hunt down spooky spirits.
TV Show,Tomorrow with You,2017,1 Season,Romantic TV Shows,The head of a real estate firm with the ability to travel through time by taking the subway marries a photographer to try and change his future.
TV Show,"Wait, My Youth",2019,1 Season,Romantic TV Shows,"Six hopeful friends journey into adulthood to create the moments that pull them together, draw them apart and make them fall in love."
TV Show,A Little Thing Called First Love,2019,1 Season,Romantic TV Shows,A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.
TV Show,Another Miss Oh,2016,1 Season,Romantic TV Shows,"A sound director who suddenly starts getting visions of someone else’s future gets mired in the lives of two women, who happen to share the same name."
TV Show,Second 20s,2015,1 Season,Romantic TV Shows,"Facing major changes, a mother realizes it's time to live for herself and decides to enroll in college, where she finds her dream as well as new love."
TV Show,Cheese in the Trap,2016,1 Season,Romantic TV Shows,"In this adaptation of a popular webtoon, a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side."
TV Show,Chicago Typewriter,2017,1 Season,Romantic TV Shows,A veterinarian and two writers have a mysterious connection to Korean independence fighters from the Japanese colonial period.
TV Show,The K2,2016,1 Season,Romantic TV Shows,A fugitive soldier gets swept up in personal and political intrigue when he's hired as a bodyguard for the family of a presidential candidate.
TV Show,The Liar and His Lover,2017,1 Season,Romantic TV Shows,A talented singer falls in love at first sight with a music prodigy who has an affinity for lies – and a knack for being a hit-making producer.
TV Show,When the Camellia Blooms,2019,1 Season,Romantic TV Shows,"Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her."
TV Show,45 rpm,2019,1 Season,Romantic TV Shows,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel."
TV Show,Let's Eat 2,2015,1 Season,Romantic TV Shows,Two classmates from elementary school reunite as next-door neighbors and discover their relationship was – and still is – defined by food.
