type,title,release_year,duration,listed_in,description
Movie,The Stronghold,2021,105 min,Action & Adventure,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
Movie,Birth of the Dragon,2017,96 min,Action & Adventure,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
Movie,Jaws,1975,124 min,Action & Adventure,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
Movie,Jaws 3,1983,98 min,Action & Adventure,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
Movie,Jaws: The Revenge,1987,91 min,Action & Adventure,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
Movie,Safe House,2012,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,99 min,Action & Adventure,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,99 min,Action & Adventure,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,88 min,Action & Adventure,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
Movie,InuYasha the Movie: Affections Touching Across Time,2001,100 min,Action & Adventure,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
Movie,Naruto Shippuden the Movie: Blood Prison,2011,102 min,Action & Adventure,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
Movie,Naruto Shippûden the Movie: Bonds,2008,93 min,Action & Adventure,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
Movie,Naruto Shippûden the Movie: The Will of Fire,2009,96 min,Action & Adventure,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
Movie,Naruto Shippuden: The Movie,2007,95 min,Action & Adventure,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,85 min,Action & Adventure,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,97 min,Action & Adventure,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,95 min,Action & Adventure,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,83 min,Action & Adventure,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
Movie,Kate,2021,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
Movie,Omo Ghetto: the Saga,2020,147 min,Action & Adventure,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
Movie,Angamaly Diaries,2017,128 min,Action & Adventure,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
Movie,Blade Runner: The Final Cut,1982,117 min,Action & Adventure,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
Movie,Chappie,2015,121 min,Action & Adventure,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
Movie,Clear and Present Danger,1994,142 min,Action & Adventure,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
Movie,Cliffhanger,1993,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
Movie,Crocodile Dundee in Los Angeles,2001,95 min,Action & Adventure,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
Movie,Extraction,2015,82 min,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
Movie,Green Lantern,2011,114 min,Action & Adventure,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
Movie,I Got the Hook Up,1998,93 min,Action & Adventure,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
Movie,Initial D,2005,109 min,Action & Adventure,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
Movie,Mystery Men,1999,121 min,Action & Adventure,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
Movie,Poseidon,2006,98 min,Action & Adventure,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
Movie,Tears of the Sun,2003,121 min,Action & Adventure,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
Movie,The Golden Child,1986,94 min,Action & Adventure,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
Movie,The Guns of Navarone,1961,156 min,Action & Adventure,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
Movie,The Interview,2014,112 min,Action & Adventure,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
Movie,In the Line of Fire,1993,129 min,Action & Adventure,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.
Movie,C Kkompany,2008,127 min,Action & Adventure,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
Movie,Krishna Cottage,2004,124 min,Action & Adventure,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,2008,119 min,Action & Adventure,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
Movie,SAS: Rise of the Black Swan,2021,124 min,Action & Adventure,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train."
