type,title,release_year,duration,listed_in,description
Movie,The Starling,2021,104 min,Comedies,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
Movie,Avvai Shanmughi,1996,161 min,Comedies,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
Movie,Jeans,1998,166 min,Comedies,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
Movie,Minsara Kanavu,1997,147 min,Comedies,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
Movie,Grown Ups,2010,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
Movie,Tughlaq Durbar,2020,145 min,Comedies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Movie,Tughlaq Durbar (Telugu),2021,145 min,Comedies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Movie,Afterlife of the Party,2021,110 min,Comedies,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
Movie,Dhanak,2015,114 min,Comedies,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
Movie,Do the Right Thing,1989,120 min,Comedies,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
Movie,House Party,1990,104 min,Comedies,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
Movie,House Party 2,1991,94 min,Comedies,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
Movie,House Party 3,1994,94 min,Comedies,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
Movie,Janoskians: Untold and Untrue,2016,88 min,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
Movie,Letters to Juliet,2010,105 min,Comedies,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
Movie,Love Don't Cost a Thing,2003,101 min,Comedies,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
Movie,Love in a Puff,2010,103 min,Comedies,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
