type,title,release_year,duration,listed_in,description
Movie,Dick Johnson Is Dead,2020,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,67 min,Documentaries,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
Movie,My Heroes Were Cowboys,2021,23 min,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
Movie,Schumacher,2021,113 min,Documentaries,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,96 min,Documentaries,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
Movie,The Women and the Murderer,2021,92 min,Documentaries,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,97 min,Documentaries,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
Movie,Untold: Breaking Point,2021,80 min,Documentaries,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
Movie,Final Account,2021,94 min,Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
Movie,Rhyme & Reason,1997,89 min,Documentaries,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
Movie,Snervous Tyler Oakley,2015,83 min,Documentaries,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
Movie,Untold: Crime & Penalties,2021,86 min,Documentaries,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",2021,93 min,Documentaries,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
Movie,The River Runner,2021,86 min,Documentaries,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash."
Movie,Count Me In,2021,82 min,Documentaries,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.
Movie,Untold: Caitlyn Jenner,2021,70 min,Documentaries,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.
Movie,Memories of a Murderer: The Nilsen Tapes,2021,86 min,Documentaries,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.
Movie,Untold: Deal With the Devil,2021,78 min,Documentaries,"Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life."
Movie,Misha and the Wolves,2021,90 min,Documentaries,"As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
Movie,Untold: Malice at the Palace,2021,70 min,Documentaries,"Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy."
Movie,City of God: 10 Years Later,2013,69 min,Documentaries,"A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took."
Movie,Lady Boss: The Jackie Collins Story,2021,97 min,Documentaries,"""Queen of Sleaze"" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles."
Movie,Pray Away,2021,102 min,Documentaries,"Ex-leaders and a survivor of the so-called ""conversion therapy"" movement speak out about its harm to the LGBTQ+ community and its devastating persistence."
Movie,Shiny_Flakes: The Teenage Drug Lord,2021,97 min,Documentaries,"Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast)."""
Movie,I'm Glad I Did,2020,114 min,Documentaries,Glimpse into the life and decades-long career of Turkish performer Metin Akpınar through personal interviews with him and his contemporaries.
Movie,Fantastic Fungi,2019,81 min,Documentaries,"Delve into the magical world of fungi, from mushrooms that clear oil spills to underground fungal networks that help trees communicate."
Movie,9to5: The Story of a Movement,2021,85 min,Documentaries,"In this documentary, female office workers in '70s Boston inspire change with a call for better pay, more opportunities and an end to sexual harassment."
Movie,Emicida: AmarElo - Live in São Paulo,2021,100 min,Documentaries,"Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to São Paulo's Theatro Municipal as he performs hits from the album ""AmarElo."""
Movie,Lift Like a Girl,2021,93 min,Documentaries,"With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level."
Movie,This Changes Everything,2019,96 min,Documentaries,This documentary takes a deep look at gender disparity in Hollywood through the eyes of well-known actresses and female filmmakers.
Movie,Private Network: Who Killed Manuel Buendía?,2021,100 min,Documentaries,A deep dive into the work of renowned Mexican journalist Manuel Buendía looks to unravel his murder and the ties between politics and drug trafficking.
Movie,Born to Play,2020,93 min,Documentaries,"This documentary follows the Boston Renegades — an all-woman, tackle football team — as they risk their time, families and day jobs for the game."
Movie,The Tour,2016,93 min,Documentaries,"Miloš Knor brings comedians Lukáš Pavlásek, Tomáš Matonoha, Ester Kočičková, Michal Kavalčík and Richard Nedvěd on a tour around the Czech Republic."
Movie,Awon Boyz,2019,38 min,Documentaries,This documentary takes a close look at the lives and passions of the men and boys who hustle or run with a gang on the streets of Lagos.
Movie,Audible,2021,39 min,Documentaries,"Shaken by a friend's suicide, a Deaf high school football player copes with family and relationships while anticipating his final homecoming game."
Movie,Wonder Boy,2019,83 min,Documentaries,This revealing documentary follows Balmain creative director Olivier Rousteing as he brings his bold designs to life and goes in search of his origins.
Movie,Sisters on Track,2021,97 min,Documentaries,Three track star sisters face obstacles in life and in competition as they pursue Junior Olympic dreams in this extraordinary coming of age journey.
Movie,Murder by the Coast,2021,89 min,Documentaries,"In 1999, teen Rocío Wanninkhof is murdered. Her mother's ex-partner, Dolores Vázquez, is suspected. Did she do it? A second victim reveals the truth."
Movie,Biking Borders,2019,89 min,Documentaries,"Best friends Max and Nono bike from Berlin to Beijing, collecting donations to build a school for a unique fundraising adventure in this documentary."
Movie,FTA,1972,104 min,Documentaries,"The restored documentary captures the Pacific leg of the 1971 anti-Vietnam War ""Free the Army"" comedy tour and experiences on both sides of the stage."
Movie,Headspace: Unwind Your Mind,2021,273 min,Documentaries,"Do you want to relax, meditate or sleep deeply? Personalize the experience according to your mood or mindset with this Headspace interactive special."
Movie,Sir! No Sir!,2005,84 min,Documentaries,This documentary chronicles the largely forgotten antiwar activities of American GIs and other members of the military during the Vietnam era.
Movie,The Reason I Jump,2021,82 min,Documentaries,The diverse experiences and emotions of five young people with autism fuel this illuminating documentary based on Naoki Higashida's bestselling memoir.
Movie,Picture a Scientist,2020,97 min,Documentaries,"In this documentary, leading women scientists discuss the inequalities they've faced as they set out to create a new formula to make STEM open to all."
Movie,Trese After Dark,2021,36 min,Documentaries,"Stars and creators gather to discuss “Trese,” from its Filipino folklore inspirations to the comic’s beginnings and its journey to an anime series."
Movie,A Haunted House 2,2014,86 min,Documentaries,"Grieving after a tragedy, Malcolm tries to start fresh with his new girlfriend and her kids — but supernatural shenanigans find their way back to him."
Movie,Breaking Boundaries: The Science Of Our Planet,2021,74 min,Documentaries,David Attenborough and scientist Johan Rockström examine Earth's biodiversity collapse and how this crisis can still be averted.
Movie,From Stress to Happiness,2020,58 min,Documentaries,"A stressed-out documentary filmmaker goes on a journey of discovery with a pair of monks, one of whom is known as ""the happiest man in the world."""
Movie,Myriam Fares: The Journey,2021,72 min,Documentaries,"From pregnancy to album preparations, Lebanese singer and “Queen of the Stage” Myriam Fares documents her experiences with her family while in lockdown."
Movie,Black Holes | The Edge of All We Know,2021,99 min,Documentaries,Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.
Movie,Dream/Killer,2015,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.
Movie,Nail Bomber: Manhunt,2021,73 min,Documentaries,"This documentary examines the 1999 London bombings that targeted Black, Bangladeshi and gay communities, and the race to find the far-right perpetrator."
Movie,Creating an Army of the Dead,2021,29 min,Documentaries,"Zack Snyder and his ""Army of the Dead"" team dive into the film's wild stunts, groundbreaking effects and the evolution of the zombie genre."
Movie,Hating Peter Tatchell,2020,91 min,Documentaries,This documentary follows gay rights activist Peter Tatchell from his early life to his fight for justice amid controversy and political turmoil.
Movie,The Last Days,1998,87 min,Documentaries,This Oscar-winning documentary recounts the harrowing stories of five Hungarian Jews who endured the horrors of the Holocaust and Hitler's reign.
Movie,Amy Tan: Unintended Memoir,2021,101 min,Documentaries,"From her painful past to her successful career after ""The Joy Luck Club,"" groundbreaking writer Amy Tan shares her life story in this documentary."
