type,title,release_year,duration,listed_in,description
Movie,Sankofa,1993,125 min,Dramas,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
Movie,Je Suis Karl,2021,127 min,Dramas,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
Movie,Ankahi Kahaniya,2021,111 min,Dramas,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
Movie,The Father Who Moves Mountains,2021,110 min,Dramas,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
Movie,Jaws 2,1978,116 min,Dramas,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
Movie,Training Day,2001,122 min,Dramas,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
Movie,King of Boys,2018,182 min,Dramas,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
Movie,JJ+E,2021,91 min,Dramas,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
Movie,Shadow Parties,2020,117 min,Dramas,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
Movie,Worth,2021,119 min,Dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
Movie,Anjaam,1994,143 min,Dramas,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
Movie,Bright Star,2009,119 min,Dramas,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
Movie,Gurgaon,2017,106 min,Dramas,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
Movie,Here and There,2020,99 min,Dramas,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
Movie,Shikara,2020,115 min,Dramas,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
Movie,Agatha Christie's Crooked House,2017,115 min,Dramas,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
Movie,An Unfinished Life,2005,108 min,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
Movie,Cold Mountain,2003,154 min,Dramas,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
Movie,Dear John,2010,108 min,Dramas,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
Movie,"El patrón, radiografía de un crimen",2014,100 min,Dramas,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
Movie,Freedom Writers,2007,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
Movie,Marshall,2017,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
Movie,Once Upon a Time in America,1984,229 min,Dramas,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
Movie,Same Kind of Different as Me,2017,120 min,Dramas,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
Movie,The Blue Lagoon,1980,105 min,Dramas,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
Movie,Thimmarusu,2021,125 min,Dramas,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
Movie,Wind River,2017,107 min,Dramas,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
Movie,Kucch To Hai,2003,136 min,Dramas,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
Movie,"LSD: Love, Sex Aur Dhokha",2010,112 min,Dramas,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
Movie,Once Upon a Time in Mumbaai,2010,133 min,Dramas,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
Movie,Once Upon a Time in Mumbai Dobaara!,2013,142 min,Dramas,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
Movie,Really Love,2020,95 min,Dramas,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.
Movie,The Old Ways,2020,90 min,Dramas,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed."
Movie,Gunshot,2018,96 min,Dramas,"After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth."
Movie,Man in Love,2021,115 min,Dramas,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love."
Movie,A Faraway Land,2020,102 min,Dramas,"In the Faroe Islands, a married woman meets a reporter filming a documentary on overseas Filipino workers, which soon sparks a complicated love story."
Movie,Like Crazy,2011,91 min,Dramas,A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.
Movie,Bombay,1995,135 min,Dramas,"Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city."
Movie,Nneka The Pretty Serpent,2020,140 min,Dramas,"Years after the mysterious murder of her parents, a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers."
Movie,O Kadhal Kanmani,2015,133 min,Dramas,"It's love at first sight for a young couple repelled by the concept of marriage, but their view shifts when they meet their older-couple neighbors."
