type,title,release_year,duration,listed_in,description
Movie,My Little Pony: A New Generation,2021,91 min,Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
Movie,Confessions of an Invisible Girl,2021,91 min,Family Movies,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,61 min,Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
Movie,Nightbooks,2021,103 min,Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
Movie,A StoryBots Space Adventure,2021,13 min,Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
Movie,You vs. Wild: Out Cold,2021,106 min,Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
Movie,Little Singham - Black Shadow,2021,48 min,Family Movies,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
Movie,Firedrake the Silver Dragon,2021,93 min,Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
Movie,Show Dogs,2018,90 min,Family Movies,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
Movie,A Champion Heart,2018,90 min,Family Movies,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
Movie,A Cinderella Story,2004,95 min,Family Movies,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
Movie,Barbie Big City Big Dreams,2021,63 min,Family Movies,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
Movie,Labyrinth,1986,101 min,Family Movies,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
Movie,Open Season 2,2008,76 min,Family Movies,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
Movie,Osmosis Jones,2001,95 min,Family Movies,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
Movie,The Water Man,2021,92 min,Family Movies,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
Movie,The Loud House Movie,2021,88 min,Family Movies,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!"
Movie,Monster Hunter: Legends of the Guild,2021,59 min,Family Movies,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
Movie,Vivo,2021,100 min,Family Movies,A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.
Movie,Beethoven,1992,87 min,Family Movies,"A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction."
Movie,Beethoven's 2nd,1993,88 min,Family Movies,"After St. Bernard Beethoven sires a brood with Missy, he and the Newton kids must intervene when Missy's owner tries to sell the puppies."
Movie,Cloudy with a Chance of Meatballs,2009,90 min,Family Movies,"When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow."
Movie,My Girl 2,1994,99 min,Family Movies,A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.
Movie,Open Season: Scared Silly,2015,85 min,Family Movies,"When a spooky werewolf tale scares Boog out of joining the annual camping trip, his friends hatch a plan to cure him of his fear."
Movie,Planet 51,2009,91 min,Family Movies,"After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely."
Movie,A Second Chance:  Rivals!,2021,91 min,Family Movies,"Crushed when she doesn't qualify for the Olympics, a now-grown Maddy Cornell finds new purpose coaching young gymnasts going up against a rival team."
Movie,Chhota Bheem - Dinosaur World,2015,65 min,Family Movies,"When a scientist has trouble caring for his secret baby dinosaur, he takes Bheem and friends back in time to return the pet to its natural habitat."
Movie,Chhota Bheem - Neeli Pahaadi,2013,64 min,Family Movies,"Things get spooky when Bheem and his buddies travel to the border of Dholakpur, known for its eerie history and rumored to be haunted."
Movie,Chhota Bheem & Ganesh,2009,68 min,Family Movies,"Bheem and Lord Ganesha join forces to save Dholakpur from fire-spitting dragons, who have also captured Ganesh’s mouse companion!"
Movie,Chhota Bheem & Krishna: Mayanagari,2011,67 min,Family Movies,Young lord Krishna has fallen for demoness Maayandri’s revenge plot against him! Can Bheem rescue him and thwart Maayandri’s other destructive plans?
Movie,Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,66 min,Family Movies,Krishna needs Bheem’s help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?
