type,title,release_year,duration,listed_in,description
Movie,American Masters: Inventing David Geffen,2012,115 min,Generic Movies,"The son of Jewish immigrants, David Geffen emerged from a humble upbringing to become one of the most powerful media personalities in America."
Movie,Bridgerton - The Afterparty,2021,39 min,Generic Movies,"""Bridgerton"" cast members share behind-the-scenes stories from the hit show, plus comedian Nikki Glaser breaks down the costume drama's sexiest moments."
Movie,Bling Empire - The Afterparty,2021,36 min,Generic Movies,"The stars of ""Bling Empire"" discuss the show's success and play bling-themed games, then comic Joel Kim Booster makes his case for joining the cast."
Movie,Cobra Kai - The Afterparty,2021,34 min,Generic Movies,"Ralph Macchio, William Zabka and more from the ""Cobra Kai"" cast drop by to chat Season 3 (spoilers ahead!), followed by Bill Burr of ""F Is for Family."""
Movie,To All the Boys: Always and Forever - The Afterparty,2021,36 min,Generic Movies,"Cast members of the ""To All the Boys"" films dish about the third movie and answer some fan questions, plus Whitney Cummings gives suspect dating advice."
Movie,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,2015,60 min,Generic Movies,"The first of its kind in UHD 4K, with the clearest picture available, a real fireplace sparks and crackles, adding warmth and atmosphere to any home."
Movie,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,2015,60 min,Generic Movies,"For the first time in 4K Ultra-HD, everyone's favorite Yuletide fireplace snaps and crackles in crystal clear, high-def holiday warmth."
Movie,Monster High: Electrified,2017,72 min,Generic Movies,"Clawdeen wants to turn an abandoned power station into a salon for monsters and ""normies"" alike. But Moanica's got a shocking plan to ruin everything."
Movie,Justice,2017,92 min,Generic Movies,"A U.S. Marshal arrives at a small town in Nevada, only to learn that his preacher brother is dead after standing up to the town's mayor and outlaws."
Movie,Night on Earth: Shot in the Dark,2020,59 min,Generic Movies,"This look behind the scenes shows how worldwide camera crews climbed, dived and froze to capture the documentary's groundbreaking night footage."
Movie,100 Things to do Before High School,2014,44 min,Generic Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years."
Movie,The House of Flowers Presents: The Funeral,2019,36 min,Generic Movies,The de la Mora siblings publicly mourn the death of their mother amid multiple surprises and mishaps at Virginia's funeral.
