type,title,release_year,duration,listed_in,description
Movie,Takizawa Kabuki ZERO 2020 The Movie,2020,139 min,Music & Musicals,"Superstar Hideaki Takizawa reimagines his acclaimed kabuki production for the screen, featuring the dynamic talents of idol group Snow Man."
Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,2020,61 min,Music & Musicals,"Grammy-winning artist Sam Smith gives an intimate, soulful performance at the iconic Abbey Road Studios featuring songs from their third album and more."
Movie,Perfume Imaginary Museum “Time Warp”,2020,54 min,Music & Musicals,"This visually stunning special performance was the highlight of Perfume’s ""P.O.P"" Festival — the J-pop trio’s 20th anniversary online celebration."
Movie,My Fair Lady,1964,173 min,Music & Musicals,"When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives."
Movie,Reframe THEATER EXPERIENCE with you,2020,84 min,Music & Musicals,"Perfume's Reframe 2019 concert, performed to great effect in the newly reconstructed Line Cube Shibuya, is recreated as a high-tech concert film."
Movie,QLIMAX THE SOURCE,2020,57 min,Music & Musicals,Seven priests. Six realms. One destiny. Begin an immersive audiovisual hardstyle trip into the mystical world of Qlimax — and become one with the sound.
Movie,Shawn Mendes: Live in Concert,2020,87 min,Music & Musicals,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans."
Movie,Metallica Through The Never,2013,93 min,Music & Musicals,"As heavy metal band Metallica tears up the stage, a young roadie is sent on an urgent errand. But his mission soon takes a surreal turn."
Movie,PNL - Dans la légende tour,2020,65 min,Music & Musicals,"French rap duo PNL deliver hypnotic visuals and perform popular tracks from their album ""Dans la légende"" and more at the Bercy Arena in Paris."
Movie,Ben Platt Live from Radio City Music Hall,2020,85 min,Music & Musicals,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage —numbers from his debut LP, ""Sing to Me Instead.”"
Movie,Falz Experience,2018,82 min,Music & Musicals,"Playing multiple characters, from lawyer to preacher, Nigerian artist Falz combines cinema with a concert after his successful 2017 end-of-year show."
Movie,GEN HOSHINO STADIUM TOUR “POP VIRUS”,2019,154 min,Music & Musicals,Singer-songwriter Gen Hoshino takes the stage at the sold out Tokyo Dome in his highly anticipated 2019 Pop Virus dome tour.
Movie,Mayday Life,2019,120 min,Music & Musicals,Mayday's Life Tour concert unfolds as five fading superheroes are summoned to save the world from an extraterrestrial enemy that detests sound.
Movie,Hikaru Utada Laughter in the Dark Tour 2018,2018,141 min,Music & Musicals,"Celebrating twenty years since her debut, Hikaru Utada takes the stage at Makuhari Messe for the final performance of her Laughter in the Dark Tour."
Movie,Taylor Swift reputation Stadium Tour,2018,125 min,Music & Musicals,"Taylor Swift takes the stage in Dallas for the reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic."
Movie,Springsteen on Broadway,2018,153 min,Music & Musicals,Bruce Springsteen shares personal stories from his life and acoustic versions of some of his best-known songs in an intimate one-man show.
Movie,Loudon Wainwright III: Surviving Twin,2018,92 min,Music & Musicals,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.
Movie,Barbra: The Music ... The Mem'ries ... The Magic!,2017,109 min,Music & Musicals,"Iconic songstress Barbra Streisand culminates her 13-city tour in Miami with dazzling ballads, Broadway standards and stories from behind the scenes."
Movie,Justin Timberlake + the Tennessee Kids,2016,90 min,Music & Musicals,"On the final nights of a world tour, director Jonathan Demme captures what makes the show soar: gifted musicians, deft dancers and a magnetic star."
Movie,2015 Dream Concert,2015,107 min,Music & Musicals,"The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium."
Movie,Hans Zimmer: Live in Prague,2017,138 min,Music & Musicals,"In this concert film, Oscar-winning composer Hans Zimmer performs his most iconic movie scores to a sell-out crowd at the O2 Arena in Prague."
Movie,Kygo: Live at the Hollywood Bowl,2017,52 min,Music & Musicals,Join Norwegian electronic music superstar Kygo onstage and behind the scenes as he performs at the famed L.A. venue with a bevy of special guests.
