type,title,release_year,duration,listed_in,description
Movie,This Little Love Of Mine,2021,92 min,Romantic Movies,A workaholic lawyer returns to her island home to convince an old friend to take over his family’s company — but rekindled feelings soon get in the way.
Movie,Haseen Dillruba,2021,136 min,Romantic Movies,"Under investigation as a suspect in her husband’s murder, a wife reveals details of their thorny marriage that seem to only further blur the truth."
Movie,Love Is a Story,2015,105 min,Romantic Movies,"Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime."
Movie,Isa Pa with Feelings,2019,102 min,Romantic Movies,"When an aspiring architect falls for her Deaf neighbor, they develop a connection and set out to form their own love language despite their differences."
Movie,Sakaling Maging Tayo,2019,90 min,Romantic Movies,"A college student seizes his chance with a crush when an unexpected encounter turns into a night of bold dares, deep confessions and possible romance."
Movie,Just The Way You Are,2016,107 min,Romantic Movies,An overconfident teen bets he can make a homely transfer student fall in love with him in 30 days — but the wager starts to play games with his heart.
Movie,My Amnesia Girl,2010,105 min,Romantic Movies,"Years after leaving his bride-to-be at the altar, a man crosses paths with his ex and tries to make up for the past, only to find he's been forgotten."
Movie,A Very Country Christmas,2017,84 min,Romantic Movies,"When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart."
Movie,Hometown Holiday,2018,84 min,Romantic Movies,"An ambitious entertainment lawyer tries to sign a singing sensation in his sister's small town, but a local soon captures his attention — and heart."
Movie,A Very Special Love,2008,107 min,Romantic Movies,"After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned."
Movie,Fida,2004,117 min,Romantic Movies,An all-around nice guy finds himself in a dangerous situation after he makes the ultimate sacrifice for the woman he loves in this drama.
Movie,Always Be My Maybe,2016,112 min,Romantic Movies,"After being unexpectedly dumped by their respective lovers, a man and a woman have a chance meeting at a resort and embark on a unique relationship."
Movie,Krishna and His Leela,2020,126 min,Romantic Movies,"Torn between his past and present girlfriends, a confused bachelor’s indecisiveness spins a web of lies and cheating as he struggles to commit."
Movie,When Love Happens,2014,109 min,Romantic Movies,"Fed up with coordinating weddings for everyone else, unlucky-in-love event planner Mo turns to the internet to see if she can find her own Mr. Right."
Movie,The Girl Allergic to Wi-Fi,2018,104 min,Romantic Movies,"When an internet-obsessed teen develops a rare illness that forces her to move to a remote town, she must navigate her relationships without technology."
Movie,Love O2O,2016,103 min,Romantic Movies,A college stud tries to level up his relationship with a computer science major after becoming attracted to her skills in an online role-playing game.
Movie,Vince and Kath and James,2016,115 min,Romantic Movies,"Love can be complicated, especially when Vince agrees to secretly woo Kath via text on behalf of James – while falling for her, too."
Movie,Finally Found Someone,2017,125 min,Romantic Movies,"After a woman is very publicly left at the altar, the PR expert hired to fix the situation winds up falling in love with her."
Movie,Christmas With A View,2018,91 min,Romantic Movies,"Still reeling from a business failure, the restaurant manager of a ski resort finds her world jolted by a new chef, who has his own hidden past."
Movie,Dil Vil Pyaar Vyaar,2014,145 min,Romantic Movies,"Agam Singh's brothers mean everything to him, so while he promises not to marry, he tries to get them to marry – but they want him to marry first."
Movie,Main aurr Mrs. Khanna,2009,109 min,Romantic Movies,"A financially troubled Indian man heads to Singapore to find employment, while his pretty wife stays behind in a move that could cause trouble."
Movie,Aitraaz,2004,153 min,Romantic Movies,A happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.
Movie,Balu Mahi,2017,149 min,Romantic Movies,"Determined to stop his ex-girlfriend from marrying, a young man crashes the wrong wedding and meets a bride looking to run away."
Movie,Humko Deewana Kar Gaye,2006,149 min,Romantic Movies,Two kindred spirits who are betrothed to others must decide whether to go through with arranged marriages or brush aside convention for true love.
Movie,Karzzzz,2008,137 min,Romantic Movies,"When flashbacks reveal that he's the reincarnation of a man murdered by his wife, rock star Monty sets out to get revenge for the decades-old crime."
Movie,Koshish,1972,115 min,Romantic Movies,A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.
Movie,Kyun! Ho Gaya Na,2004,165 min,Romantic Movies,"Cinematic lovebirds Aishwarya Rai and Vivek Oberoi star in this love story about a sweet young girl, Diya, brought up by her widowed father on a coffee plantation in the village of Coorg."
Movie,Miss Me This Christmas,2017,85 min,Romantic Movies,"With their divorce set to become final on Christmas day, a couple must decide if they're really ready to throw in the towel on their relationship."
Movie,Phir Se,2015,118 min,Romantic Movies,"The paths of a man and a woman, who have both been recently divorced from their spouses, intersect at an art exhibition in London."
Movie,Pierre Jackson,2018,81 min,Romantic Movies,"In the midst of ann arduous divorce battle, a real estate tycoon opts for a life of partying and sex until feelings for his childhood friend surface."
Movie,Premachi Goshta,2013,127 min,Romantic Movies,"A man and a woman struggling to keep their respective marriages afloat run into each other at a marriage counselor's office, with unexpected results."
Movie,Yes or No,2010,111 min,Romantic Movies,"Traditional girl Pie is initially uncomfortable with her tomboyish new roommate. But as time goes on, she finds herself increasingly attracted to her."
Movie,Yes or No 2,2012,112 min,Romantic Movies,"No longer university girls, Kim and Pie face new hurdles in their relationship, including work, new friends and other distractions."
Movie,Yes or No 2.5,2015,107 min,Romantic Movies,"Roommates Wine and Pie find their lives turned upside down when two more ladies move in next door, bringing up past heartaches and new attractions."
