type,title,release_year,duration,listed_in,description
Movie,Lokillo: Nothing's the Same,2021,64 min,Stand-Up Comedy,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail."
Movie,The Original Kings of Comedy,2000,111 min,Stand-Up Comedy,"Comedians Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac hit the stage in an iconic stand-up concert directed by Spike Lee."
Movie,The Stand-Up,2019,93 min,Stand-Up Comedy,Members of the comedy group Na Stojáka take the stage and the mic by storm for a special night of stand-up comedy.
Movie,Lee Su-geun: The Sense Coach,2021,46 min,Stand-Up Comedy,"Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows."
Movie,Alan Saldaña: Locked Up,2021,49 min,Stand-Up Comedy,"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents."
Movie,Bo Burnham: Inside,2021,88 min,Stand-Up Comedy,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year."
Movie,Soy Rada: Serendipity,2021,70 min,Stand-Up Comedy,"The delightful Argentine comic Agustín Aristarán (aka Soy Rada) is back, this time putting the spotlight on family and parenting, magic and music."
Movie,Loyiso Gola: Unlearning,2021,60 min,Stand-Up Comedy,"South African comedian Loyiso Gola serves up filter-free humor as he riffs about race, identity, politics, and a school prank gone embarrassingly wrong!"
Movie,Nate Bargatze: The Greatest Average American,2021,60 min,Stand-Up Comedy,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special."
Movie,The Fluffy Movie,2014,101 min,Stand-Up Comedy,"Comedian Gabriel Iglesias takes the stage in San Jose, California, for a stand-up performance featuring wild stories and even wilder impersonations."
Movie,RebellComedy: Straight Outta the Zoo,2021,74 min,Stand-Up Comedy,"The comics of RebellComedy take the stage and tackle mistaken identities, geriatric influencers, our flawed perceptions of animals and more."
Movie,Blanche Gardin: The All-Nighter,2021,96 min,Stand-Up Comedy,"With self-deprecating humor, French comic Blanche Gardin offers stream-of-consciousness observations on environmentalism, gender relations and herself."
Movie,Brian Regan: On the Rocks,2021,58 min,Stand-Up Comedy,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins."
Movie,Hate by Dani Rovira,2021,83 min,Stand-Up Comedy,"From his hometown of Málaga, Dani Rovira reflects on human beings’ nonsensical hatred in this hilarious and unfiltered comedy special."
Movie,Blanche Gardin: I talk to myself,2017,88 min,Stand-Up Comedy,"Touching on bulimia, death and cat sodomy, this French actress and comedian is keen to push the envelope in a one-woman show with understated flair."
Movie,Chris Rock Total Blackout: The Tamborine Extended Cut,2021,98 min,Stand-Up Comedy,"In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics."
Movie,Eddie Murphy: Raw,1987,90 min,Stand-Up Comedy,"This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood."
Movie,Best of Stand-Up 2020,2020,77 min,Stand-Up Comedy,"From Jerry Seinfeld to Leslie Jones, Kevin Hart to Hannah Gadsby, laugh along with the funniest bits from Netflix's 2020 stand-up comedy specials."
