type,title,release_year,duration,listed_in,description
Movie,Intrusion,2021,94 min,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
Movie,Paranoia,2013,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
Movie,Prey,2021,87 min,Thrillers,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
Movie,Paradise Hills,2019,95 min,Thrillers,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
Movie,In the Cut,2003,118 min,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
Movie,In Too Deep,1999,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
Movie,Level 16,2018,102 min,Thrillers,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
Movie,Black Island,2021,105 min,Thrillers,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.
Movie,The Net,1995,114 min,Thrillers,"A computer analyst becomes a target after she stumbles onto a conspiracy via a mysterious floppy disk, forcing her to go on the run to clear her name."
Movie,Hostage House,2021,86 min,Thrillers,"A realtor and her daughter get taken captive by two fugitive criminals during an open house, forcing her to find creative ways to ensure their survival."
Movie,Lethal Love,2021,89 min,Thrillers,"After a business owner starts receiving online threats, doubts and paranoia creep in when she reconnects with a former flame and meets a new client."
Movie,The Game,1997,129 min,Thrillers,An aloof investment banker's life spirals into peril and paranoia after his brother gives him an odd birthday gift: the chance to play a mysterious game.
Movie,Lying and Stealing,2019,100 min,Thrillers,"A talented thief teams up with an aspiring actress to steal art from LA's high rollers. For their last heist, they're going for the ultimate: freedom."
Movie,Until Midnight,2019,77 min,Thrillers,"After returning home from a work trip, a newlywed must fight off a masked intruder before his wife returns at midnight."
Movie,Domestic Disturbance,2001,89 min,Thrillers,A recovering alcoholic is skeptical of his son's claim that his new stepfather is a killer – but soon begins to sense the boy is telling the truth.
Movie,The Interpreter,2005,128 min,Thrillers,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.
Movie,Welcome Home,2018,97 min,Thrillers,"A couple rents a villa in Italy hoping to mend their bruised relationship, but the devilishly charming homeowner can’t seem to leave them alone."
Movie,Small Town Crime,2017,92 min,Thrillers,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption that takes him down a dark path."
Movie,Layer Cake,2004,105 min,Thrillers,"A suave, steely-eyed London cocaine dealer's retirement plans hit a violent snag when his boss asks him to do one more job."
Movie,Deadly Switch,2019,86 min,Thrillers,"In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back."
Movie,Between Worlds,2018,91 min,Thrillers,"Grieving for his dead wife and daughter, a trucker plunges into a romance with a mother who needs his help. The dead, however, are far from gone."
Movie,Miss Sloane,2016,132 min,Thrillers,A tenacious Capitol Hill lobbyist with a well-earned reputation for winning takes on the most challenging battle of her career.
Movie,Synchronic,2020,102 min,Thrillers,Two paramedics begin to question their realities after coming across several bizarre deaths linked to a new narcotic with mind-bending effects.
Movie,Only Mine,2019,88 min,Thrillers,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways."
Movie,Irul,2021,91 min,Thrillers,"When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them."
Movie,Deadly Illusions,2021,115 min,Thrillers,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur."
Movie,The Girl on the Train,2021,120 min,Thrillers,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.
Movie,Who Am I,2014,102 min,Thrillers,"After his compatriots are murdered by Russian gangsters, a hacker confesses the history of his elite, fame-seeking group to a Europol investigator."
Movie,"Blue, Painful, Fragile",2020,119 min,Thrillers,"Kaede and Hisano form a club to change the world. When Hisano vanishes, Kaede throws himself into bringing the club back to its idealistic roots."
Movie,"My Teacher, My Obsession",2018,86 min,Thrillers,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation."
Movie,Red Dot,2021,86 min,Thrillers,"Trying to rekindle their marriage and with a child on the way, a young couple on a ski trip suddenly finds themselves stalked by remorseless killers."
Movie,Shutter Island,2010,139 min,Thrillers,A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.
Movie,Sightless,2020,89 min,Thrillers,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.
Movie,The Vanished,2020,115 min,Thrillers,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets."
Movie,Al acecho,2019,81 min,Thrillers,"Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts."
Movie,Angels & Demons,2009,139 min,Thrillers,A Harvard symbologist races to uncover clues that will help stop an attack on the Vatican by a secret society looking to retaliate for old persecutions.
Movie,The Da Vinci Code,2006,149 min,Thrillers,"When the curator of the Louvre is killed, a Harvard professor and a cryptographer must untangle a web of deceit involving works of Leonardo da Vinci."
Movie,Rust Creek,2018,108 min,Thrillers,A wrong turn in the woods becomes a fight for her life when a career-seeking college student runs into two outlaw brothers looking to cook up trouble.
Movie,The Call,2020,112 min,Thrillers,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate."
Movie,40 Sticks,2019,93 min,Thrillers,"When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer."
Movie,Raman Raghav 2.0,2016,133 min,Thrillers,A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game in this Indian thriller.
Movie,Killer Cove,2019,87 min,Thrillers,"An unlucky woman finds a solution for her hateful ex, a trying job hunt and a stalker through a charming P.I. – only to endure a new set of problems."
Movie,Prospect,2018,100 min,Thrillers,A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.
Movie,Anaamika,2014,130 min,Thrillers,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye."
Movie,Nee Enge En Anbe,2014,137 min,Thrillers,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye."
Movie,Unknown Origins,2020,97 min,Thrillers,A very chiseled but somber detective must find a serial killer who leaves clues that only his mentor's nerdy comics-loving son can decipher.
Movie,Sin City,2019,101 min,Thrillers,A busy couple tries to give their love life a boost by taking an impromptu weekend trip only to find their relationship tested in unexpected ways.
Movie,What Keeps You Alive,2018,99 min,Thrillers,A couple's romantic anniversary retreat to a rural cabin unravels when a childhood friend appears and reveals long-held secrets from the past.
Movie,Offering to the Storm,2020,140 min,Thrillers,"Amaia investigates several suspicious infant deaths and horrific rituals. Meanwhile, people around her risk grave danger. Part 3 in the Baztan Trilogy."
Movie,Fatal Affair,2020,90 min,Thrillers,A lawyer is caught in a terrifying game of cat and mouse when a drink with an old friend escalates into an obsession that jeopardizes everyone she loves.
Movie,Double Jeopardy,1999,105 min,Thrillers,"After being framed and serving time for her husband's supposed murder, Libby decides to kill her ""late"" husband for good."
Movie,Forensic,2020,132 min,Thrillers,"A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls."
Movie,The Delivery Boy,2018,67 min,Thrillers,A teen criminal and a young sex worker forge an unlikely alliance during a night that forces them to confront painful pasts and crises of conscience.
Movie,Get In,2019,98 min,Thrillers,"When he returns from vacation and finds his home occupied by squatters, a family man is caught in a conflict that escalates to terrifying heights."
Movie,Mrs. Serial Killer,2020,107 min,Thrillers,"When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence."
Movie,Dangerous Lies,2020,97 min,Thrillers,"A broke caregiver unexpectedly inherits her patient's estate, but dark secrets swirl around her newfound wealth, tangling her in deceit and danger."
Movie,Kolaiyuthir Kaalam,2019,107 min,Thrillers,The speech-and-hearing-impaired heiress of a palatial mansion must rely on basic instincts when a masked invader is determined to kill her.
Movie,Time to Hunt,2020,135 min,Thrillers,"Wanting to leave their dystopian world behind for a faraway paradise, three outlaws plot a money heist — and draw the attention of a vicious killer."
Movie,The Plagues of Breslau,2018,94 min,Thrillers,"After a body is found sewn inside a cow hide, a Wrocław detective discovers a killer is recreating an 18th-century ""plague"" of criminal punishments."
Movie,The Silence of the Marsh,2019,93 min,Thrillers,"While researching corruption for his new book, a successful crime novelist shades the line between fiction and reality."
Movie,The Legacy of the Bones,2019,121 min,Thrillers,"A year after solving a series of murders, detective Amaia is faced with a related mystery in the Baztán Valley that ends up hitting very close to home."
Movie,Pretty Little Stalker,2018,84 min,Thrillers,"When a self-help writer's advice goes wrong, she finds herself in the crosshairs of an obsessive young woman with a thirst for vengeance."
Movie,The Occupant,2020,104 min,Thrillers,An unemployed advertising executive begins stalking the new tenants of his former home and his motives toward the family turn sinister.
Movie,Bypass Road,2019,135 min,Thrillers,"On the night his ex-lover mysteriously dies, a top fashion designer has a serious accident, raising questions on whether the incidents are linked."
Movie,Twin Murders: the Silence of the White City,2020,110 min,Thrillers,A detective returns to Vitoria-Gasteiz to solve murders mimicking those allegedly committed by a serial killer who's about to be released from prison.
Movie,The Body,2019,101 min,Thrillers,Mind games and mystery abound as a detective investigates the disappearance of a woman’s body from a morgue in this Hindi remake of a Spanish thriller.
Movie,Thambi,2019,148 min,Thrillers,"As a tip leads a local politician to his long-estranged son, his daughter has doubts about whether the young man is truly family or just an impostor."
Movie,Die Ontwaking,2015,90 min,Thrillers,An inexperienced murder detective joins a desperate search for a deranged serial killer who possesses a deep obsession with young women’s skin.
Movie,Jacob's Ladder,2019,90 min,Thrillers,"After being reunited with a brother he thought was killed in combat, a former army medic begins to experience violent, paranoid visions."
Movie,Game,2011,135 min,Thrillers,"A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit."
Movie,The 9th Precinct,2019,95 min,Thrillers,An idealistic cop joins an underground police unit and battles ghoulish forces threatening the balance between the human and the supernatural realms.
Movie,Zero Hour,2018,89 min,Thrillers,"After his father passes, the heir to a retail empire returns to take over the family business but faces a controversy involving laundering and murder."
Movie,U Turn,2016,121 min,Thrillers,A reporter must hunt for the truth behind a strange murder after she crosses paths with a young cop and becomes the investigation's prime suspect.
Movie,Fractured,2019,100 min,Thrillers,"After his wife and injured daughter disappear from an ER, a man conducts a panicked search and becomes convinced the hospital is hiding something."
Movie,Unbridled,2018,100 min,Thrillers,"Desperate to keep her husband’s secret, a devoted politician’s wife struggles to stave off threats that could ruin their promising new life."
Movie,Selfless,2015,117 min,Thrillers,"A dying tycoon has his consciousness transplanted into the body of a healthy young man, only to make a troubling discovery about the body's origin."
Movie,Badla,2019,117 min,Thrillers,"When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes."
Movie,Secret Obsession,2019,98 min,Thrillers,"When Jennifer wakes up with amnesia after a traumatic attack, her doting husband cares for her. But she soon realizes the danger is far from over."
Movie,Kahaani,2012,122 min,Thrillers,"Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems."
Movie,Cop Car,2015,88 min,Thrillers,Two mischievous boys get thrust into a game of cat and mouse with a murderous psychopath after they decide to steal a police officer’s cruiser.
Movie,Svaha: The Sixth Finger,2019,123 min,Thrillers,A minister who researches religious cults turns to his Buddhist monk friend for help investigating a new group with mysterious origins.
Movie,Ek Khiladi Ek Haseena,2005,141 min,Thrillers,"Indebted to a gangster, a grifter assembles a band of fellow swindlers to attempt his biggest scam yet, but it's soon clear that no one can be trusted."
Movie,Echcharikkai,2018,127 min,Thrillers,"After kidnapping a millionaire’s daughter, two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down."
Movie,Puriyatha Puthir,2017,120 min,Thrillers,An aspiring music director begins to receive voyeuristic footage of his girlfriend from her apparent stalker as tragedy strikes those around him.
Movie,Lang Tong,2015,82 min,Thrillers,"After seducing a philandering con man, a rebellious young woman enlists his help in carrying out a heinous crime against her sister."
Movie,Accident,2009,87 min,Thrillers,A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.
Movie,Aamir,2008,95 min,Thrillers,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
Movie,Edge of Fear,2018,92 min,Thrillers,"During a wilderness getaway, a gang of sociopathic criminals kidnap a woman and assault her husband, who must summon all his strength to save her."
Movie,Grandmaster,2012,133 min,Thrillers,"Anticipating the next move in a serial killer's grisly game, a police chief realizes that his daughter and estranged wife are the next likely victims."
Movie,Kurbaan,2009,147 min,Thrillers,"When a young Indian couple moves to the American suburbs, they are shocked to discover that they've become enmeshed in a secret terrorist plot."
Movie,In Darkness,2018,101 min,Thrillers,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes."
Movie,The Warning,2018,93 min,Thrillers,"After his friend is shot, Jon finds a mathematical pattern behind deaths that occurred at the same location and sets out to warn the next young victim."
