type,title,release_year,duration,listed_in,description
TV Show,Blood & Water,2021,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
TV Show,Ganglands,2021,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
TV Show,Jailbirds New Orleans,2021,1 Season,Reality TV,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
TV Show,Kota Factory,2021,2 Seasons,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
TV Show,Midnight Mass,2021,1 Season,TV Dramas,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
TV Show,The Great British Baking Show,2021,9 Seasons,Reality TV,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
TV Show,"Vendetta: Truth, Lies and The Mafia",2021,1 Season,Crime TV Shows,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
TV Show,Bangkok Breaking,2021,1 Season,Crime TV Shows,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
TV Show,Crime Stories: India Detectives,2021,1 Season,Crime TV Shows,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
TV Show,Dear White People,2021,4 Seasons,TV Comedies,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
TV Show,Falsa identidad,2020,2 Seasons,Crime TV Shows,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
TV Show,Jaguar,2021,1 Season,TV Action & Adventure,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,1 Season,Crime TV Shows,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
TV Show,Resurrection: Ertugrul,2018,5 Seasons,TV Action & Adventure,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
TV Show,Love on the Spectrum,2021,2 Seasons,Reality TV,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
TV Show,Chicago Party Aunt,2021,1 Season,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
TV Show,Sex Education,2020,3 Seasons,TV Comedies,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
TV Show,Squid Game,2021,1 Season,TV Dramas,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
TV Show,Tayo and Little Wizards,2020,1 Season,Kids TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
TV Show,Angry Birds,2018,1 Season,Kids,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
TV Show,Chhota Bheem,2021,3 Seasons,Kids TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
TV Show,He-Man and the Masters of the Universe,2021,1 Season,Kids,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
TV Show,The Smart Money Woman,2020,1 Season,TV Comedies,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
TV Show,Castle and Castle,2021,2 Seasons,TV Dramas,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
TV Show,Dharmakshetra,2014,1 Season,TV Dramas,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
TV Show,Nailed It,2021,6 Seasons,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
TV Show,Numberblocks,2021,6 Seasons,Kids TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,1 Season,Docuseries,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
